,name,diameter,weight,red,green,blue
0,1,2.96,86.76,172,85,2
1,1,3.91,88.05,166,78,3
2,1,4.42,95.17,156,81,2
3,1,4.47,95.6,163,81,4
4,1,4.48,95.76,161,72,9
5,1,4.59,95.86,142,100,2
6,1,4.64,97.94,156,85,2
7,1,4.65,98.5,142,74,2
8,1,4.68,100.2,159,90,16
9,1,4.69,100.31,161,76,6
10,1,4.73,101.33,148,88,2
11,1,4.74,101.66,166,69,2
12,1,4.75,101.8,166,98,13
13,1,4.77,102.56,166,86,6
14,1,4.78,103.06,170,82,2
15,1,4.82,103.1,162,87,12
16,1,4.85,103.44,166,78,5
17,1,4.91,103.46,151,79,2
18,1,4.97,104.01,168,79,22
19,1,5.02,104.1,179,73,2
20,1,5.02,104.19,162,79,2
21,1,5.08,104.56,156,94,2
22,1,5.1,104.7,169,86,2
23,1,5.11,104.82,146,84,2
24,1,5.15,104.98,154,87,6
25,1,5.16,105.22,168,82,2
26,1,5.22,105.42,162,79,2
27,1,5.22,105.47,161,75,10
28,1,5.24,105.6,153,90,2
29,1,5.24,105.62,157,85,15
30,1,5.25,105.68,155,94,6
31,1,5.26,106.29,155,93,2
32,1,5.3,106.43,171,82,2
33,1,5.3,106.85,159,84,13
34,1,5.3,106.9,162,93,2
35,1,5.32,106.94,145,82,2
36,1,5.34,106.94,173,75,3
37,1,5.35,107.01,158,97,2
38,1,5.36,107.3,164,86,4
39,1,5.37,107.64,178,92,7
40,1,5.37,107.77,177,76,2
41,1,5.37,107.85,171,75,23
42,1,5.38,108.16,163,93,8
43,1,5.4,108.18,148,81,2
44,1,5.43,108.54,157,98,2
45,1,5.45,108.63,145,75,18
46,1,5.47,108.69,162,90,2
47,1,5.47,108.85,170,82,11
48,1,5.48,108.93,165,67,8
49,1,5.48,109.16,146,72,2
50,1,5.48,109.32,167,88,4
51,1,5.48,109.37,128,87,4
52,1,5.49,109.49,177,80,2
53,1,5.51,109.49,150,98,5
54,1,5.51,109.52,165,88,7
55,1,5.51,109.59,157,82,3
56,1,5.52,110.36,140,65,5
57,1,5.53,110.4,169,76,3
58,1,5.53,110.42,150,87,2
59,1,5.57,110.47,145,81,9
60,1,5.57,110.75,159,83,2
61,1,5.58,110.89,160,73,3
62,1,5.59,110.9,168,75,19
63,1,5.6,111.0,167,74,2
64,1,5.6,111.1,171,72,2
65,1,5.61,111.16,165,84,2
66,1,5.61,111.29,158,69,8
67,1,5.61,111.31,167,104,2
68,1,5.63,111.53,161,74,2
69,1,5.65,111.59,138,78,14
70,1,5.65,111.66,155,70,2
71,1,5.65,111.69,158,107,3
72,1,5.65,111.83,154,98,10
73,1,5.66,111.88,163,86,3
74,1,5.66,111.94,164,94,2
75,1,5.67,111.95,165,78,2
76,1,5.67,112.1,150,85,6
77,1,5.68,112.15,137,76,9
78,1,5.69,112.41,164,81,8
79,1,5.71,112.7,168,78,2
80,1,5.71,112.73,151,82,2
81,1,5.71,112.77,154,62,20
82,1,5.71,113.01,156,91,2
83,1,5.72,113.14,164,95,2
84,1,5.72,113.23,141,85,2
85,1,5.73,113.26,169,66,2
86,1,5.73,113.46,163,89,18
87,1,5.73,113.62,155,87,2
88,1,5.73,113.63,151,86,2
89,1,5.73,113.66,156,68,4
90,1,5.74,113.79,149,68,2
91,1,5.76,113.79,168,94,30
92,1,5.76,113.94,146,78,8
93,1,5.77,114.17,150,95,2
94,1,5.77,114.18,142,101,9
95,1,5.77,114.3,163,76,2
96,1,5.79,114.31,150,90,2
97,1,5.79,114.39,144,73,2
98,1,5.8,114.44,139,105,2
99,1,5.8,114.48,165,68,2
100,1,5.8,114.58,142,93,2
101,1,5.8,114.64,165,87,15
102,1,5.8,114.87,143,92,2
103,1,5.81,114.92,161,98,11
104,1,5.83,114.96,173,75,12
105,1,5.84,114.96,152,84,17
106,1,5.84,114.97,160,87,2
107,1,5.84,114.97,161,93,3
108,1,5.85,115.02,158,70,9
109,1,5.86,115.03,138,70,9
110,1,5.86,115.04,147,74,2
111,1,5.87,115.16,168,77,9
112,1,5.87,115.18,160,83,2
113,1,5.88,115.23,154,73,22
114,1,5.89,115.24,153,74,5
115,1,5.91,115.29,163,72,27
116,1,5.91,115.37,153,84,2
117,1,5.92,115.4,171,91,2
118,1,5.93,115.46,155,93,2
119,1,5.94,115.46,156,109,2
120,1,5.94,115.55,144,82,14
121,1,5.95,115.55,157,92,14
122,1,5.95,115.59,180,80,2
123,1,5.95,115.79,169,69,7
124,1,5.96,115.82,154,78,2
125,1,5.97,115.85,149,82,6
