F12attr,F24attr,Fattr,B14attr,A13attr,Aattr,A19attr,C9attr,F30attr,Cattr,class
0.996675,0.869008,1.387565,0.230975,0.708842,1.734545,1.681645,0.701274,-0.079004,0.883663,3.0
-2.015759,-2.151056,-2.151641,2.279774,0.888293,-1.719846,-1.85283,0.881261,2.177708,1.184036,2.0
0.516432,0.518855,-0.098028,-0.084225,0.050856,0.485085,0.724391,0.281304,-0.183967,-0.077532,4.0
-2.146735,-2.282363,-1.539926,2.647507,1.187378,-1.719846,-2.073735,1.481217,1.967781,1.184036,2.0
0.603749,0.825239,0.513687,-0.136758,0.110673,0.999568,2.049819,0.641278,0.025959,0.102692,3.0
1.040333,0.869008,0.469993,0.493642,1.127561,-0.396887,0.135312,0.821265,0.498294,0.703439,1.0
0.210823,0.475086,-0.884518,-0.504491,-0.846398,-1.27886,0.503487,-0.618631,-0.551339,-0.55813,4.0
-0.967956,-1.275675,-0.928212,-0.662091,-0.966032,-0.102897,0.135312,-0.978606,-1.705935,-1.279026,5.0
1.083992,1.613081,0.906932,0.598708,0.649025,1.514052,1.75528,1.181239,0.235886,0.763513,4.0
-0.706005,-1.05683,-0.753436,-1.292491,-1.504385,-0.764376,-0.895577,-1.758549,-0.91871,-2.059997,7.0
0.210823,-0.356526,0.557381,0.178442,0.349941,-0.249892,-0.674672,-0.378649,0.025959,0.523215,1.0
0.822041,1.394236,0.338911,0.388575,0.888293,-0.176394,0.503487,0.101317,1.023111,-0.377906,1.0
1.12765,0.869008,0.863238,0.336042,0.768659,1.734545,1.681645,0.761269,0.183404,0.823588,3.0
0.909358,0.869008,1.038013,0.336042,0.529392,1.073066,1.31347,0.521286,0.183404,0.282916,3.0
0.472773,0.168703,0.207829,0.230975,0.708842,-1.205362,-0.969212,0.401295,0.130923,0.342991,1.0
0.341798,0.037396,0.688462,-0.662091,-0.188412,1.367057,0.724391,0.041321,-0.761265,0.583289,7
-0.880639,-0.531602,-1.321457,-0.557024,-1.2053,-1.27886,-0.453767,-1.638558,-0.708784,-1.399176,5.0
-1.055273,-0.006373,-1.889477,0.441108,-0.068778,-1.425855,1.092566,-0.318653,-0.079004,-0.137607,2.0
-1.491858,-2.151056,0.207829,1.386708,0.708842,0.338089,-1.190116,0.161312,3.174859,-0.618205,2.0
0.56009,0.518855,0.338911,-0.241825,0.050856,0.705578,1.018931,0.281304,-0.183967,-0.197682,3.0
1.43326,1.21916,1.606034,0.703775,1.366829,1.661048,1.75528,1.361226,0.025959,0.943738,3.0
1.389601,1.438005,1.387565,0.598708,1.247195,1.734545,2.049819,0.941256,0.708221,0.883663,3.0
1.083992,1.394236,0.906932,0.598708,0.888293,1.514052,1.75528,0.641278,0.603258,0.763513,3.0
-0.444054,-0.531602,-0.360191,-1.345024,-1.504385,0.044099,-0.085593,-1.518567,-1.2336,-1.038727,7.0
1.389601,1.21916,1.256483,0.598708,1.187378,1.661048,1.387105,1.481217,0.235886,1.184036,3.0
0.341798,0.562624,0.338911,0.230975,0.290124,-0.690878,-0.453767,0.821265,0.130923,0.282916,1.0
0.691066,-0.706678,0.863238,0.230975,0.828476,1.073066,-1.484656,0.281304,-0.236449,0.282916,3.0
0.079847,0.168703,0.207829,-0.767158,-0.547313,0.63208,0.503487,-0.798618,-0.813747,-0.618205,4.0
0.691066,0.562624,0.513687,0.020842,0.290124,1.367057,0.945296,-0.198662,0.340849,0.282916,3.0
-0.094787,-0.181449,-0.185416,-0.346891,-0.547313,0.63208,-0.380132,-1.278584,-0.656302,-0.377906,4.0
-0.618688,-0.531602,-0.709742,-1.345024,-1.504385,-0.470385,-0.085593,-1.518567,-1.2336,-1.279026,7.0
-1.317224,-1.363214,-1.277763,-0.924758,-1.025849,-1.27886,-1.411021,-1.278584,-0.761265,-1.038727,5.0
0.516432,0.518855,0.644768,-0.451958,-0.188412,1.367057,1.092566,0.281304,-0.603821,0.403065,7.0
-0.356737,-0.181449,-0.360191,-0.819691,-1.324934,-0.102897,0.061677,-1.33858,-0.866229,-1.45925,7.0
1.040333,0.562624,0.863238,0.230975,0.589209,1.367057,1.239836,0.581282,0.130923,0.523215,3.0
-0.444054,-0.181449,-0.534967,-0.924758,-1.025849,-0.470385,-0.085593,-1.698554,-0.656302,-1.519325,7.0
1.258626,1.000315,1.300177,0.808841,1.187378,1.220062,0.650756,1.481217,0.603258,0.763513,1.0
1.258626,1.438005,1.212789,0.703775,1.127561,1.661048,1.387105,0.821265,0.708221,0.943738,3.0
-0.444054,-1.888442,-0.185416,0.020842,-0.128595,-0.249892,-1.190116,-0.798618,2.440116,-0.918578,2.0
0.210823,0.081165,0.338911,-0.714624,-0.60713,0.705578,1.092566,0.341299,-2.283234,0.342991,3.0
-0.487713,-1.013061,-0.360191,-1.082358,-1.324934,-0.102897,-0.453767,-1.33858,0.130923,-1.218951,7.0
-1.055273,-1.144368,-1.015599,-0.767158,-1.025849,-0.690878,-0.969212,-1.278584,-0.656302,-1.038727,5.0
1.040333,1.044084,0.994319,0.283508,0.828476,1.073066,1.387105,0.821265,0.025959,0.703439,3.0
0.691066,0.212472,0.906932,0.178442,0.649025,-0.470385,-0.453767,0.101317,0.235886,0.042617,1.0
0.079847,-0.662909,0.382605,0.441108,0.17049,0.044099,-0.674672,-0.07867,0.498294,0.342991,5.0
0.472773,0.869008,0.207829,0.020842,0.17049,-0.470385,-0.085593,0.701274,-0.079004,0.342991,1.0
-2.146735,-1.800904,-2.239028,3.225374,1.665914,-1.866841,0.135312,0.521286,3.332304,2.085157,2.0
-0.880639,-1.144368,-0.360191,-0.451958,-0.666947,-0.176394,-0.748307,-0.678627,0.183404,-1.098802,5.0
0.516432,0.606393,0.732156,0.020842,0.349941,1.220062,1.166201,0.341299,0.235886,0.763513,3.0
-0.356737,-0.268987,-0.447579,-1.082358,-1.025849,-0.470385,-0.085593,-1.038601,-1.338564,-1.45925,7.0
-1.14259,-0.356526,-1.321457,-0.767158,-1.025849,-1.27886,-0.453767,-1.218588,0.235886,-1.5794,5.0
-0.356737,-0.356526,-0.098028,-0.451958,-1.2053,-0.911371,-1.337386,-0.49864,-0.183967,0.403065,1.0
-2.27771,-2.282363,-1.671008,2.805107,0.888293,-1.27886,-1.190116,0.341299,2.545079,-0.137607,2.0
-0.444054,-0.356526,-0.360191,-1.345024,-1.444568,-0.470385,-0.453767,-1.458571,-1.286082,-1.5794,7.0
-0.356737,-0.61914,0.033054,-0.924758,-1.025849,-0.470385,-0.380132,-1.278584,-1.338564,-1.45925,7.0
-0.444054,-0.181449,-0.884518,-0.924758,-1.265117,-0.470385,0.798026,-0.798618,-0.813747,-1.279026,7.0
-0.706005,-0.61914,-0.447579,-1.660224,-1.743652,0.411587,-0.380132,-1.758549,-1.496009,-1.038727,7.0
0.822041,0.693931,0.994319,0.441108,0.708842,0.338089,-0.380132,0.701274,0.130923,0.883663,1.0
-0.444054,-0.356526,-0.709742,-1.345024,-1.683835,-0.470385,-0.085593,-1.518567,-1.391045,-1.519325,7.0
0.8657,1.000315,0.906932,0.020842,0.349941,1.220062,1.46074,0.881261,0.235886,0.523215,3.0
0.691066,0.168703,1.256483,0.493642,0.828476,1.073066,-0.232863,0.581282,-0.079004,1.123962,1.0
0.8657,0.912777,1.038013,0.703775,1.127561,0.485085,0.650756,1.421222,0.340849,1.36426,1.0
1.12765,1.262929,1.212789,0.336042,0.768659,1.734545,2.344359,1.361226,0.603258,1.123962,3.0
-0.531371,-0.575371,-0.491273,-1.029824,-1.564201,-0.176394,-0.159228,-1.398575,-1.338564,-1.519325,7.0
