trans_date_trans_time,merchant,category,amt,city,state,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud
18-01-2019 12:12,Barton LLC,kids_pets,50.29,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,23-12-1974,9a994fcd0f384b9b380ee4d0de3bbe90,39.963174,-92.705051,0
03-01-2019 18:40,"""Monahan, Bogisich and Ledne""",misc_pos,2.49,Sutherland,NE,41.1558,-101.136,1789,Insurance broker,11-02-1982,7c2f7634a9b8e1e169e4efe1ccf69ded,41.196425,-101.21898,0
26-12-2020 16:58,Boyer-Haley,travel,6.42,Espanola,NM,35.9866,-106.0654,18408,Historic buildings inspector/conservation officer,18-07-1972,fb20a69618a30f8a7e80746d2aadf354,35.131377,-106.694545,0
27-12-2020 18:04,Denesik and Sons,shopping_pos,288.41,Newhall,CA,34.3795,-118.523,34882,Health physicist,25-04-1971,3b40e96cac4379036079e0056e8fcc11,34.160652,-118.460022,0
17-01-2019 22:38,Kihn-Schuste,food_dining,102.84,June Lake,CA,37.7773,-119.0825,633,Health service manager,09-09-1927,aec8ebd9b206715184c9f187a90f8b99,38.17657,-119.671255,0
27-12-2020 21:28,Feil-Mo,health_fitness,16.71,Manley,NE,40.9207,-96.168,206,Human resources officer,04-10-1967,a7de2a4830e6c93b7a250bc13595896d,41.239398,-96.135472,0
29-12-2020 06:52,Huel Lt,misc_net,123.19,Lake Oswego,OR,45.4093,-122.6847,42817,Planning and development surveyor,28-05-1982,b5c997dc5b463a82c0313794d18f05ea,45.009594,-122.888368,0
29-12-2020 16:21,Reilly LLC,home,72.16,Smith River,CA,41.9404,-124.1587,1930,Web designer,13-06-1983,51f6e6080665ca2942359c709ef873fa,42.263105,-124.525364,0
28-12-2020 12:02,"""Bradtke, Torp and Bahringe""",personal_care,129.26,Phoenix,AZ,33.5623,-112.0559,1312922,Contractor,24-10-1981,4e73e88d553473b38ffa15aa709d24c6,34.223087,-112.998651,0
25-12-2020 00:50,"""Schmeler, Bashirian and Price""",shopping_net,1.05,Colton,WA,46.5901,-117.1692,761,Chief Marketing Officer,30-06-1943,5b57f5a53b2a85858d16ed3d311970a6,46.211119,-116.470672,0
06-01-2019 15:07,Donnelly PLC,misc_net,390.94,Phoenix,AZ,33.8155,-112.1202,1312922,Counselling psychologist,30-11-1999,66009b7ca3188a679136cb4ad4ea0f4f,34.037938,-113.101068,0
21-01-2019 06:31,Miller-Hauck,grocery_pos,89.64,Jordan Valley,OR,42.8801,-117.281,641,Economist,24-11-1993,1e85d145d729ead6ad1661c3bba22eba,42.402531,-116.870367,0
21-01-2019 22:06,"""Hettinger, McCullough and Fay""",home,10.49,Espanola,NM,35.9866,-106.0654,18408,Historic buildings inspector/conservation officer,18-07-1972,6b141c3fc8179c185539ea78ab8f2095,35.017545,-105.316947,0
14-01-2019 02:23,Rowe-Vandervort,grocery_net,65.97,Altonah,UT,40.3207,-110.436,302,"""Sales professional, IT""",17-01-1990,6455547e16b3ea934c2e4ebbc159ad1d,39.552854,-110.795048,0
