DATASETNAME,MODELNAME,ACC,PREC,REC,F1,AUC,FEATNAME,FEATTYPE,ERRTYPE,MODELTYPE
age_predictions_cleaned-3.csv,Extra Tree Classifier,0.8567,0.8125,0.9033,0.8555,0.6041,BMXBMI,continue,Missing,Single Tree
age_predictions_cleaned-3.csv,K-Neighborg Classifier,0.7475,0.6719,0.9033,0.7706,0.5772,BMXBMI,continue,Missing,Neighborg based
age_predictions_cleaned-3.csv,SGD Classifier,0.5348,0.5024,0.9486,0.6569,0.0,BMXBMI,continue,Missing,Linear
age_predictions_cleaned-3.csv,Dummy Classifier,0.4695,0.4695,1.0,0.639,0.5,BMXBMI,continue,Missing,Heuristic based
age_predictions_cleaned-3.csv,Extra Tree Classifier,0.8567,0.8125,0.9033,0.8555,0.6041,LBXIN,continue,Missing,Single Tree
age_predictions_cleaned-3.csv,Random Forest Classifier,0.827,0.7832,0.8731,0.8257,0.5811,LBXIN,continue,Missing,Ensemble Tree
age_predictions_cleaned-3.csv,Gaussian Naive Bayes,0.6482,0.6,0.7523,0.6676,0.5156,LBXIN,continue,Missing,Probabilistic
age_predictions_cleaned-3.csv,SGD Classifier,0.5348,0.5024,0.9486,0.6569,0.0,LBXIN,continue,Missing,Linear
age_predictions_cleaned-3.csv,Random Forest Classifier,0.827,0.7832,0.8731,0.8257,0.5811,LBXGLU,continue,Missing,Ensemble Tree
age_predictions_cleaned-3.csv,Decision Tree Classifier,0.7745,0.7402,0.8006,0.7692,0.5,LBXGLU,continue,Missing,Single Tree
age_predictions_cleaned-3.csv,Ridge Classifier,0.6851,0.6562,0.6918,0.6735,0.0,LBXGLU,continue,Missing,Linear
age_predictions_cleaned-3.csv,Gradient Boosting Classifier,0.7546,0.717,0.7885,0.7511,0.5056,LBXGLT,continue,Missing,Ensemble Tree
age_predictions_cleaned-3.csv,Decision Tree Classifier,0.7745,0.7402,0.8006,0.7692,0.5,LBXGLT,continue,Missing,Single Tree
age_predictions_cleaned-3.csv,Ridge Classifier,0.6851,0.6562,0.6918,0.6735,0.0,LBXGLT,continue,Missing,Linear
age_predictions_cleaned-3.csv,Dummy Classifier,0.4695,0.4695,1.0,0.639,0.5,LBXGLT,continue,Missing,Heuristic based
age_predictions_cleaned-3.csv,Random Forest Classifier,0.827,0.7832,0.8731,0.8257,0.5811,PAQ605,continue,Missing,Ensemble Tree
age_predictions_cleaned-3.csv,Gradient Boosting Classifier,0.7546,0.717,0.7885,0.7511,0.5056,PAQ605,continue,Missing,Ensemble Tree
age_predictions_cleaned-3.csv,Cat Boost Classifier,0.8156,0.7753,0.855,0.8132,0.493,age_group,target,DuplicatedAll,Ensemble Tree
age_predictions_cleaned-3.csv,Linear Discriminant Analysis,0.6851,0.6562,0.6918,0.6735,0.4951,age_group,target,DuplicatedAll,Linear
age_predictions_cleaned-3.csv,Ada Boost Classifier,0.7262,0.6971,0.7372,0.7166,0.4906,age_group,target,Labels,Ensemble Tree
age_predictions_cleaned-3.csv,Random Forest Classifier,0.827,0.7832,0.8731,0.8257,0.5811,BMXBMI,continue,Outlier,Ensemble Tree
age_predictions_cleaned-3.csv,Cat Boost Classifier,0.8156,0.7753,0.855,0.8132,0.493,BMXBMI,continue,Outlier,Ensemble Tree
age_predictions_cleaned-3.csv,Gradient Boosting Classifier,0.7546,0.717,0.7885,0.7511,0.5056,BMXBMI,continue,Outlier,Ensemble Tree
age_predictions_cleaned-3.csv,SGD Classifier,0.5348,0.5024,0.9486,0.6569,0.0,LBXIN,continue,Outlier,Linear
age_predictions_cleaned-3.csv,Cat Boost Classifier,0.8156,0.7753,0.855,0.8132,0.493,LBXGLU,continue,Outlier,Ensemble Tree
age_predictions_cleaned-3.csv,Gradient Boosting Classifier,0.7546,0.717,0.7885,0.7511,0.5056,LBXGLU,continue,Outlier,Ensemble Tree
age_predictions_cleaned-3.csv,Ada Boost Classifier,0.7262,0.6971,0.7372,0.7166,0.4906,LBXGLT,continue,Outlier,Ensemble Tree
citrus.csv,Logistic Regression,1.0,1.0,1.0,1.0,0.5087,NULL,,NULL,Linear
citrus.csv,Random Forest Classifier,1.0,1.0,1.0,1.0,0.5037,NULL,,NULL,Ensemble Tree
citrus.csv,Extra Tree Classifier,1.0,1.0,1.0,1.0,0.5153,NULL,,NULL,Single Tree
citrus.csv,Decision Tree Classifier,1.0,1.0,1.0,1.0,0.5,NULL,,NULL,Single Tree
citrus.csv,Dummy Classifier,0.486,0.0,0.0,0.0,0.5,NULL,,NULL,Heuristic based
