ACC,PREC,REC,EPC,F1,AUC,DATASETNAME,ERRTYPE,ERRPERC,FEATTYPE,FEATNAME,MODELNAME,MODELTYPE
0.8567,0.8125,0.9033,,0.8555,0.6041,age_predictions_cleaned-3.csv,NULL,0.0,,NULL,Extra Tree Classifier,Single Tree
0.827,0.7832,0.8731,,0.8257,0.5811,age_predictions_cleaned-3.csv,NULL,0.0,,NULL,Random Forest Classifier,Ensemble Tree
0.8496,0.8358,0.8459,,0.8408,0.6531,age_predictions_cleaned-3.csv,NULL,0.0,,NULL,Support Vector Machine,Linear
0.8156,0.7753,0.855,,0.8132,0.493,age_predictions_cleaned-3.csv,NULL,0.0,,NULL,Cat Boost Classifier,Ensemble Tree
0.8113,0.7335,0.9396,,0.8238,0.8365,age_predictions_cleaned-3.csv,NULL,0.0,,NULL,Gaussian Process Classifier,Probabilistic
0.7745,0.7402,0.8006,,0.7692,0.5,age_predictions_cleaned-3.csv,NULL,0.0,,NULL,Decision Tree Classifier,Single Tree
0.7475,0.6719,0.9033,,0.7706,0.5772,age_predictions_cleaned-3.csv,NULL,0.0,,NULL,K-Neighborg Classifier,Neighborg based
0.7546,0.717,0.7885,,0.7511,0.5056,age_predictions_cleaned-3.csv,NULL,0.0,,NULL,Gradient Boosting Classifier,Ensemble Tree
0.7262,0.6971,0.7372,,0.7166,0.4906,age_predictions_cleaned-3.csv,NULL,0.0,,NULL,Ada Boost Classifier,Ensemble Tree
0.6851,0.6562,0.6918,,0.6735,0.0,age_predictions_cleaned-3.csv,NULL,0.0,,NULL,Ridge Classifier,Linear
0.6851,0.6562,0.6918,,0.6735,0.4951,age_predictions_cleaned-3.csv,NULL,0.0,,NULL,Linear Discriminant Analysis,Linear
0.6879,0.6572,0.7009,,0.6784,0.4992,age_predictions_cleaned-3.csv,NULL,0.0,,NULL,Logistic Regression,Linear
0.6482,0.6,0.7523,,0.6676,0.5156,age_predictions_cleaned-3.csv,NULL,0.0,,NULL,Gaussian Naive Bayes,Probabilistic
0.6766,0.6722,0.6073,,0.6381,0.4203,age_predictions_cleaned-3.csv,NULL,0.0,,NULL,MLP Classifier,Neural Networks
0.6298,0.5754,0.8066,,0.6717,0.5174,age_predictions_cleaned-3.csv,NULL,0.0,,NULL,Quadratic Discriminant Analysis,Probabilistic
0.5348,0.5024,0.9486,,0.6569,0.0,age_predictions_cleaned-3.csv,NULL,0.0,,NULL,SGD Classifier,Linear
0.4695,0.4695,1.0,,0.639,0.5,age_predictions_cleaned-3.csv,NULL,0.0,,NULL,Dummy Classifier,Heuristic based
0.8426,0.7957,0.8943,,0.8421,0.5985,age_predictions_cleaned-3.csv,Missing,0.2,continue,BMXBMI,Extra Tree Classifier,Single Tree
0.8369,0.8034,0.864,,0.8326,0.5457,age_predictions_cleaned-3.csv,Missing,0.2,continue,BMXBMI,Random Forest Classifier,Ensemble Tree
0.8496,0.8358,0.8459,,0.8408,0.653,age_predictions_cleaned-3.csv,Missing,0.2,continue,BMXBMI,Support Vector Machine,Linear
0.8113,0.7781,0.8369,,0.8064,0.481,age_predictions_cleaned-3.csv,Missing,0.2,continue,BMXBMI,Cat Boost Classifier,Ensemble Tree
0.8071,0.7283,0.9396,,0.8206,0.8343,age_predictions_cleaned-3.csv,Missing,0.2,continue,BMXBMI,Gaussian Process Classifier,Probabilistic
0.7617,0.7309,0.7795,,0.7544,0.4702,age_predictions_cleaned-3.csv,Missing,0.2,continue,BMXBMI,Gradient Boosting Classifier,Ensemble Tree
0.7461,0.6704,0.9033,,0.7696,0.5721,age_predictions_cleaned-3.csv,Missing,0.2,continue,BMXBMI,K-Neighborg Classifier,Neighborg based
0.7844,0.7493,0.8127,,0.7797,0.5,age_predictions_cleaned-3.csv,Missing,0.2,continue,BMXBMI,Decision Tree Classifier,Single Tree
0.7177,0.6919,0.719,,0.7052,0.4944,age_predictions_cleaned-3.csv,Missing,0.2,continue,BMXBMI,Ada Boost Classifier,Ensemble Tree
0.6894,0.6591,0.7009,,0.6794,0.4991,age_predictions_cleaned-3.csv,Missing,0.2,continue,BMXBMI,Logistic Regression,Linear
0.6879,0.6581,0.6979,,0.6774,0.4954,age_predictions_cleaned-3.csv,Missing,0.2,continue,BMXBMI,Linear Discriminant Analysis,Linear
0.6894,0.6591,0.7009,,0.6794,0.0,age_predictions_cleaned-3.csv,Missing,0.2,continue,BMXBMI,Ridge Classifier,Linear
0.644,0.598,0.7372,,0.6604,0.5124,age_predictions_cleaned-3.csv,Missing,0.2,continue,BMXBMI,Gaussian Naive Bayes,Probabilistic
0.6454,0.599,0.7402,,0.6622,0.5507,age_predictions_cleaned-3.csv,Missing,0.2,continue,BMXBMI,MLP Classifier,Neural Networks
0.6383,0.583,0.8066,,0.6768,0.5149,age_predictions_cleaned-3.csv,Missing,0.2,continue,BMXBMI,Quadratic Discriminant Analysis,Probabilistic
0.5305,0.0,0.0,,0.0,0.0,age_predictions_cleaned-3.csv,Missing,0.2,continue,BMXBMI,SGD Classifier,Linear
0.4695,0.4695,1.0,,0.639,0.5,age_predictions_cleaned-3.csv,Missing,0.2,continue,BMXBMI,Dummy Classifier,Heuristic based
0.8397,0.8028,0.8731,,0.8365,0.5823,age_predictions_cleaned-3.csv,Missing,0.4,continue,BMXBMI,Extra Tree Classifier,Single Tree
0.8426,0.809,0.8701,,0.8384,0.5472,age_predictions_cleaned-3.csv,Missing,0.4,continue,BMXBMI,Random Forest Classifier,Ensemble Tree
0.8156,0.7896,0.8278,,0.8083,0.473,age_predictions_cleaned-3.csv,Missing,0.4,continue,BMXBMI,Cat Boost Classifier,Ensemble Tree
0.8482,0.8333,0.8459,,0.8396,0.648,age_predictions_cleaned-3.csv,Missing,0.4,continue,BMXBMI,Support Vector Machine,Linear
0.8085,0.729,0.9426,,0.8221,0.831,age_predictions_cleaned-3.csv,Missing,0.4,continue,BMXBMI,Gaussian Process Classifier,Probabilistic
0.7447,0.6689,0.9033,,0.7686,0.5738,age_predictions_cleaned-3.csv,Missing,0.4,continue,BMXBMI,K-Neighborg Classifier,Neighborg based
0.7915,0.7788,0.7764,,0.7776,0.5,age_predictions_cleaned-3.csv,Missing,0.4,continue,BMXBMI,Decision Tree Classifier,Single Tree
0.756,0.7265,0.7704,,0.7478,0.4731,age_predictions_cleaned-3.csv,Missing,0.4,continue,BMXBMI,Gradient Boosting Classifier,Ensemble Tree
0.7191,0.6997,0.7039,,0.7018,0.4817,age_predictions_cleaned-3.csv,Missing,0.4,continue,BMXBMI,Ada Boost Classifier,Ensemble Tree
0.6894,0.66,0.6979,,0.6784,0.5008,age_predictions_cleaned-3.csv,Missing,0.4,continue,BMXBMI,Logistic Regression,Linear
0.6837,0.6543,0.6918,,0.6725,0.0,age_predictions_cleaned-3.csv,Missing,0.4,continue,BMXBMI,Ridge Classifier,Linear
