acc,prec,rec,epc_at,f1,auc,datasetname,errtype,errperc,feattype,featname,modelname,modeltype
0.8567,0.8125,0.9033,,0.8555,0.6041,age_predictions_cleaned-3.csv,Missing,0,continue,BMXBMI,Extra Tree Classifier,Single Tree
0.7475,0.6719,0.9033,,0.7706,0.5772,age_predictions_cleaned-3.csv,Missing,0,continue,BMXBMI,K-Neighborg Classifier,Neighborg based
0.5348,0.5024,0.9486,,0.6569,0.0,age_predictions_cleaned-3.csv,Missing,0,continue,BMXBMI,SGD Classifier,Linear
0.4695,0.4695,1.0,,0.639,0.5,age_predictions_cleaned-3.csv,Missing,0,continue,BMXBMI,Dummy Classifier,Heuristic based
0.8567,0.8125,0.9033,,0.8555,0.6041,age_predictions_cleaned-3.csv,Missing,0,continue,LBXIN,Extra Tree Classifier,Single Tree
0.827,0.7832,0.8731,,0.8257,0.5811,age_predictions_cleaned-3.csv,Missing,0,continue,LBXIN,Random Forest Classifier,Ensemble Tree
0.6482,0.6,0.7523,,0.6676,0.5156,age_predictions_cleaned-3.csv,Missing,0,continue,LBXIN,Gaussian Naive Bayes,Probabilistic
0.5348,0.5024,0.9486,,0.6569,0.0,age_predictions_cleaned-3.csv,Missing,0,continue,LBXIN,SGD Classifier,Linear
0.827,0.7832,0.8731,,0.8257,0.5811,age_predictions_cleaned-3.csv,Missing,0,continue,LBXGLU,Random Forest Classifier,Ensemble Tree
0.7745,0.7402,0.8006,,0.7692,0.5,age_predictions_cleaned-3.csv,Missing,0,continue,LBXGLU,Decision Tree Classifier,Single Tree
0.6851,0.6562,0.6918,,0.6735,0.0,age_predictions_cleaned-3.csv,Missing,0,continue,LBXGLU,Ridge Classifier,Linear
0.7546,0.717,0.7885,,0.7511,0.5056,age_predictions_cleaned-3.csv,Missing,0,continue,LBXGLT,Gradient Boosting Classifier,Ensemble Tree
0.7745,0.7402,0.8006,,0.7692,0.5,age_predictions_cleaned-3.csv,Missing,0,continue,LBXGLT,Decision Tree Classifier,Single Tree
0.6851,0.6562,0.6918,,0.6735,0.0,age_predictions_cleaned-3.csv,Missing,0,continue,LBXGLT,Ridge Classifier,Linear
0.4695,0.4695,1.0,,0.639,0.5,age_predictions_cleaned-3.csv,Missing,0,continue,LBXGLT,Dummy Classifier,Heuristic based
0.827,0.7832,0.8731,,0.8257,0.5811,age_predictions_cleaned-3.csv,Missing,0,continue,PAQ605,Random Forest Classifier,Ensemble Tree
0.7546,0.717,0.7885,,0.7511,0.5056,age_predictions_cleaned-3.csv,Missing,0,continue,PAQ605,Gradient Boosting Classifier,Ensemble Tree
0.8156,0.7753,0.855,,0.8132,0.493,age_predictions_cleaned-3.csv,DuplicatedAll,0,target,age_group,Cat Boost Classifier,Ensemble Tree
0.6851,0.6562,0.6918,,0.6735,0.4951,age_predictions_cleaned-3.csv,DuplicatedAll,0,target,age_group,Linear Discriminant Analysis,Linear
0.7262,0.6971,0.7372,,0.7166,0.4906,age_predictions_cleaned-3.csv,Labels,0,target,age_group,Ada Boost Classifier,Ensemble Tree
0.827,0.7832,0.8731,,0.8257,0.5811,age_predictions_cleaned-3.csv,Outlier,0,continue,BMXBMI,Random Forest Classifier,Ensemble Tree
0.8156,0.7753,0.855,,0.8132,0.493,age_predictions_cleaned-3.csv,Outlier,0,continue,BMXBMI,Cat Boost Classifier,Ensemble Tree
0.7546,0.717,0.7885,,0.7511,0.5056,age_predictions_cleaned-3.csv,Outlier,0,continue,BMXBMI,Gradient Boosting Classifier,Ensemble Tree
0.5348,0.5024,0.9486,,0.6569,0.0,age_predictions_cleaned-3.csv,Outlier,0,continue,LBXIN,SGD Classifier,Linear
0.8156,0.7753,0.855,,0.8132,0.493,age_predictions_cleaned-3.csv,Outlier,0,continue,LBXGLU,Cat Boost Classifier,Ensemble Tree
0.7546,0.717,0.7885,,0.7511,0.5056,age_predictions_cleaned-3.csv,Outlier,0,continue,LBXGLU,Gradient Boosting Classifier,Ensemble Tree
0.7262,0.6971,0.7372,,0.7166,0.4906,age_predictions_cleaned-3.csv,Outlier,0,continue,LBXGLT,Ada Boost Classifier,Ensemble Tree
1.0,1.0,1.0,,1.0,0.5087,citrus.csv,NULL,0,,NULL,Logistic Regression,Linear
1.0,1.0,1.0,,1.0,0.5037,citrus.csv,NULL,0,,NULL,Random Forest Classifier,Ensemble Tree
1.0,1.0,1.0,,1.0,0.5153,citrus.csv,NULL,0,,NULL,Extra Tree Classifier,Single Tree
1.0,1.0,1.0,,1.0,0.5,citrus.csv,NULL,0,,NULL,Decision Tree Classifier,Single Tree
0.486,0.0,0.0,,0.0,0.5,citrus.csv,NULL,0,,NULL,Dummy Classifier,Heuristic based
1.0,1.0,1.0,,1.0,0.5,citrus.csv,Missing,0,continue,diameter,K-Neighborg Classifier,Neighborg based
1.0,1.0,1.0,,1.0,0.5,citrus.csv,Missing,0,continue,diameter,Ada Boost Classifier,Ensemble Tree
1.0,1.0,1.0,,1.0,0.7725,citrus.csv,Missing,0,continue,weight,Cat Boost Classifier,Ensemble Tree
1.0,1.0,1.0,,1.0,0.5,citrus.csv,Missing,0,continue,weight,Gradient Boosting Classifier,Ensemble Tree
1.0,1.0,1.0,,1.0,0.0,citrus.csv,Missing,0,continue,weight,SGD Classifier,Linear
1.0,1.0,1.0,,1.0,0.5037,citrus.csv,Missing,0,discrete,red,Random Forest Classifier,Ensemble Tree
1.0,1.0,1.0,,1.0,0.5153,citrus.csv,Missing,0,discrete,red,Extra Tree Classifier,Single Tree
1.0,1.0,1.0,,1.0,0.5016,citrus.csv,Missing,0,discrete,green,Quadratic Discriminant Analysis,Probabilistic
1.0,1.0,1.0,,1.0,0.0,citrus.csv,Missing,0,discrete,green,SGD Classifier,Linear
1.0,1.0,1.0,,1.0,0.5037,citrus.csv,Missing,0,discrete,blue,Random Forest Classifier,Ensemble Tree
1.0,1.0,1.0,,1.0,0.5,citrus.csv,Labels,0,target,name,Ada Boost Classifier,Ensemble Tree
1.0,1.0,1.0,,1.0,0.0,citrus.csv,Labels,0,target,name,SGD Classifier,Linear
1.0,1.0,1.0,,1.0,0.5153,citrus.csv,Outlier,0,continue,diameter,Extra Tree Classifier,Single Tree
1.0,1.0,1.0,,1.0,0.5056,citrus.csv,Outlier,0,continue,diameter,Gaussian Process Classifier,Probabilistic
1.0,1.0,1.0,,1.0,0.5087,citrus.csv,Outlier,0,continue,weight,Logistic Regression,Linear
1.0,1.0,1.0,,1.0,0.5,citrus.csv,Outlier,0,continue,weight,Ada Boost Classifier,Ensemble Tree
1.0,1.0,1.0,,1.0,0.5056,citrus.csv,Outlier,0,continue,weight,Gaussian Process Classifier,Probabilistic
0.486,0.0,0.0,,0.0,0.5,citrus.csv,Outlier,0,continue,weight,Dummy Classifier,Heuristic based
1.0,1.0,1.0,,1.0,0.5,citrus.csv,Outlier,0,discrete,red,Decision Tree Classifier,Single Tree
