datasetName,errorType,feature,modelName,percentage,epc_at
Employee.csv,Outlier,Age,QuadraticDiscriminantAnalysis,0.8,0.7071
Employee.csv,Outlier,Age,SGDClassifier,0.8,0.7071
Employee.csv,Outlier,City,QuadraticDiscriminantAnalysis,0.6,0.7081
Employee.csv,Noisy,Gender,KNeighborsClassifier,0.8,0.7168
Employee.csv,Noisy,ExperienceInCurrentDomain,ExtraTreesClassifier,0.6,0.7174
Employee.csv,Noisy,City,DecisionTreeClassifier,0.8,0.7191
Employee.csv,Outlier,Gender,QuadraticDiscriminantAnalysis,0.4,0.7204
Employee.csv,Noisy,ExperienceInCurrentDomain,CatBoostClassifier,0.6,0.7229
Employee.csv,Noisy,City,RandomForestClassifier,0.6,0.7242
Employee.csv,Noisy,City,DecisionTreeClassifier,0.6,0.727
Employee.csv,Noisy,City,ExtraTreesClassifier,0.6,0.7301
Employee.csv,Missing,Gender,GaussianNB,0.8,0.7324
Employee.csv,Noisy,ExperienceInCurrentDomain,GradientBoostingClassifier,0.6,0.7324
Employee.csv,Noisy,ExperienceInCurrentDomain,SVC,0.6,0.7327
Employee.csv,Noisy,Gender,GaussianProcessClassifier,0.8,0.7344
Employee.csv,Noisy,ExperienceInCurrentDomain,RandomForestClassifier,0.6,0.7414
Employee.csv,Outlier,ExperienceInCurrentDomain,SVC,0.8,0.7415
Employee.csv,Noisy,Education,QuadraticDiscriminantAnalysis,0.8,0.7422
Employee.csv,Noisy,Gender,QuadraticDiscriminantAnalysis,0.4,0.7433
Employee.csv,Noisy,Age,AdaBoostClassifier,0.8,0.7438
Employee.csv,Noisy,Gender,GaussianNB,0.6,0.7499
Employee.csv,Outlier,Gender,QuadraticDiscriminantAnalysis,0.6,0.7501
Employee.csv,Noisy,Gender,KNeighborsClassifier,0.6,0.7565
Employee.csv,Outlier,JoiningYear,QuadraticDiscriminantAnalysis,0.8,0.7577
Employee.csv,Noisy,Age,CatBoostClassifier,0.8,0.7589
Employee.csv,Noisy,Age,GaussianProcessClassifier,0.6,0.7596
Employee.csv,Outlier,City,GaussianNB,0.8,0.7621
Employee.csv,Noisy,Age,RandomForestClassifier,0.8,0.7634
Employee.csv,Noisy,Age,GradientBoostingClassifier,0.8,0.7684
Employee.csv,Outlier,JoiningYear,QuadraticDiscriminantAnalysis,0.6,0.7732
Employee.csv,Noisy,ExperienceInCurrentDomain,AdaBoostClassifier,0.6,0.7744
Employee.csv,Missing,City,SGDClassifier,0.6,0.7746
Employee.csv,Outlier,JoiningYear,SGDClassifier,0.6,0.7746
Employee.csv,Outlier,Age,QuadraticDiscriminantAnalysis,0.6,0.7746
Employee.csv,Outlier,Age,SVC,0.6,0.7746
Employee.csv,Outlier,Age,SGDClassifier,0.6,0.7746
Employee.csv,Labels,LeaveOrNot,DummyClassifier,0.6,0.7746
Employee.csv,Noisy,Gender,RidgeClassifier,0.8,0.7871
Employee.csv,Noisy,Gender,LinearDiscriminantAnalysis,0.8,0.788
Employee.csv,Outlier,Age,ExtraTreesClassifier,0.6,0.7916
Employee.csv,Outlier,ExperienceInCurrentDomain,SVC,0.6,0.7948
Employee.csv,Noisy,Age,ExtraTreesClassifier,0.8,0.7949
Employee.csv,Noisy,ExperienceInCurrentDomain,DecisionTreeClassifier,0.6,0.801
Employee.csv,Noisy,City,RandomForestClassifier,0.4,0.8037
Employee.csv,Noisy,Age,AdaBoostClassifier,0.6,0.8046
Employee.csv,Noisy,ExperienceInCurrentDomain,DecisionTreeClassifier,0.4,0.8065
Employee.csv,Noisy,Age,SVC,0.8,0.8079
Employee.csv,Noisy,Gender,KNeighborsClassifier,0.4,0.818
Employee.csv,Noisy,Age,KNeighborsClassifier,0.8,0.818
Employee.csv,Labels,LeaveOrNot,RidgeClassifier,0.6,0.8198
Employee.csv,Noisy,ExperienceInCurrentDomain,KNeighborsClassifier,0.4,0.8201
Employee.csv,Noisy,Age,ExtraTreesClassifier,0.6,0.8208
Employee.csv,Noisy,Gender,GaussianProcessClassifier,0.6,0.8233
Employee.csv,Labels,LeaveOrNot,LinearDiscriminantAnalysis,0.6,0.8241
Employee.csv,Noisy,Age,GradientBoostingClassifier,0.6,0.8251
Employee.csv,Noisy,Age,SVC,0.6,0.8253
Employee.csv,Noisy,City,DecisionTreeClassifier,0.4,0.8265
Employee.csv,Noisy,Age,CatBoostClassifier,0.6,0.8275
Employee.csv,Noisy,Gender,GaussianNB,0.4,0.8304
Employee.csv,Outlier,Gender,QuadraticDiscriminantAnalysis,0.8,0.8333
Employee.csv,Outlier,City,QuadraticDiscriminantAnalysis,0.4,0.8335
Employee.csv,Labels,LeaveOrNot,GaussianNB,0.4,0.8356
Employee.csv,Missing,City,QuadraticDiscriminantAnalysis,0.6,0.8382
Employee.csv,Labels,LeaveOrNot,RidgeClassifier,0.4,0.8411
Employee.csv,Noisy,Age,KNeighborsClassifier,0.4,0.8428
Employee.csv,Labels,LeaveOrNot,LinearDiscriminantAnalysis,0.4,0.8436
Employee.csv,Noisy,ExperienceInCurrentDomain,ExtraTreesClassifier,0.4,0.8454
Employee.csv,Missing,City,GaussianNB,0.4,0.8456
Employee.csv,Labels,LeaveOrNot,LogisticRegression,0.6,0.8464
Employee.csv,Noisy,ExperienceInCurrentDomain,SVC,0.4,0.8464
Employee.csv,Noisy,JoiningYear,SGDClassifier,0.4,0.8469
Employee.csv,Noisy,Age,RandomForestClassifier,0.6,0.8475
Employee.csv,Noisy,City,ExtraTreesClassifier,0.4,0.8476
Employee.csv,Labels,LeaveOrNot,AdaBoostClassifier,0.6,0.8518
Employee.csv,Outlier,ExperienceInCurrentDomain,QuadraticDiscriminantAnalysis,0.4,0.8532
Employee.csv,Noisy,Age,GaussianProcessClassifier,0.4,0.8535
Employee.csv,Noisy,ExperienceInCurrentDomain,AdaBoostClassifier,0.4,0.8558
Employee.csv,Noisy,Age,DecisionTreeClassifier,0.8,0.8568
Employee.csv,Noisy,Age,DecisionTreeClassifier,0.6,0.8595
Employee.csv,Noisy,JoiningYear,AdaBoostClassifier,0.4,0.866
Employee.csv,Outlier,Age,QuadraticDiscriminantAnalysis,0.4,0.866
Employee.csv,Outlier,Age,SGDClassifier,0.4,0.866
Employee.csv,Labels,LeaveOrNot,DummyClassifier,0.8,0.866
Employee.csv,Outlier,ExperienceInCurrentDomain,SVC,0.4,0.866
Employee.csv,Noisy,ExperienceInCurrentDomain,GradientBoostingClassifier,0.4,0.866
Employee.csv,Outlier,Age,SVC,0.4,0.8705
Employee.csv,Noisy,Age,GradientBoostingClassifier,0.4,0.8709
Employee.csv,Labels,LeaveOrNot,GaussianNB,0.6,0.8748
Employee.csv,Noisy,ExperienceInCurrentDomain,RandomForestClassifier,0.4,0.8758
Employee.csv,Noisy,Age,AdaBoostClassifier,0.4,0.8763
Employee.csv,Noisy,Age,RandomForestClassifier,0.4,0.8807
Employee.csv,Outlier,JoiningYear,ExtraTreesClassifier,0.6,0.8812
Employee.csv,Noisy,Age,CatBoostClassifier,0.4,0.8837
Employee.csv,Outlier,JoiningYear,QuadraticDiscriminantAnalysis,0.4,0.8924
Employee.csv,Noisy,Age,KNeighborsClassifier,0.6,0.8946
Employee.csv,Noisy,Age,ExtraTreesClassifier,0.4,0.8954
Employee.csv,Labels,LeaveOrNot,AdaBoostClassifier,0.4,0.898
Employee.csv,Noisy,Age,SVC,0.4,0.8988
Employee.csv,Noisy,Gender,LinearDiscriminantAnalysis,0.6,0.8993
Employee.csv,Labels,LeaveOrNot,RidgeClassifier,0.8,0.8998
Employee.csv,Noisy,ExperienceInCurrentDomain,CatBoostClassifier,0.4,0.8999
Employee.csv,Outlier,Age,ExtraTreesClassifier,0.4,0.9006
Employee.csv,Outlier,JoiningYear,ExtraTreesClassifier,0.8,0.9014
Employee.csv,Missing,Education,QuadraticDiscriminantAnalysis,0.6,0.9016
Employee.csv,Labels,LeaveOrNot,LinearDiscriminantAnalysis,0.8,0.9025
Employee.csv,Noisy,Gender,RidgeClassifier,0.6,0.9052
Employee.csv,Noisy,Gender,GaussianProcessClassifier,0.4,0.9071
Employee.csv,Noisy,JoiningYear,KNeighborsClassifier,0.4,0.9078
Employee.csv,Noisy,Gender,DecisionTreeClassifier,0.4,0.9103
Employee.csv,Labels,LeaveOrNot,GradientBoostingClassifier,0.6,0.912
Employee.csv,Missing,City,QuadraticDiscriminantAnalysis,0.8,0.9122
Employee.csv,Missing,City,GaussianNB,0.6,0.9138
Employee.csv,Labels,LeaveOrNot,LogisticRegression,0.8,0.9138
Employee.csv,Noisy,JoiningYear,DecisionTreeClassifier,0.6,0.9139
Employee.csv,Labels,LeaveOrNot,QuadraticDiscriminantAnalysis,0.8,0.9141
Employee.csv,Labels,LeaveOrNot,GradientBoostingClassifier,0.4,0.9196
Employee.csv,Labels,LeaveOrNot,AdaBoostClassifier,0.8,0.9214
Employee.csv,Labels,LeaveOrNot,CatBoostClassifier,0.4,0.9256
Employee.csv,Missing,Education,QuadraticDiscriminantAnalysis,0.8,0.9258
Employee.csv,Noisy,Education,DecisionTreeClassifier,0.4,0.9276
Employee.csv,Missing,Gender,GaussianNB,0.4,0.9295
Employee.csv,Labels,LeaveOrNot,GaussianNB,0.8,0.9297
Employee.csv,Labels,LeaveOrNot,SVC,0.6,0.9316
Employee.csv,Noisy,JoiningYear,DecisionTreeClassifier,0.4,0.9335
Employee.csv,Labels,LeaveOrNot,CatBoostClassifier,0.6,0.9341
Employee.csv,Noisy,City,QuadraticDiscriminantAnalysis,0.6,0.935
Employee.csv,Outlier,JoiningYear,DecisionTreeClassifier,0.4,0.9362
Employee.csv,Noisy,Gender,LogisticRegression,0.8,0.9373
Employee.csv,Labels,LeaveOrNot,SVC,0.4,0.938
Employee.csv,Noisy,JoiningYear,AdaBoostClassifier,0.6,0.9385
Employee.csv,Outlier,JoiningYear,ExtraTreesClassifier,0.4,0.939
Employee.csv,Outlier,JoiningYear,DecisionTreeClassifier,0.8,0.9434
Employee.csv,Labels,LeaveOrNot,GaussianProcessClassifier,0.4,0.9446
Employee.csv,Noisy,JoiningYear,SVC,0.4,0.9452
Employee.csv,Noisy,JoiningYear,DecisionTreeClassifier,0.8,0.9481
Employee.csv,Noisy,Age,DecisionTreeClassifier,0.4,0.9487
Employee.csv,Noisy,JoiningYear,CatBoostClassifier,0.4,0.9502
Employee.csv,Outlier,JoiningYear,SVC,0.8,0.9518
Employee.csv,Missing,City,GaussianNB,0.8,0.9521
Employee.csv,Labels,LeaveOrNot,GradientBoostingClassifier,0.8,0.9553
Employee.csv,Noisy,Gender,RidgeClassifier,0.4,0.9557
Employee.csv,Noisy,JoiningYear,KNeighborsClassifier,0.6,0.959
Employee.csv,Noisy,JoiningYear,AdaBoostClassifier,0.8,0.9605
Employee.csv,Outlier,JoiningYear,DecisionTreeClassifier,0.6,0.961
Employee.csv,Noisy,Gender,LogisticRegression,0.6,0.9611
Employee.csv,Noisy,Education,DecisionTreeClassifier,0.6,0.9628
Employee.csv,Labels,LeaveOrNot,SVC,0.8,0.9643
Employee.csv,Labels,LeaveOrNot,LogisticRegression,0.4,0.9646
Employee.csv,Labels,LeaveOrNot,RandomForestClassifier,0.4,0.9649
Employee.csv,Labels,LeaveOrNot,GaussianProcessClassifier,0.6,0.9655
Employee.csv,Noisy,JoiningYear,SVC,0.8,0.9656
Employee.csv,Labels,LeaveOrNot,QuadraticDiscriminantAnalysis,0.6,0.9661
Employee.csv,Noisy,JoiningYear,GradientBoostingClassifier,0.4,0.9662
Employee.csv,Labels,LeaveOrNot,KNeighborsClassifier,0.4,0.9663
Employee.csv,Labels,LeaveOrNot,CatBoostClassifier,0.8,0.9675
Employee.csv,Labels,LeaveOrNot,ExtraTreesClassifier,0.4,0.972
Employee.csv,Noisy,JoiningYear,CatBoostClassifier,0.6,0.9727
Employee.csv,Noisy,JoiningYear,GradientBoostingClassifier,0.6,0.973
Employee.csv,Noisy,JoiningYear,SVC,0.6,0.9735
Employee.csv,Outlier,Education,QuadraticDiscriminantAnalysis,0.6,0.9751
Employee.csv,Outlier,Education,QuadraticDiscriminantAnalysis,0.8,0.977
Employee.csv,Labels,LeaveOrNot,QuadraticDiscriminantAnalysis,0.4,0.9771
Employee.csv,Noisy,JoiningYear,GradientBoostingClassifier,0.8,0.9784
Employee.csv,Noisy,JoiningYear,KNeighborsClassifier,0.8,0.9797
Employee.csv,Noisy,Education,DecisionTreeClassifier,0.8,0.9808
Employee.csv,Noisy,JoiningYear,RandomForestClassifier,0.8,0.9818
Employee.csv,Labels,LeaveOrNot,KNeighborsClassifier,0.6,0.982
Employee.csv,Noisy,Gender,LinearDiscriminantAnalysis,0.4,0.9821
Employee.csv,Labels,LeaveOrNot,GaussianProcessClassifier,0.8,0.9829
Employee.csv,Noisy,JoiningYear,CatBoostClassifier,0.8,0.9838
Employee.csv,Noisy,JoiningYear,RandomForestClassifier,0.6,0.9839
Employee.csv,Labels,LeaveOrNot,RandomForestClassifier,0.6,0.9843
Employee.csv,Labels,LeaveOrNot,ExtraTreesClassifier,0.6,0.9854
Employee.csv,Outlier,JoiningYear,SVC,0.6,0.9886
Employee.csv,Labels,LeaveOrNot,KNeighborsClassifier,0.8,0.9902
Employee.csv,Labels,LeaveOrNot,RandomForestClassifier,0.8,0.9922
Employee.csv,Noisy,JoiningYear,ExtraTreesClassifier,0.6,0.9924
Employee.csv,Labels,LeaveOrNot,ExtraTreesClassifier,0.8,0.9927
Employee.csv,Missing,Education,QuadraticDiscriminantAnalysis,0.4,0.9938
Employee.csv,Noisy,JoiningYear,ExtraTreesClassifier,0.8,0.9946
Employee.csv,Labels,LeaveOrNot,DecisionTreeClassifier,0.4,0.9953
Employee.csv,Outlier,JoiningYear,SVC,0.4,0.9961
Employee.csv,Noisy,JoiningYear,RandomForestClassifier,0.4,0.9971
Employee.csv,Noisy,City,QuadraticDiscriminantAnalysis,0.4,0.998
Employee.csv,Labels,LeaveOrNot,DecisionTreeClassifier,0.6,0.9981
Employee.csv,Labels,LeaveOrNot,DecisionTreeClassifier,0.8,0.999
Employee.csv,Outlier,Education,QuadraticDiscriminantAnalysis,0.4,0.9992
Employee.csv,Noisy,Education,QuadraticDiscriminantAnalysis,0.4,0.9994
Employee.csv,Noisy,JoiningYear,ExtraTreesClassifier,0.4,0.9996
Employee.csv,Noisy,Gender,LogisticRegression,0.4,0.9998
