datasetName,errorType,feature,modelName,percentage,epc_at
Healthcare-Diabetes.csv,Noisy,BloodPressure,LogisticRegression,0.8,0.7015
Healthcare-Diabetes.csv,Outlier,Age,QuadraticDiscriminantAnalysis,0.8,0.7015
Healthcare-Diabetes.csv,Outlier,Insulin,QuadraticDiscriminantAnalysis,0.6,0.703
Healthcare-Diabetes.csv,Outlier,SkinThickness,RidgeClassifier,0.8,0.7061
Healthcare-Diabetes.csv,Outlier,Glucose,SGDClassifier,0.8,0.707
Healthcare-Diabetes.csv,Outlier,DiabetesPedigreeFunction,GaussianProcessClassifier,0.8,0.7071
Healthcare-Diabetes.csv,Noisy,DiabetesPedigreeFunction,GaussianProcessClassifier,0.8,0.7071
Healthcare-Diabetes.csv,Outlier,SkinThickness,GaussianProcessClassifier,0.8,0.7071
Healthcare-Diabetes.csv,Outlier,Insulin,GaussianProcessClassifier,0.8,0.7071
Healthcare-Diabetes.csv,Outlier,Age,GaussianProcessClassifier,0.8,0.7071
Healthcare-Diabetes.csv,Noisy,Age,GaussianProcessClassifier,0.8,0.7071
Healthcare-Diabetes.csv,Outlier,BloodPressure,QuadraticDiscriminantAnalysis,0.8,0.7073
Healthcare-Diabetes.csv,Noisy,BloodPressure,CatBoostClassifier,0.8,0.709
Healthcare-Diabetes.csv,Outlier,Glucose,GaussianNB,0.8,0.7095
Healthcare-Diabetes.csv,Outlier,SkinThickness,LinearDiscriminantAnalysis,0.8,0.7097
Healthcare-Diabetes.csv,Outlier,Insulin,GaussianNB,0.8,0.7098
Healthcare-Diabetes.csv,Outlier,SkinThickness,QuadraticDiscriminantAnalysis,0.8,0.7109
Healthcare-Diabetes.csv,Outlier,BloodPressure,RidgeClassifier,0.8,0.7112
Healthcare-Diabetes.csv,Outlier,DiabetesPedigreeFunction,DecisionTreeClassifier,0.4,0.7132
Healthcare-Diabetes.csv,Outlier,BloodPressure,GaussianNB,0.8,0.7185
Healthcare-Diabetes.csv,Noisy,Insulin,RidgeClassifier,0.8,0.7189
Healthcare-Diabetes.csv,Outlier,Age,GaussianNB,0.8,0.7215
Healthcare-Diabetes.csv,Noisy,SkinThickness,CatBoostClassifier,0.8,0.7222
Healthcare-Diabetes.csv,Missing,SkinThickness,MLPClassifier,0.6,0.723
Healthcare-Diabetes.csv,Outlier,SkinThickness,LogisticRegression,0.8,0.7233
Healthcare-Diabetes.csv,Noisy,BloodPressure,GaussianNB,0.8,0.7247
Healthcare-Diabetes.csv,Outlier,Age,LogisticRegression,0.6,0.7247
Healthcare-Diabetes.csv,Noisy,BloodPressure,RidgeClassifier,0.6,0.7257
Healthcare-Diabetes.csv,Outlier,Age,DecisionTreeClassifier,0.6,0.7278
Healthcare-Diabetes.csv,Noisy,SkinThickness,GaussianProcessClassifier,0.6,0.728
