datasetName,errorType,feature,modelName,percentage,epc_at
ShippingData.csv,Outlier,Warehouse_block,QuadraticDiscriminantAnalysis,0.8,0.704
ShippingData.csv,Outlier,Warehouse_block,QuadraticDiscriminantAnalysis,0.6,0.714
ShippingData.csv,Labels,Reached.on.Time_Y.N,AdaBoostClassifier,0.4,0.7166
ShippingData.csv,Labels,Reached.on.Time_Y.N,SGDClassifier,0.8,0.7268
ShippingData.csv,Labels,Reached.on.Time_Y.N,MLPClassifier,0.6,0.7339
ShippingData.csv,Labels,Reached.on.Time_Y.N,LogisticRegression,0.6,0.7715
ShippingData.csv,Labels,Reached.on.Time_Y.N,SVC,0.6,0.7746
ShippingData.csv,Labels,Reached.on.Time_Y.N,DummyClassifier,0.6,0.7746
ShippingData.csv,Labels,Reached.on.Time_Y.N,GradientBoostingClassifier,0.6,0.7788
ShippingData.csv,Labels,Reached.on.Time_Y.N,GaussianNB,0.6,0.7874
ShippingData.csv,Labels,Reached.on.Time_Y.N,LinearDiscriminantAnalysis,0.6,0.7922
ShippingData.csv,Labels,Reached.on.Time_Y.N,RidgeClassifier,0.6,0.7931
ShippingData.csv,Missing,Customer_care_calls,MLPClassifier,0.6,0.7934
ShippingData.csv,Labels,Reached.on.Time_Y.N,AdaBoostClassifier,0.6,0.7938
ShippingData.csv,Labels,Reached.on.Time_Y.N,QuadraticDiscriminantAnalysis,0.6,0.8124
ShippingData.csv,Missing,Customer_rating,MLPClassifier,0.6,0.8297
ShippingData.csv,Labels,Reached.on.Time_Y.N,RandomForestClassifier,0.4,0.8316
ShippingData.csv,Labels,Reached.on.Time_Y.N,CatBoostClassifier,0.6,0.8511
ShippingData.csv,Labels,Reached.on.Time_Y.N,LogisticRegression,0.8,0.8546
ShippingData.csv,Labels,Reached.on.Time_Y.N,RandomForestClassifier,0.6,0.8653
ShippingData.csv,Outlier,Product_importance,QuadraticDiscriminantAnalysis,0.8,0.8655
ShippingData.csv,Labels,Reached.on.Time_Y.N,GaussianNB,0.4,0.866
ShippingData.csv,Labels,Reached.on.Time_Y.N,SVC,0.8,0.866
ShippingData.csv,Labels,Reached.on.Time_Y.N,DummyClassifier,0.8,0.866
ShippingData.csv,Outlier,Discount_offered,SGDClassifier,0.4,0.866
ShippingData.csv,Outlier,Product_importance,QuadraticDiscriminantAnalysis,0.4,0.866
ShippingData.csv,Labels,Reached.on.Time_Y.N,MLPClassifier,0.8,0.8713
ShippingData.csv,Labels,Reached.on.Time_Y.N,LinearDiscriminantAnalysis,0.8,0.8732
ShippingData.csv,Labels,Reached.on.Time_Y.N,GaussianNB,0.8,0.8741
ShippingData.csv,Labels,Reached.on.Time_Y.N,RidgeClassifier,0.8,0.8743
ShippingData.csv,Labels,Reached.on.Time_Y.N,GradientBoostingClassifier,0.8,0.8751
ShippingData.csv,Labels,Reached.on.Time_Y.N,LinearDiscriminantAnalysis,0.4,0.8864
ShippingData.csv,Labels,Reached.on.Time_Y.N,AdaBoostClassifier,0.8,0.8878
ShippingData.csv,Outlier,Mode_of_Shipment,MLPClassifier,0.8,0.8919
ShippingData.csv,Labels,Reached.on.Time_Y.N,QuadraticDiscriminantAnalysis,0.8,0.8975
ShippingData.csv,Outlier,Mode_of_Shipment,MLPClassifier,0.4,0.9009
ShippingData.csv,Labels,Reached.on.Time_Y.N,RidgeClassifier,0.4,0.9042
ShippingData.csv,Outlier,Discount_offered,SGDClassifier,0.8,0.9085
ShippingData.csv,Labels,Reached.on.Time_Y.N,ExtraTreesClassifier,0.4,0.9113
ShippingData.csv,Outlier,Mode_of_Shipment,MLPClassifier,0.6,0.912
ShippingData.csv,Labels,Reached.on.Time_Y.N,ExtraTreesClassifier,0.6,0.9186
ShippingData.csv,Labels,Reached.on.Time_Y.N,CatBoostClassifier,0.8,0.9257
ShippingData.csv,Labels,Reached.on.Time_Y.N,RandomForestClassifier,0.8,0.9322
ShippingData.csv,Labels,Reached.on.Time_Y.N,MLPClassifier,0.4,0.9343
ShippingData.csv,Outlier,Product_importance,QuadraticDiscriminantAnalysis,0.6,0.937
ShippingData.csv,Outlier,Discount_offered,SGDClassifier,0.6,0.9462
ShippingData.csv,Labels,Reached.on.Time_Y.N,QuadraticDiscriminantAnalysis,0.4,0.9532
ShippingData.csv,Labels,Reached.on.Time_Y.N,KNeighborsClassifier,0.6,0.954
ShippingData.csv,Labels,Reached.on.Time_Y.N,ExtraTreesClassifier,0.8,0.9599
ShippingData.csv,Outlier,Mode_of_Shipment,QuadraticDiscriminantAnalysis,0.4,0.9731
ShippingData.csv,Labels,Reached.on.Time_Y.N,KNeighborsClassifier,0.8,0.9736
ShippingData.csv,Labels,Reached.on.Time_Y.N,CatBoostClassifier,0.4,0.9757
ShippingData.csv,Noisy,Discount_offered,MLPClassifier,0.4,0.9835
ShippingData.csv,Labels,Reached.on.Time_Y.N,KNeighborsClassifier,0.4,0.9952
ShippingData.csv,Missing,Customer_rating,MLPClassifier,0.4,0.9959
ShippingData.csv,Labels,Reached.on.Time_Y.N,DecisionTreeClassifier,0.8,0.9967
ShippingData.csv,Labels,Reached.on.Time_Y.N,DecisionTreeClassifier,0.4,0.9984
ShippingData.csv,Labels,Reached.on.Time_Y.N,DecisionTreeClassifier,0.6,0.9994
