datasetName,errorType,feature,modelName,percentage,epc_at
adultdata.csv,Outlier,capital-loss,SGDClassifier,0.6,0.7017
adultdata.csv,Outlier,workclass,SGDClassifier,0.8,0.7071
adultdata.csv,Noisy,workclass,SGDClassifier,0.8,0.7071
adultdata.csv,Noisy,relationship,SGDClassifier,0.8,0.7071
adultdata.csv,Missing,native-country,SGDClassifier,0.8,0.7071
adultdata.csv,Outlier,native-country,SGDClassifier,0.8,0.7071
adultdata.csv,Noisy,native-country,SGDClassifier,0.8,0.7071
adultdata.csv,Missing,capital-gain,SGDClassifier,0.8,0.7198
adultdata.csv,Outlier,capital-loss,SGDClassifier,0.8,0.7427
adultdata.csv,Outlier,workclass,SGDClassifier,0.6,0.7746
adultdata.csv,Noisy,workclass,SGDClassifier,0.6,0.7746
adultdata.csv,Noisy,relationship,SGDClassifier,0.6,0.7746
adultdata.csv,Noisy,occupation,SGDClassifier,0.6,0.7746
adultdata.csv,Missing,native-country,SGDClassifier,0.6,0.7746
adultdata.csv,Outlier,native-country,SGDClassifier,0.6,0.7746
adultdata.csv,Noisy,native-country,SGDClassifier,0.6,0.7746
adultdata.csv,Missing,Gender,SGDClassifier,0.6,0.7807
adultdata.csv,Outlier,Gender,SGDClassifier,0.6,0.7844
adultdata.csv,Labels,income2,GaussianNB,0.6,0.7865
adultdata.csv,Outlier,marital-status,SGDClassifier,0.6,0.7902
adultdata.csv,Outlier,age,SGDClassifier,0.6,0.8171
adultdata.csv,Missing,capital-gain,SGDClassifier,0.4,0.8487
adultdata.csv,Missing,Gender,SGDClassifier,0.8,0.8585
adultdata.csv,Missing,occupation,SGDClassifier,0.4,0.8655
adultdata.csv,Outlier,hours-per-week,SGDClassifier,0.4,0.8656
adultdata.csv,Missing,hours-per-week,SGDClassifier,0.4,0.866
adultdata.csv,Outlier,workclass,SGDClassifier,0.4,0.866
adultdata.csv,Noisy,workclass,SGDClassifier,0.4,0.866
adultdata.csv,Noisy,relationship,SGDClassifier,0.4,0.866
adultdata.csv,Noisy,occupation,SGDClassifier,0.4,0.866
adultdata.csv,Missing,native-country,SGDClassifier,0.4,0.866
adultdata.csv,Outlier,native-country,SGDClassifier,0.4,0.866
adultdata.csv,Noisy,native-country,SGDClassifier,0.4,0.866
adultdata.csv,Noisy,Education,SGDClassifier,0.8,0.8661
adultdata.csv,Noisy,marital-status,SGDClassifier,0.4,0.8661
adultdata.csv,Noisy,marital-status,SGDClassifier,0.8,0.8661
adultdata.csv,Outlier,occupation,SGDClassifier,0.8,0.8662
adultdata.csv,Noisy,Education,SGDClassifier,0.4,0.8663
adultdata.csv,Outlier,occupation,SGDClassifier,0.4,0.8664
adultdata.csv,Outlier,relationship,SGDClassifier,0.8,0.8675
adultdata.csv,Missing,marital-status,SGDClassifier,0.4,0.8683
adultdata.csv,Missing,relationship,SGDClassifier,0.4,0.8697
adultdata.csv,Outlier,relationship,SGDClassifier,0.4,0.8706
adultdata.csv,Outlier,Gender,SGDClassifier,0.8,0.8714
adultdata.csv,Missing,Gender,SGDClassifier,0.4,0.8726
adultdata.csv,Labels,income2,GaussianNB,0.8,0.8741
adultdata.csv,Noisy,Gender,SGDClassifier,0.4,0.8742
adultdata.csv,Outlier,marital-status,SGDClassifier,0.8,0.8747
adultdata.csv,Missing,capital-gain,SGDClassifier,0.6,0.8809
adultdata.csv,Outlier,age,SGDClassifier,0.4,0.884
adultdata.csv,Labels,income2,SGDClassifier,0.4,0.8883
adultdata.csv,Noisy,marital-status,SGDClassifier,0.6,0.8945
adultdata.csv,Noisy,Education,SGDClassifier,0.6,0.8946
adultdata.csv,Outlier,occupation,SGDClassifier,0.6,0.8946
adultdata.csv,Outlier,relationship,SGDClassifier,0.6,0.8968
adultdata.csv,Labels,income2,GaussianNB,0.4,0.9188
adultdata.csv,Outlier,marital-status,SGDClassifier,0.4,0.9549
adultdata.csv,Outlier,capital-loss,SGDClassifier,0.4,0.9874
