datasetName,errorType,feature,modelName,percentage,epc_at
citrus.csv,Noisy,red,SGDClassifier,0.8,0.7082
citrus.csv,Noisy,red,SGDClassifier,0.6,0.7746
citrus.csv,Labels,name,QuadraticDiscriminantAnalysis,0.6,0.7754
citrus.csv,Labels,name,LogisticRegression,0.6,0.7767
citrus.csv,Labels,name,RidgeClassifier,0.6,0.7767
citrus.csv,Labels,name,GaussianNB,0.6,0.7772
citrus.csv,Labels,name,LinearDiscriminantAnalysis,0.6,0.7772
citrus.csv,Labels,name,AdaBoostClassifier,0.6,0.7923
citrus.csv,Labels,name,GradientBoostingClassifier,0.6,0.7987
citrus.csv,Labels,name,CatBoostClassifier,0.6,0.8144
citrus.csv,Labels,name,LogisticRegression,0.4,0.866
citrus.csv,Labels,name,RidgeClassifier,0.4,0.866
citrus.csv,Labels,name,LinearDiscriminantAnalysis,0.4,0.866
citrus.csv,Labels,name,LogisticRegression,0.8,0.8672
citrus.csv,Labels,name,RidgeClassifier,0.8,0.8672
citrus.csv,Labels,name,LinearDiscriminantAnalysis,0.8,0.8675
citrus.csv,Labels,name,GaussianNB,0.8,0.8676
citrus.csv,Labels,name,QuadraticDiscriminantAnalysis,0.8,0.8688
citrus.csv,Labels,name,AdaBoostClassifier,0.8,0.8776
citrus.csv,Labels,name,GradientBoostingClassifier,0.8,0.8827
citrus.csv,Labels,name,CatBoostClassifier,0.4,0.8836
citrus.csv,Labels,name,CatBoostClassifier,0.8,0.8975
citrus.csv,Labels,name,GradientBoostingClassifier,0.4,0.9026
citrus.csv,Labels,name,RandomForestClassifier,0.4,0.908
citrus.csv,Labels,name,AdaBoostClassifier,0.4,0.909
citrus.csv,Labels,name,ExtraTreesClassifier,0.4,0.9221
citrus.csv,Labels,name,RandomForestClassifier,0.6,0.9348
citrus.csv,Labels,name,KNeighborsClassifier,0.4,0.9361
citrus.csv,Labels,name,ExtraTreesClassifier,0.6,0.9412
citrus.csv,Labels,name,MLPClassifier,0.6,0.9534
citrus.csv,Labels,name,KNeighborsClassifier,0.6,0.9566
citrus.csv,Labels,name,MLPClassifier,0.8,0.9649
citrus.csv,Labels,name,RandomForestClassifier,0.8,0.9679
citrus.csv,Labels,name,ExtraTreesClassifier,0.8,0.971
citrus.csv,Labels,name,SGDClassifier,0.4,0.9749
citrus.csv,Labels,name,SGDClassifier,0.6,0.9757
citrus.csv,Labels,name,KNeighborsClassifier,0.8,0.978
citrus.csv,Labels,name,GaussianNB,0.4,0.982
citrus.csv,Labels,name,SGDClassifier,0.8,0.985
citrus.csv,Labels,name,MLPClassifier,0.4,0.9862
citrus.csv,Labels,name,DecisionTreeClassifier,0.6,0.9972
citrus.csv,Labels,name,DecisionTreeClassifier,0.8,0.9977
citrus.csv,Labels,name,DecisionTreeClassifier,0.4,0.9989
citrus.csv,Labels,name,GaussianProcessClassifier,0.4,0.9999
citrus.csv,Labels,name,GaussianProcessClassifier,0.6,0.9999
citrus.csv,Labels,name,GaussianProcessClassifier,0.8,0.9999
