datasetName,errorType,feature,modelName,percentage,epc_at
diabetes_data_upload.csv,Noisy,Polyphagia,LinearDiscriminantAnalysis,0.8,0.7006
diabetes_data_upload.csv,Noisy,Obesity,AdaBoostClassifier,0.8,0.7036
diabetes_data_upload.csv,Noisy,weakness,AdaBoostClassifier,0.4,0.7046
diabetes_data_upload.csv,Noisy,Alopecia,LinearDiscriminantAnalysis,0.8,0.7055
diabetes_data_upload.csv,Noisy,Polyuria,SGDClassifier,0.8,0.7056
diabetes_data_upload.csv,Noisy,Irritability,AdaBoostClassifier,0.8,0.7058
diabetes_data_upload.csv,Noisy,Alopecia,DecisionTreeClassifier,0.8,0.7069
diabetes_data_upload.csv,Noisy,sudden weight loss,SGDClassifier,0.8,0.7071
diabetes_data_upload.csv,Noisy,sudden weight loss,AdaBoostClassifier,0.8,0.7071
diabetes_data_upload.csv,Noisy,Polydipsia,SGDClassifier,0.8,0.7071
diabetes_data_upload.csv,Noisy,delayed healing,GaussianNB,0.8,0.7071
diabetes_data_upload.csv,Noisy,Alopecia,SVC,0.8,0.7071
diabetes_data_upload.csv,Noisy,Obesity,RidgeClassifier,0.8,0.7071
diabetes_data_upload.csv,Noisy,Obesity,LogisticRegression,0.8,0.7071
diabetes_data_upload.csv,Noisy,Obesity,SGDClassifier,0.8,0.7071
diabetes_data_upload.csv,Noisy,visual blurring,SGDClassifier,0.8,0.7071
diabetes_data_upload.csv,Noisy,Irritability,RandomForestClassifier,0.8,0.7071
diabetes_data_upload.csv,Labels,class,DummyClassifier,0.8,0.7071
diabetes_data_upload.csv,Noisy,weakness,SGDClassifier,0.8,0.7071
diabetes_data_upload.csv,Noisy,partial paresis,RandomForestClassifier,0.8,0.7084
diabetes_data_upload.csv,Noisy,visual blurring,DecisionTreeClassifier,0.8,0.7088
diabetes_data_upload.csv,Noisy,Polyphagia,SVC,0.6,0.7097
diabetes_data_upload.csv,Noisy,delayed healing,ExtraTreesClassifier,0.8,0.7109
diabetes_data_upload.csv,Noisy,delayed healing,GaussianProcessClassifier,0.6,0.711
diabetes_data_upload.csv,Noisy,Obesity,GaussianProcessClassifier,0.6,0.711
diabetes_data_upload.csv,Noisy,Itching,RandomForestClassifier,0.6,0.7136
diabetes_data_upload.csv,Noisy,delayed healing,SVC,0.6,0.7148
diabetes_data_upload.csv,Noisy,Polyuria,SGDClassifier,0.4,0.7153
diabetes_data_upload.csv,Missing,partial paresis,SGDClassifier,0.8,0.7153
diabetes_data_upload.csv,Noisy,Irritability,RidgeClassifier,0.8,0.7158
diabetes_data_upload.csv,Noisy,weakness,LinearDiscriminantAnalysis,0.8,0.716
diabetes_data_upload.csv,Noisy,Irritability,GaussianNB,0.6,0.7168
diabetes_data_upload.csv,Noisy,Obesity,KNeighborsClassifier,0.8,0.7172
diabetes_data_upload.csv,Missing,Polyuria,SGDClassifier,0.8,0.7173
diabetes_data_upload.csv,Noisy,Genital thrush,SVC,0.8,0.7175
diabetes_data_upload.csv,Noisy,muscle stiffness,AdaBoostClassifier,0.8,0.7177
diabetes_data_upload.csv,Missing,muscle stiffness,SGDClassifier,0.8,0.7179
diabetes_data_upload.csv,Noisy,Irritability,LogisticRegression,0.8,0.7179
diabetes_data_upload.csv,Noisy,delayed healing,LogisticRegression,0.8,0.7198
diabetes_data_upload.csv,Noisy,Irritability,DecisionTreeClassifier,0.8,0.72
diabetes_data_upload.csv,Noisy,Polyphagia,RidgeClassifier,0.8,0.7202
diabetes_data_upload.csv,Noisy,weakness,ExtraTreesClassifier,0.8,0.7208
diabetes_data_upload.csv,Noisy,Obesity,LinearDiscriminantAnalysis,0.8,0.7222
diabetes_data_upload.csv,Noisy,weakness,RandomForestClassifier,0.6,0.7229
diabetes_data_upload.csv,Noisy,Obesity,AdaBoostClassifier,0.6,0.7253
diabetes_data_upload.csv,Noisy,partial paresis,ExtraTreesClassifier,0.6,0.7262
diabetes_data_upload.csv,Noisy,weakness,RidgeClassifier,0.4,0.7268
diabetes_data_upload.csv,Noisy,Genital thrush,AdaBoostClassifier,0.6,0.7277
diabetes_data_upload.csv,Noisy,muscle stiffness,GaussianNB,0.6,0.7282
diabetes_data_upload.csv,Noisy,sudden weight loss,LogisticRegression,0.6,0.7293
diabetes_data_upload.csv,Noisy,delayed healing,LinearDiscriminantAnalysis,0.8,0.7298
diabetes_data_upload.csv,Noisy,delayed healing,RidgeClassifier,0.8,0.7298
diabetes_data_upload.csv,Noisy,Alopecia,GaussianProcessClassifier,0.8,0.7306
diabetes_data_upload.csv,Noisy,weakness,DecisionTreeClassifier,0.8,0.7313
diabetes_data_upload.csv,Noisy,muscle stiffness,KNeighborsClassifier,0.8,0.732
diabetes_data_upload.csv,Noisy,Genital thrush,LogisticRegression,0.6,0.7333
diabetes_data_upload.csv,Noisy,partial paresis,SVC,0.6,0.7347
diabetes_data_upload.csv,Noisy,Age,SGDClassifier,0.4,0.7351
diabetes_data_upload.csv,Noisy,Gender,SGDClassifier,0.8,0.7366
diabetes_data_upload.csv,Noisy,Irritability,GaussianProcessClassifier,0.8,0.7371
diabetes_data_upload.csv,Noisy,Genital thrush,GaussianProcessClassifier,0.6,0.7373
diabetes_data_upload.csv,Noisy,weakness,GaussianNB,0.4,0.7376
diabetes_data_upload.csv,Noisy,sudden weight loss,ExtraTreesClassifier,0.8,0.7378
diabetes_data_upload.csv,Noisy,muscle stiffness,GradientBoostingClassifier,0.8,0.738
diabetes_data_upload.csv,Noisy,weakness,RidgeClassifier,0.8,0.7386
diabetes_data_upload.csv,Noisy,Irritability,DecisionTreeClassifier,0.6,0.7391
diabetes_data_upload.csv,Noisy,muscle stiffness,LinearDiscriminantAnalysis,0.6,0.7412
diabetes_data_upload.csv,Noisy,muscle stiffness,RidgeClassifier,0.6,0.7412
diabetes_data_upload.csv,Labels,class,SGDClassifier,0.6,0.7437
diabetes_data_upload.csv,Noisy,Itching,LogisticRegression,0.6,0.7443
diabetes_data_upload.csv,Noisy,Polydipsia,DecisionTreeClassifier,0.8,0.7447
diabetes_data_upload.csv,Missing,weakness,SGDClassifier,0.6,0.7455
diabetes_data_upload.csv,Noisy,Alopecia,RidgeClassifier,0.8,0.7456
diabetes_data_upload.csv,Noisy,visual blurring,AdaBoostClassifier,0.4,0.7464
diabetes_data_upload.csv,Noisy,visual blurring,LogisticRegression,0.6,0.7465
diabetes_data_upload.csv,Noisy,Genital thrush,SGDClassifier,0.8,0.7465
diabetes_data_upload.csv,Noisy,muscle stiffness,GaussianProcessClassifier,0.8,0.7466
diabetes_data_upload.csv,Noisy,Irritability,SVC,0.6,0.7475
diabetes_data_upload.csv,Noisy,Alopecia,AdaBoostClassifier,0.6,0.748
diabetes_data_upload.csv,Noisy,Irritability,RidgeClassifier,0.6,0.7497
diabetes_data_upload.csv,Noisy,sudden weight loss,GaussianProcessClassifier,0.4,0.7514
diabetes_data_upload.csv,Noisy,Alopecia,LogisticRegression,0.6,0.7515
diabetes_data_upload.csv,Noisy,Obesity,SVC,0.6,0.7519
diabetes_data_upload.csv,Noisy,visual blurring,LinearDiscriminantAnalysis,0.8,0.7519
diabetes_data_upload.csv,Noisy,delayed healing,RandomForestClassifier,0.8,0.7522
diabetes_data_upload.csv,Noisy,Genital thrush,RidgeClassifier,0.4,0.7529
diabetes_data_upload.csv,Noisy,Polyphagia,LinearDiscriminantAnalysis,0.6,0.7562
diabetes_data_upload.csv,Noisy,partial paresis,SVC,0.8,0.7602
diabetes_data_upload.csv,Noisy,weakness,LogisticRegression,0.6,0.7608
diabetes_data_upload.csv,Missing,Itching,SGDClassifier,0.6,0.7612
diabetes_data_upload.csv,Noisy,Irritability,LinearDiscriminantAnalysis,0.6,0.7616
diabetes_data_upload.csv,Noisy,muscle stiffness,SVC,0.8,0.7639
diabetes_data_upload.csv,Noisy,Alopecia,DecisionTreeClassifier,0.6,0.764
diabetes_data_upload.csv,Noisy,Polyphagia,LogisticRegression,0.8,0.765
diabetes_data_upload.csv,Noisy,Alopecia,LinearDiscriminantAnalysis,0.6,0.7658
diabetes_data_upload.csv,Noisy,partial paresis,ExtraTreesClassifier,0.4,0.7659
diabetes_data_upload.csv,Noisy,partial paresis,GaussianNB,0.8,0.767
diabetes_data_upload.csv,Noisy,sudden weight loss,ExtraTreesClassifier,0.6,0.7679
diabetes_data_upload.csv,Noisy,Itching,RandomForestClassifier,0.8,0.7702
diabetes_data_upload.csv,Noisy,delayed healing,ExtraTreesClassifier,0.6,0.7729
diabetes_data_upload.csv,Noisy,weakness,DecisionTreeClassifier,0.6,0.7729
diabetes_data_upload.csv,Noisy,Obesity,KNeighborsClassifier,0.6,0.7731
diabetes_data_upload.csv,Noisy,Itching,GaussianNB,0.6,0.7731
diabetes_data_upload.csv,Noisy,Itching,GaussianProcessClassifier,0.6,0.7734
diabetes_data_upload.csv,Noisy,partial paresis,AdaBoostClassifier,0.8,0.7736
diabetes_data_upload.csv,Noisy,delayed healing,LogisticRegression,0.6,0.7741
diabetes_data_upload.csv,Noisy,Genital thrush,GaussianNB,0.6,0.7744
diabetes_data_upload.csv,Noisy,sudden weight loss,SGDClassifier,0.6,0.7746
diabetes_data_upload.csv,Noisy,sudden weight loss,AdaBoostClassifier,0.6,0.7746
diabetes_data_upload.csv,Noisy,Polydipsia,SGDClassifier,0.6,0.7746
diabetes_data_upload.csv,Noisy,Polyphagia,SGDClassifier,0.6,0.7746
diabetes_data_upload.csv,Noisy,delayed healing,LinearDiscriminantAnalysis,0.6,0.7746
diabetes_data_upload.csv,Noisy,delayed healing,RidgeClassifier,0.6,0.7746
diabetes_data_upload.csv,Noisy,delayed healing,GaussianNB,0.6,0.7746
diabetes_data_upload.csv,Noisy,Alopecia,SVC,0.6,0.7746
diabetes_data_upload.csv,Noisy,Obesity,GaussianNB,0.6,0.7746
diabetes_data_upload.csv,Noisy,Obesity,RidgeClassifier,0.6,0.7746
diabetes_data_upload.csv,Noisy,Obesity,LinearDiscriminantAnalysis,0.6,0.7746
diabetes_data_upload.csv,Noisy,Obesity,LogisticRegression,0.6,0.7746
diabetes_data_upload.csv,Missing,Obesity,SGDClassifier,0.6,0.7746
diabetes_data_upload.csv,Noisy,Obesity,SGDClassifier,0.6,0.7746
diabetes_data_upload.csv,Noisy,visual blurring,SGDClassifier,0.6,0.7746
diabetes_data_upload.csv,Noisy,Irritability,RandomForestClassifier,0.6,0.7746
diabetes_data_upload.csv,Noisy,weakness,SGDClassifier,0.6,0.7746
diabetes_data_upload.csv,Noisy,Genital thrush,SGDClassifier,0.6,0.7746
diabetes_data_upload.csv,Noisy,Obesity,DecisionTreeClassifier,0.8,0.7769
diabetes_data_upload.csv,Noisy,partial paresis,GaussianProcessClassifier,0.8,0.7775
diabetes_data_upload.csv,Missing,Polydipsia,QuadraticDiscriminantAnalysis,0.6,0.7783
diabetes_data_upload.csv,Noisy,weakness,GaussianProcessClassifier,0.8,0.7787
diabetes_data_upload.csv,Noisy,Itching,AdaBoostClassifier,0.8,0.7813
diabetes_data_upload.csv,Noisy,Irritability,GaussianProcessClassifier,0.6,0.7836
diabetes_data_upload.csv,Noisy,visual blurring,GaussianNB,0.6,0.784
diabetes_data_upload.csv,Noisy,weakness,LogisticRegression,0.8,0.7845
diabetes_data_upload.csv,Noisy,muscle stiffness,AdaBoostClassifier,0.6,0.7849
diabetes_data_upload.csv,Noisy,Alopecia,GaussianNB,0.8,0.7851
diabetes_data_upload.csv,Missing,sudden weight loss,QuadraticDiscriminantAnalysis,0.4,0.7856
diabetes_data_upload.csv,Noisy,Irritability,SVC,0.8,0.7858
diabetes_data_upload.csv,Noisy,Polyphagia,RidgeClassifier,0.6,0.7867
diabetes_data_upload.csv,Noisy,partial paresis,SGDClassifier,0.8,0.7882
diabetes_data_upload.csv,Noisy,Irritability,LogisticRegression,0.6,0.789
diabetes_data_upload.csv,Noisy,Obesity,RandomForestClassifier,0.4,0.79
diabetes_data_upload.csv,Noisy,Genital thrush,AdaBoostClassifier,0.8,0.79
diabetes_data_upload.csv,Noisy,Itching,ExtraTreesClassifier,0.8,0.7908
diabetes_data_upload.csv,Noisy,delayed healing,KNeighborsClassifier,0.8,0.7916
diabetes_data_upload.csv,Noisy,Polyphagia,ExtraTreesClassifier,0.4,0.7929
diabetes_data_upload.csv,Noisy,Alopecia,RidgeClassifier,0.6,0.7956
diabetes_data_upload.csv,Noisy,Genital thrush,RidgeClassifier,0.6,0.7962
diabetes_data_upload.csv,Noisy,delayed healing,AdaBoostClassifier,0.6,0.7964
diabetes_data_upload.csv,Noisy,Genital thrush,DecisionTreeClassifier,0.4,0.7968
diabetes_data_upload.csv,Noisy,muscle stiffness,GradientBoostingClassifier,0.6,0.7973
diabetes_data_upload.csv,Noisy,muscle stiffness,DecisionTreeClassifier,0.4,0.7988
diabetes_data_upload.csv,Noisy,Polydipsia,KNeighborsClassifier,0.4,0.8009
diabetes_data_upload.csv,Noisy,Polyphagia,AdaBoostClassifier,0.4,0.801
diabetes_data_upload.csv,Noisy,Irritability,AdaBoostClassifier,0.6,0.8011
diabetes_data_upload.csv,Noisy,Irritability,KNeighborsClassifier,0.4,0.8012
diabetes_data_upload.csv,Noisy,Alopecia,ExtraTreesClassifier,0.4,0.8017
diabetes_data_upload.csv,Noisy,muscle stiffness,SVC,0.6,0.8024
diabetes_data_upload.csv,Noisy,Alopecia,RandomForestClassifier,0.8,0.8026
diabetes_data_upload.csv,Noisy,Genital thrush,LogisticRegression,0.4,0.8038
diabetes_data_upload.csv,Noisy,Alopecia,AdaBoostClassifier,0.4,0.8054
diabetes_data_upload.csv,Noisy,Itching,DecisionTreeClassifier,0.6,0.8055
diabetes_data_upload.csv,Noisy,Genital thrush,LinearDiscriminantAnalysis,0.4,0.8057
diabetes_data_upload.csv,Noisy,Genital thrush,ExtraTreesClassifier,0.8,0.8058
diabetes_data_upload.csv,Noisy,Genital thrush,GaussianProcessClassifier,0.4,0.8059
diabetes_data_upload.csv,Noisy,partial paresis,GaussianNB,0.6,0.8087
diabetes_data_upload.csv,Noisy,visual blurring,KNeighborsClassifier,0.8,0.8093
diabetes_data_upload.csv,Noisy,partial paresis,DecisionTreeClassifier,0.6,0.8095
diabetes_data_upload.csv,Noisy,Genital thrush,LinearDiscriminantAnalysis,0.6,0.8095
diabetes_data_upload.csv,Noisy,partial paresis,GradientBoostingClassifier,0.8,0.8097
diabetes_data_upload.csv,Noisy,muscle stiffness,ExtraTreesClassifier,0.6,0.8108
