datasetName,errorType,feature,modelName,percentage,epc_at
heart_failure_clinical_records.csv,Missing,platelets,MLPClassifier,0.6,0.702
heart_failure_clinical_records.csv,Noisy,serum_sodium,AdaBoostClassifier,0.8,0.7045
heart_failure_clinical_records.csv,Outlier,serum_sodium,LogisticRegression,0.8,0.7051
heart_failure_clinical_records.csv,Missing,age,SGDClassifier,0.8,0.707
heart_failure_clinical_records.csv,Outlier,serum_sodium,KNeighborsClassifier,0.8,0.7071
heart_failure_clinical_records.csv,Noisy,serum_sodium,KNeighborsClassifier,0.8,0.7071
heart_failure_clinical_records.csv,Outlier,serum_sodium,SVC,0.8,0.7071
heart_failure_clinical_records.csv,Noisy,serum_sodium,SVC,0.8,0.7071
heart_failure_clinical_records.csv,Outlier,serum_sodium,RidgeClassifier,0.8,0.7071
heart_failure_clinical_records.csv,Outlier,time,KNeighborsClassifier,0.8,0.7071
heart_failure_clinical_records.csv,Outlier,time,SVC,0.8,0.7071
heart_failure_clinical_records.csv,Noisy,time,SVC,0.8,0.7071
heart_failure_clinical_records.csv,Outlier,ejection_fraction,KNeighborsClassifier,0.8,0.7071
heart_failure_clinical_records.csv,Noisy,ejection_fraction,KNeighborsClassifier,0.8,0.7071
heart_failure_clinical_records.csv,Outlier,ejection_fraction,SVC,0.8,0.7071
heart_failure_clinical_records.csv,Noisy,ejection_fraction,SVC,0.8,0.7071
heart_failure_clinical_records.csv,Outlier,serum_creatinine,SVC,0.8,0.7071
heart_failure_clinical_records.csv,Noisy,serum_creatinine,SVC,0.8,0.7071
heart_failure_clinical_records.csv,Outlier,serum_creatinine,KNeighborsClassifier,0.8,0.7071
heart_failure_clinical_records.csv,Noisy,serum_creatinine,KNeighborsClassifier,0.8,0.7071
heart_failure_clinical_records.csv,Noisy,ejection_fraction,AdaBoostClassifier,0.6,0.7117
heart_failure_clinical_records.csv,Noisy,age,SGDClassifier,0.8,0.7128
heart_failure_clinical_records.csv,Labels,DEATH_EVENT,MLPClassifier,0.8,0.7129
heart_failure_clinical_records.csv,Outlier,age,MLPClassifier,0.8,0.7155
heart_failure_clinical_records.csv,Outlier,ejection_fraction,MLPClassifier,0.8,0.7165
heart_failure_clinical_records.csv,Noisy,anaemia,MLPClassifier,0.8,0.7176
heart_failure_clinical_records.csv,Noisy,serum_creatinine,MLPClassifier,0.8,0.7197
heart_failure_clinical_records.csv,Noisy,age,MLPClassifier,0.6,0.7207
heart_failure_clinical_records.csv,Noisy,time,KNeighborsClassifier,0.8,0.7207
heart_failure_clinical_records.csv,Noisy,serum_sodium,LogisticRegression,0.6,0.7266
heart_failure_clinical_records.csv,Outlier,serum_sodium,QuadraticDiscriminantAnalysis,0.8,0.7272
heart_failure_clinical_records.csv,Missing,platelets,MLPClassifier,0.8,0.7314
heart_failure_clinical_records.csv,Noisy,serum_sodium,GradientBoostingClassifier,0.6,0.733
heart_failure_clinical_records.csv,Outlier,serum_sodium,GaussianNB,0.8,0.7368
heart_failure_clinical_records.csv,Outlier,ejection_fraction,LinearDiscriminantAnalysis,0.8,0.7412
heart_failure_clinical_records.csv,Outlier,ejection_fraction,GaussianNB,0.8,0.7426
heart_failure_clinical_records.csv,Noisy,serum_sodium,LinearDiscriminantAnalysis,0.8,0.7427
heart_failure_clinical_records.csv,Outlier,ejection_fraction,QuadraticDiscriminantAnalysis,0.8,0.7474
heart_failure_clinical_records.csv,Noisy,serum_sodium,AdaBoostClassifier,0.6,0.7507
heart_failure_clinical_records.csv,Noisy,serum_sodium,GaussianNB,0.8,0.7534
heart_failure_clinical_records.csv,Noisy,anaemia,MLPClassifier,0.6,0.7543
heart_failure_clinical_records.csv,Noisy,ejection_fraction,GaussianNB,0.8,0.7583
heart_failure_clinical_records.csv,Noisy,serum_sodium,RidgeClassifier,0.8,0.761
heart_failure_clinical_records.csv,Outlier,serum_sodium,LinearDiscriminantAnalysis,0.6,0.7669
heart_failure_clinical_records.csv,Outlier,time,GaussianNB,0.8,0.77
heart_failure_clinical_records.csv,Outlier,ejection_fraction,RidgeClassifier,0.8,0.7722
heart_failure_clinical_records.csv,Outlier,serum_sodium,LogisticRegression,0.6,0.7741
heart_failure_clinical_records.csv,Missing,serum_sodium,SGDClassifier,0.6,0.7745
heart_failure_clinical_records.csv,Missing,ejection_fraction,SGDClassifier,0.6,0.7745
heart_failure_clinical_records.csv,Outlier,serum_sodium,KNeighborsClassifier,0.6,0.7746
heart_failure_clinical_records.csv,Noisy,serum_sodium,KNeighborsClassifier,0.6,0.7746
heart_failure_clinical_records.csv,Outlier,serum_sodium,SVC,0.6,0.7746
heart_failure_clinical_records.csv,Noisy,serum_sodium,SVC,0.6,0.7746
heart_failure_clinical_records.csv,Outlier,serum_sodium,RidgeClassifier,0.6,0.7746
heart_failure_clinical_records.csv,Outlier,time,KNeighborsClassifier,0.6,0.7746
heart_failure_clinical_records.csv,Outlier,time,SVC,0.6,0.7746
heart_failure_clinical_records.csv,Noisy,time,SVC,0.6,0.7746
heart_failure_clinical_records.csv,Outlier,ejection_fraction,KNeighborsClassifier,0.6,0.7746
heart_failure_clinical_records.csv,Noisy,ejection_fraction,KNeighborsClassifier,0.6,0.7746
heart_failure_clinical_records.csv,Outlier,ejection_fraction,SVC,0.6,0.7746
heart_failure_clinical_records.csv,Noisy,ejection_fraction,SVC,0.6,0.7746
heart_failure_clinical_records.csv,Labels,DEATH_EVENT,DummyClassifier,0.6,0.7746
heart_failure_clinical_records.csv,Outlier,serum_creatinine,SVC,0.6,0.7746
heart_failure_clinical_records.csv,Noisy,serum_creatinine,SVC,0.6,0.7746
heart_failure_clinical_records.csv,Outlier,serum_creatinine,KNeighborsClassifier,0.6,0.7746
heart_failure_clinical_records.csv,Noisy,serum_creatinine,KNeighborsClassifier,0.6,0.7746
heart_failure_clinical_records.csv,Outlier,ejection_fraction,LogisticRegression,0.8,0.7778
heart_failure_clinical_records.csv,Noisy,time,KNeighborsClassifier,0.6,0.778
heart_failure_clinical_records.csv,Labels,DEATH_EVENT,MLPClassifier,0.6,0.7803
heart_failure_clinical_records.csv,Outlier,serum_sodium,MLPClassifier,0.6,0.7846
heart_failure_clinical_records.csv,Noisy,ejection_fraction,MLPClassifier,0.6,0.7847
heart_failure_clinical_records.csv,Noisy,time,MLPClassifier,0.6,0.7848
heart_failure_clinical_records.csv,Outlier,serum_sodium,QuadraticDiscriminantAnalysis,0.6,0.7893
heart_failure_clinical_records.csv,Missing,high_blood_pressure,MLPClassifier,0.6,0.7928
heart_failure_clinical_records.csv,Outlier,ejection_fraction,LinearDiscriminantAnalysis,0.6,0.7938
heart_failure_clinical_records.csv,Outlier,serum_sodium,GaussianNB,0.6,0.7964
heart_failure_clinical_records.csv,Outlier,time,GaussianNB,0.6,0.807
heart_failure_clinical_records.csv,Outlier,ejection_fraction,GaussianNB,0.6,0.8093
heart_failure_clinical_records.csv,Labels,DEATH_EVENT,LinearDiscriminantAnalysis,0.6,0.8118
heart_failure_clinical_records.csv,Noisy,serum_sodium,GaussianNB,0.6,0.8125
heart_failure_clinical_records.csv,Noisy,serum_sodium,LinearDiscriminantAnalysis,0.6,0.8138
heart_failure_clinical_records.csv,Outlier,ejection_fraction,QuadraticDiscriminantAnalysis,0.6,0.8139
heart_failure_clinical_records.csv,Noisy,ejection_fraction,AdaBoostClassifier,0.4,0.8139
heart_failure_clinical_records.csv,Labels,DEATH_EVENT,RidgeClassifier,0.6,0.8146
heart_failure_clinical_records.csv,Noisy,serum_sodium,AdaBoostClassifier,0.4,0.8181
heart_failure_clinical_records.csv,Noisy,ejection_fraction,GaussianNB,0.6,0.8184
