datasetName,errorType,feature,modelName,percentage,epc_at
loan_approval.csv,Noisy, bank_asset_value,LogisticRegression,0.8,0.7017
loan_approval.csv,Noisy, residential_assets_value,LinearDiscriminantAnalysis,0.8,0.7021
loan_approval.csv,Noisy, luxury_assets_value,LogisticRegression,0.8,0.704
loan_approval.csv,Outlier, income_annum,MLPClassifier,0.4,0.704
loan_approval.csv,Noisy, luxury_assets_value,RidgeClassifier,0.8,0.7044
loan_approval.csv,Noisy, bank_asset_value,LinearDiscriminantAnalysis,0.8,0.707
loan_approval.csv,Outlier, bank_asset_value,LinearDiscriminantAnalysis,0.8,0.7071
loan_approval.csv,Outlier, bank_asset_value,RidgeClassifier,0.8,0.7071
loan_approval.csv,Outlier, bank_asset_value,LogisticRegression,0.8,0.7071
loan_approval.csv,Outlier, commercial_assets_value,LinearDiscriminantAnalysis,0.8,0.7071
loan_approval.csv,Outlier, commercial_assets_value,RidgeClassifier,0.8,0.7071
loan_approval.csv,Outlier, commercial_assets_value,LogisticRegression,0.8,0.7071
loan_approval.csv,Noisy, commercial_assets_value,LogisticRegression,0.8,0.7071
loan_approval.csv,Outlier, luxury_assets_value,LinearDiscriminantAnalysis,0.8,0.7071
loan_approval.csv,Outlier, luxury_assets_value,LogisticRegression,0.8,0.7071
loan_approval.csv,Outlier, luxury_assets_value,RidgeClassifier,0.8,0.7071
loan_approval.csv,Noisy, loan_term,SGDClassifier,0.8,0.7071
loan_approval.csv,Outlier, residential_assets_value,LinearDiscriminantAnalysis,0.8,0.7071
loan_approval.csv,Outlier, residential_assets_value,RidgeClassifier,0.8,0.7071
loan_approval.csv,Outlier, residential_assets_value,LogisticRegression,0.8,0.7071
loan_approval.csv,Outlier, bank_asset_value,QuadraticDiscriminantAnalysis,0.8,0.7076
loan_approval.csv,Outlier, luxury_assets_value,QuadraticDiscriminantAnalysis,0.8,0.7076
loan_approval.csv,Noisy, luxury_assets_value,DecisionTreeClassifier,0.8,0.708
loan_approval.csv,Noisy, residential_assets_value,RidgeClassifier,0.8,0.7095
loan_approval.csv,Outlier, commercial_assets_value,QuadraticDiscriminantAnalysis,0.8,0.7098
loan_approval.csv,Noisy, commercial_assets_value,DecisionTreeClassifier,0.6,0.7105
loan_approval.csv,Noisy, luxury_assets_value,LinearDiscriminantAnalysis,0.8,0.7106
loan_approval.csv,Noisy, commercial_assets_value,SGDClassifier,0.8,0.7111
loan_approval.csv,Outlier, residential_assets_value,QuadraticDiscriminantAnalysis,0.8,0.7129
loan_approval.csv,Noisy, bank_asset_value,SGDClassifier,0.8,0.7134
loan_approval.csv,Noisy, bank_asset_value,RidgeClassifier,0.8,0.7148
loan_approval.csv,Outlier, cibil_score,LogisticRegression,0.8,0.7168
loan_approval.csv,Noisy, loan_term,MLPClassifier,0.6,0.7181
loan_approval.csv,Noisy, commercial_assets_value,QuadraticDiscriminantAnalysis,0.6,0.7192
loan_approval.csv,Labels,loan_status,GaussianNB,0.4,0.7194
loan_approval.csv,Noisy, residential_assets_value,SGDClassifier,0.8,0.7221
loan_approval.csv,Noisy, luxury_assets_value,QuadraticDiscriminantAnalysis,0.8,0.7256
loan_approval.csv,Noisy, bank_asset_value,CatBoostClassifier,0.8,0.7268
loan_approval.csv,Missing, self_employed,MLPClassifier,0.6,0.7305
loan_approval.csv,Noisy, residential_assets_value,CatBoostClassifier,0.6,0.7307
loan_approval.csv,Noisy, income_annum,MLPClassifier,0.6,0.7311
loan_approval.csv,Noisy, bank_asset_value,GradientBoostingClassifier,0.8,0.7316
loan_approval.csv,Noisy, luxury_assets_value,GradientBoostingClassifier,0.6,0.7356
loan_approval.csv,Outlier, cibil_score,MLPClassifier,0.6,0.7369
loan_approval.csv,Noisy, residential_assets_value,AdaBoostClassifier,0.8,0.7389
loan_approval.csv,Noisy, residential_assets_value,RandomForestClassifier,0.4,0.7392
loan_approval.csv,Noisy, commercial_assets_value,AdaBoostClassifier,0.6,0.7401
loan_approval.csv,Noisy, luxury_assets_value,AdaBoostClassifier,0.8,0.7421
loan_approval.csv,Outlier, self_employed,QuadraticDiscriminantAnalysis,0.4,0.7429
loan_approval.csv,Noisy, luxury_assets_value,CatBoostClassifier,0.8,0.7441
loan_approval.csv,Outlier, cibil_score,RidgeClassifier,0.8,0.7447
loan_approval.csv,Noisy, residential_assets_value,ExtraTreesClassifier,0.6,0.7457
loan_approval.csv,Outlier, bank_asset_value,MLPClassifier,0.6,0.7484
loan_approval.csv,Noisy, commercial_assets_value,CatBoostClassifier,0.6,0.75
loan_approval.csv,Noisy, residential_assets_value,QuadraticDiscriminantAnalysis,0.6,0.7514
loan_approval.csv,Outlier, cibil_score,LinearDiscriminantAnalysis,0.8,0.7525
loan_approval.csv,Noisy, bank_asset_value,AdaBoostClassifier,0.6,0.7564
loan_approval.csv,Noisy, bank_asset_value,DecisionTreeClassifier,0.8,0.7572
loan_approval.csv,Noisy, residential_assets_value,DecisionTreeClassifier,0.4,0.7579
loan_approval.csv,Noisy, commercial_assets_value,LinearDiscriminantAnalysis,0.6,0.759
loan_approval.csv,Noisy, residential_assets_value,GradientBoostingClassifier,0.6,0.7629
loan_approval.csv,Noisy, commercial_assets_value,ExtraTreesClassifier,0.6,0.7638
loan_approval.csv,Missing, commercial_assets_value,MLPClassifier,0.8,0.7644
loan_approval.csv,Noisy, commercial_assets_value,RidgeClassifier,0.6,0.7653
loan_approval.csv,Noisy, luxury_assets_value,RidgeClassifier,0.6,0.7657
loan_approval.csv,Noisy, bank_asset_value,DecisionTreeClassifier,0.6,0.7658
loan_approval.csv,Outlier, self_employed,MLPClassifier,0.4,0.7661
loan_approval.csv,Noisy, luxury_assets_value,QuadraticDiscriminantAnalysis,0.6,0.767
loan_approval.csv,Outlier, self_employed,QuadraticDiscriminantAnalysis,0.6,0.767
loan_approval.csv,Noisy, bank_asset_value,LinearDiscriminantAnalysis,0.6,0.7678
loan_approval.csv,Noisy, bank_asset_value,LogisticRegression,0.6,0.7679
loan_approval.csv,Noisy, residential_assets_value,RidgeClassifier,0.6,0.7681
loan_approval.csv,Noisy, luxury_assets_value,CatBoostClassifier,0.6,0.7688
loan_approval.csv,Noisy, residential_assets_value,LinearDiscriminantAnalysis,0.6,0.769
loan_approval.csv,Outlier, residential_assets_value,MLPClassifier,0.6,0.769
loan_approval.csv,Noisy, residential_assets_value,LogisticRegression,0.6,0.7715
loan_approval.csv,Noisy, residential_assets_value,DecisionTreeClassifier,0.6,0.772
loan_approval.csv,Noisy, bank_asset_value,RidgeClassifier,0.6,0.7735
loan_approval.csv,Outlier, cibil_score,QuadraticDiscriminantAnalysis,0.8,0.7741
loan_approval.csv,Noisy, bank_asset_value,QuadraticDiscriminantAnalysis,0.8,0.7743
loan_approval.csv,Labels,loan_status,DummyClassifier,0.6,0.7746
loan_approval.csv,Labels,loan_status,SVC,0.6,0.7746
loan_approval.csv,Outlier, bank_asset_value,LinearDiscriminantAnalysis,0.6,0.7746
loan_approval.csv,Outlier, bank_asset_value,RidgeClassifier,0.6,0.7746
loan_approval.csv,Outlier, bank_asset_value,QuadraticDiscriminantAnalysis,0.6,0.7746
loan_approval.csv,Outlier, bank_asset_value,LogisticRegression,0.6,0.7746
loan_approval.csv,Outlier, commercial_assets_value,LinearDiscriminantAnalysis,0.6,0.7746
loan_approval.csv,Outlier, commercial_assets_value,QuadraticDiscriminantAnalysis,0.6,0.7746
loan_approval.csv,Outlier, commercial_assets_value,RidgeClassifier,0.6,0.7746
loan_approval.csv,Outlier, commercial_assets_value,LogisticRegression,0.6,0.7746
loan_approval.csv,Noisy, commercial_assets_value,LogisticRegression,0.6,0.7746
loan_approval.csv,Outlier, luxury_assets_value,LinearDiscriminantAnalysis,0.6,0.7746
loan_approval.csv,Outlier, luxury_assets_value,LogisticRegression,0.6,0.7746
loan_approval.csv,Noisy, luxury_assets_value,LogisticRegression,0.6,0.7746
