datasetName,errorType,feature,modelName,percentage,epc_at
penguins_binary_classification.csv,Missing,year,GaussianProcessClassifier,0.8,0.7071
penguins_binary_classification.csv,Missing,year,MLPClassifier,0.8,0.7071
penguins_binary_classification.csv,Missing,island,MLPClassifier,0.8,0.7071
penguins_binary_classification.csv,Outlier,island,MLPClassifier,0.8,0.7071
penguins_binary_classification.csv,Missing,island,GaussianProcessClassifier,0.8,0.7071
penguins_binary_classification.csv,Noisy,body_mass_g,GaussianProcessClassifier,0.8,0.7157
penguins_binary_classification.csv,Outlier,body_mass_g,GaussianProcessClassifier,0.8,0.7508
penguins_binary_classification.csv,Outlier,year,MLPClassifier,0.8,0.7559
penguins_binary_classification.csv,Missing,year,GaussianProcessClassifier,0.6,0.7746
penguins_binary_classification.csv,Missing,year,MLPClassifier,0.6,0.7746
penguins_binary_classification.csv,Missing,island,MLPClassifier,0.6,0.7746
penguins_binary_classification.csv,Outlier,island,MLPClassifier,0.6,0.7746
penguins_binary_classification.csv,Missing,island,GaussianProcessClassifier,0.6,0.7746
penguins_binary_classification.csv,Noisy,body_mass_g,MLPClassifier,0.8,0.7859
penguins_binary_classification.csv,Noisy,body_mass_g,GaussianProcessClassifier,0.4,0.8029
penguins_binary_classification.csv,Outlier,body_mass_g,GaussianProcessClassifier,0.6,0.8068
penguins_binary_classification.csv,Missing,body_mass_g,SGDClassifier,0.6,0.8357
penguins_binary_classification.csv,Missing,year,GaussianProcessClassifier,0.4,0.866
penguins_binary_classification.csv,Outlier,year,GaussianProcessClassifier,0.4,0.866
penguins_binary_classification.csv,Missing,year,MLPClassifier,0.4,0.866
penguins_binary_classification.csv,Missing,island,MLPClassifier,0.4,0.866
penguins_binary_classification.csv,Outlier,island,MLPClassifier,0.4,0.866
penguins_binary_classification.csv,Missing,island,GaussianProcessClassifier,0.4,0.866
penguins_binary_classification.csv,Missing,body_mass_g,GaussianProcessClassifier,0.4,0.866
penguins_binary_classification.csv,Outlier,body_mass_g,GaussianProcessClassifier,0.4,0.866
penguins_binary_classification.csv,Missing,body_mass_g,SGDClassifier,0.4,0.866
penguins_binary_classification.csv,Noisy,body_mass_g,MLPClassifier,0.4,0.9177
penguins_binary_classification.csv,Outlier,flipper_length_mm,GaussianProcessClassifier,0.4,0.9333
penguins_binary_classification.csv,Outlier,year,GaussianProcessClassifier,0.6,0.9392
penguins_binary_classification.csv,Missing,body_mass_g,GaussianProcessClassifier,0.6,0.9458
penguins_binary_classification.csv,Missing,body_mass_g,GaussianProcessClassifier,0.8,0.9515
penguins_binary_classification.csv,Missing,body_mass_g,MLPClassifier,0.4,0.9608
penguins_binary_classification.csv,Outlier,flipper_length_mm,GaussianProcessClassifier,0.6,0.9661
penguins_binary_classification.csv,Noisy,body_mass_g,MLPClassifier,0.6,0.9676
penguins_binary_classification.csv,Outlier,body_mass_g,MLPClassifier,0.8,0.968
penguins_binary_classification.csv,Outlier,year,GaussianProcessClassifier,0.8,0.9682
penguins_binary_classification.csv,Noisy,flipper_length_mm,GaussianProcessClassifier,0.8,0.969
penguins_binary_classification.csv,Outlier,flipper_length_mm,GaussianProcessClassifier,0.8,0.9734
penguins_binary_classification.csv,Missing,body_mass_g,MLPClassifier,0.6,0.9798
penguins_binary_classification.csv,Noisy,flipper_length_mm,GaussianProcessClassifier,0.4,0.9821
penguins_binary_classification.csv,Missing,body_mass_g,MLPClassifier,0.8,0.9827
penguins_binary_classification.csv,Outlier,year,MLPClassifier,0.6,0.9839
penguins_binary_classification.csv,Noisy,flipper_length_mm,GaussianProcessClassifier,0.6,0.9923
penguins_binary_classification.csv,Outlier,body_mass_g,MLPClassifier,0.4,0.9966
penguins_binary_classification.csv,Outlier,year,MLPClassifier,0.4,0.9974
penguins_binary_classification.csv,Outlier,body_mass_g,MLPClassifier,0.6,0.9985
