datasetName,errorType,feature,modelName,percentage,epc_at
student-mat-5.csv,Noisy,guardian,SGDClassifier,0.8,0.7071
student-mat-5.csv,Noisy,reason,SGDClassifier,0.8,0.7071
student-mat-5.csv,Noisy,famsize,SGDClassifier,0.8,0.7071
student-mat-5.csv,Missing,reason,GaussianNB,0.6,0.7512
student-mat-5.csv,Missing,internet,GaussianNB,0.6,0.7746
student-mat-5.csv,Missing,Dalc,SGDClassifier,0.6,0.7746
student-mat-5.csv,Noisy,Fedu,SGDClassifier,0.6,0.7746
student-mat-5.csv,Missing,reason,SGDClassifier,0.6,0.7746
student-mat-5.csv,Missing,G3,GaussianNB,0.6,0.7746
student-mat-5.csv,Labels,higher,DummyClassifier,0.6,0.7746
student-mat-5.csv,Outlier,school,GaussianNB,0.6,0.7746
student-mat-5.csv,Outlier,Pstatus,SGDClassifier,0.6,0.7746
student-mat-5.csv,Noisy,Mjob,SGDClassifier,0.6,0.7746
student-mat-5.csv,Missing,Fjob,SGDClassifier,0.6,0.7746
student-mat-5.csv,Missing,age,GaussianNB,0.6,0.7746
student-mat-5.csv,Outlier,famsize,SGDClassifier,0.6,0.7746
student-mat-5.csv,Labels,higher,GaussianNB,0.8,0.7774
student-mat-5.csv,Labels,higher,SGDClassifier,0.6,0.7902
student-mat-5.csv,Labels,higher,SVC,0.6,0.8055
student-mat-5.csv,Missing,internet,GaussianNB,0.8,0.8322
student-mat-5.csv,Labels,higher,MLPClassifier,0.6,0.8426
student-mat-5.csv,Noisy,schoolsup,SGDClassifier,0.4,0.866
student-mat-5.csv,Noisy,address,SGDClassifier,0.4,0.866
student-mat-5.csv,Missing,Fedu,GaussianNB,0.4,0.866
student-mat-5.csv,Missing,Fedu,SGDClassifier,0.4,0.866
student-mat-5.csv,Outlier,Fedu,SGDClassifier,0.4,0.866
student-mat-5.csv,Missing,reason,SGDClassifier,0.8,0.866
student-mat-5.csv,Missing,G3,SGDClassifier,0.4,0.866
student-mat-5.csv,Labels,higher,QuadraticDiscriminantAnalysis,0.4,0.866
student-mat-5.csv,Labels,higher,MLPClassifier,0.4,0.866
student-mat-5.csv,Labels,higher,DummyClassifier,0.8,0.866
student-mat-5.csv,Noisy,Pstatus,SGDClassifier,0.4,0.866
student-mat-5.csv,Noisy,Mjob,SGDClassifier,0.8,0.866
student-mat-5.csv,Noisy,age,SGDClassifier,0.4,0.866
student-mat-5.csv,Outlier,famsize,SGDClassifier,0.4,0.866
student-mat-5.csv,Noisy,Pstatus,SGDClassifier,0.6,0.8731
student-mat-5.csv,Labels,higher,SGDClassifier,0.8,0.8747
student-mat-5.csv,Labels,higher,RandomForestClassifier,0.6,0.8788
student-mat-5.csv,Labels,higher,CatBoostClassifier,0.4,0.8852
student-mat-5.csv,Labels,higher,CatBoostClassifier,0.6,0.9002
student-mat-5.csv,Labels,higher,ExtraTreesClassifier,0.4,0.9018
student-mat-5.csv,Labels,higher,SVC,0.8,0.9074
student-mat-5.csv,Labels,higher,ExtraTreesClassifier,0.6,0.9077
student-mat-5.csv,Labels,higher,RandomForestClassifier,0.4,0.908
student-mat-5.csv,Labels,higher,MLPClassifier,0.8,0.911
student-mat-5.csv,Missing,Fedu,SGDClassifier,0.6,0.915
student-mat-5.csv,Labels,higher,SVC,0.4,0.9299
student-mat-5.csv,Labels,higher,LogisticRegression,0.4,0.9341
student-mat-5.csv,Labels,higher,CatBoostClassifier,0.8,0.9353
student-mat-5.csv,Labels,higher,RandomForestClassifier,0.8,0.9371
student-mat-5.csv,Labels,higher,QuadraticDiscriminantAnalysis,0.6,0.9395
student-mat-5.csv,Labels,higher,ExtraTreesClassifier,0.8,0.9405
student-mat-5.csv,Labels,higher,RidgeClassifier,0.4,0.9425
student-mat-5.csv,Missing,G3,SGDClassifier,0.6,0.9478
student-mat-5.csv,Labels,higher,KNeighborsClassifier,0.6,0.9488
student-mat-5.csv,Labels,higher,KNeighborsClassifier,0.4,0.9527
student-mat-5.csv,Missing,reason,GaussianNB,0.4,0.9535
student-mat-5.csv,Labels,higher,AdaBoostClassifier,0.6,0.9566
student-mat-5.csv,Labels,higher,QuadraticDiscriminantAnalysis,0.8,0.9571
student-mat-5.csv,Labels,higher,KNeighborsClassifier,0.8,0.9596
student-mat-5.csv,Labels,higher,GradientBoostingClassifier,0.6,0.9603
student-mat-5.csv,Labels,higher,GradientBoostingClassifier,0.4,0.9635
student-mat-5.csv,Labels,higher,LogisticRegression,0.6,0.9659
student-mat-5.csv,Labels,higher,GradientBoostingClassifier,0.8,0.9687
student-mat-5.csv,Labels,higher,RidgeClassifier,0.6,0.9729
student-mat-5.csv,Labels,higher,LinearDiscriminantAnalysis,0.4,0.9764
student-mat-5.csv,Labels,higher,LogisticRegression,0.8,0.9766
student-mat-5.csv,Labels,higher,RidgeClassifier,0.8,0.9776
student-mat-5.csv,Labels,higher,AdaBoostClassifier,0.8,0.9784
student-mat-5.csv,Labels,higher,LinearDiscriminantAnalysis,0.6,0.9838
student-mat-5.csv,Labels,higher,LinearDiscriminantAnalysis,0.8,0.9877
student-mat-5.csv,Labels,higher,GaussianProcessClassifier,0.6,0.9934
student-mat-5.csv,Labels,higher,DecisionTreeClassifier,0.4,0.9948
student-mat-5.csv,Labels,higher,GaussianProcessClassifier,0.8,0.9966
student-mat-5.csv,Labels,higher,DecisionTreeClassifier,0.6,0.9977
student-mat-5.csv,Labels,higher,DecisionTreeClassifier,0.8,0.9981
student-mat-5.csv,Labels,higher,GaussianProcessClassifier,0.4,0.9989
