datasetName,errorType,feature,modelName,percentage,epc_at
transfusion.csv,Labels,whether he/she donated blood in March 2007,AdaBoostClassifier,0.8,0.701
transfusion.csv,Noisy,Monetary (c.c. blood),LinearDiscriminantAnalysis,0.8,0.7071
transfusion.csv,Noisy,Monetary (c.c. blood),QuadraticDiscriminantAnalysis,0.8,0.7071
transfusion.csv,Noisy,Monetary (c.c. blood),LogisticRegression,0.8,0.7071
transfusion.csv,Outlier,Monetary (c.c. blood),RidgeClassifier,0.8,0.7071
transfusion.csv,Noisy,Monetary (c.c. blood),RidgeClassifier,0.8,0.7071
transfusion.csv,Outlier,Monetary (c.c. blood),GaussianNB,0.8,0.7071
transfusion.csv,Noisy,Monetary (c.c. blood),GaussianNB,0.8,0.7071
transfusion.csv,Outlier,Monetary (c.c. blood),SVC,0.8,0.7071
transfusion.csv,Noisy,Monetary (c.c. blood),SVC,0.8,0.7071
transfusion.csv,Outlier,Frequency (times),SVC,0.8,0.7071
transfusion.csv,Noisy,Time (months),LinearDiscriminantAnalysis,0.8,0.7071
transfusion.csv,Noisy,Time (months),RidgeClassifier,0.8,0.7071
transfusion.csv,Outlier,Time (months),GaussianNB,0.8,0.7071
transfusion.csv,Noisy,Time (months),GaussianNB,0.8,0.7071
transfusion.csv,Outlier,Time (months),SVC,0.8,0.7071
transfusion.csv,Noisy,Time (months),SVC,0.8,0.7071
transfusion.csv,Outlier,Time (months),CatBoostClassifier,0.8,0.7071
transfusion.csv,Noisy,Time (months),LogisticRegression,0.8,0.7071
transfusion.csv,Noisy,Time (months),QuadraticDiscriminantAnalysis,0.8,0.7071
transfusion.csv,Noisy,Frequency (times),QuadraticDiscriminantAnalysis,0.6,0.711
transfusion.csv,Outlier,Monetary (c.c. blood),AdaBoostClassifier,0.6,0.7113
transfusion.csv,Noisy,Time (months),CatBoostClassifier,0.6,0.7128
transfusion.csv,Noisy,Monetary (c.c. blood),AdaBoostClassifier,0.8,0.7231
transfusion.csv,Missing,Time (months),AdaBoostClassifier,0.8,0.7254
transfusion.csv,Noisy,Frequency (times),RandomForestClassifier,0.6,0.7263
transfusion.csv,Noisy,Time (months),AdaBoostClassifier,0.8,0.7265
transfusion.csv,Missing,Time (months),DecisionTreeClassifier,0.4,0.7306
transfusion.csv,Outlier,Time (months),AdaBoostClassifier,0.4,0.7339
transfusion.csv,Missing,Monetary (c.c. blood),QuadraticDiscriminantAnalysis,0.8,0.7355
transfusion.csv,Missing,Frequency (times),QuadraticDiscriminantAnalysis,0.8,0.7355
transfusion.csv,Noisy,Time (months),KNeighborsClassifier,0.8,0.7374
transfusion.csv,Outlier,Frequency (times),QuadraticDiscriminantAnalysis,0.8,0.7397
transfusion.csv,Noisy,Time (months),AdaBoostClassifier,0.4,0.7414
transfusion.csv,Noisy,Time (months),RandomForestClassifier,0.6,0.7416
transfusion.csv,Missing,Frequency (times),ExtraTreesClassifier,0.4,0.7448
transfusion.csv,Labels,whether he/she donated blood in March 2007,ExtraTreesClassifier,0.4,0.7525
transfusion.csv,Noisy,Time (months),AdaBoostClassifier,0.6,0.753
transfusion.csv,Labels,whether he/she donated blood in March 2007,CatBoostClassifier,0.4,0.7594
transfusion.csv,Noisy,Monetary (c.c. blood),GaussianProcessClassifier,0.4,0.7612
transfusion.csv,Outlier,Monetary (c.c. blood),GradientBoostingClassifier,0.6,0.7639
transfusion.csv,DuplicatedAll,whether he/she donated blood in March 2007,QuadraticDiscriminantAnalysis,0.6,0.7642
transfusion.csv,Noisy,Frequency (times),SVC,0.6,0.7692
transfusion.csv,Outlier,Frequency (times),RandomForestClassifier,0.6,0.7693
transfusion.csv,Noisy,Monetary (c.c. blood),LinearDiscriminantAnalysis,0.6,0.7746
transfusion.csv,Noisy,Monetary (c.c. blood),QuadraticDiscriminantAnalysis,0.6,0.7746
transfusion.csv,Noisy,Monetary (c.c. blood),LogisticRegression,0.6,0.7746
transfusion.csv,Outlier,Monetary (c.c. blood),RidgeClassifier,0.6,0.7746
transfusion.csv,Noisy,Monetary (c.c. blood),RidgeClassifier,0.6,0.7746
transfusion.csv,Outlier,Monetary (c.c. blood),GaussianNB,0.6,0.7746
transfusion.csv,Noisy,Monetary (c.c. blood),GaussianNB,0.6,0.7746
transfusion.csv,Outlier,Monetary (c.c. blood),SVC,0.6,0.7746
transfusion.csv,Noisy,Monetary (c.c. blood),SVC,0.6,0.7746
transfusion.csv,Outlier,Frequency (times),SVC,0.6,0.7746
transfusion.csv,Outlier,Time (months),LinearDiscriminantAnalysis,0.6,0.7746
transfusion.csv,Noisy,Time (months),LinearDiscriminantAnalysis,0.6,0.7746
transfusion.csv,Noisy,Time (months),RidgeClassifier,0.6,0.7746
transfusion.csv,Outlier,Time (months),GaussianNB,0.6,0.7746
transfusion.csv,Noisy,Time (months),GaussianNB,0.6,0.7746
transfusion.csv,Outlier,Time (months),SVC,0.6,0.7746
transfusion.csv,Noisy,Time (months),SVC,0.6,0.7746
transfusion.csv,Outlier,Time (months),KNeighborsClassifier,0.6,0.7746
transfusion.csv,Outlier,Time (months),CatBoostClassifier,0.6,0.7746
transfusion.csv,Outlier,Time (months),LogisticRegression,0.6,0.7746
transfusion.csv,Noisy,Time (months),LogisticRegression,0.6,0.7746
transfusion.csv,Outlier,Time (months),GaussianProcessClassifier,0.6,0.7746
transfusion.csv,Noisy,Time (months),QuadraticDiscriminantAnalysis,0.6,0.7746
transfusion.csv,Missing,Time (months),AdaBoostClassifier,0.4,0.7841
transfusion.csv,Labels,whether he/she donated blood in March 2007,GaussianProcessClassifier,0.8,0.7901
transfusion.csv,Outlier,Recency (months),KNeighborsClassifier,0.8,0.7925
transfusion.csv,Outlier,Time (months),RandomForestClassifier,0.8,0.7935
transfusion.csv,Outlier,Time (months),AdaBoostClassifier,0.8,0.7947
transfusion.csv,Outlier,Time (months),KNeighborsClassifier,0.8,0.7952
transfusion.csv,Outlier,Frequency (times),KNeighborsClassifier,0.6,0.8034
transfusion.csv,Noisy,Frequency (times),CatBoostClassifier,0.8,0.8038
transfusion.csv,Outlier,Time (months),AdaBoostClassifier,0.6,0.8043
transfusion.csv,Outlier,Frequency (times),RandomForestClassifier,0.4,0.8058
transfusion.csv,Outlier,Frequency (times),CatBoostClassifier,0.8,0.8064
transfusion.csv,Outlier,Monetary (c.c. blood),RandomForestClassifier,0.8,0.8066
transfusion.csv,Outlier,Monetary (c.c. blood),GradientBoostingClassifier,0.8,0.8126
transfusion.csv,Missing,Frequency (times),CatBoostClassifier,0.4,0.8138
transfusion.csv,Labels,whether he/she donated blood in March 2007,RandomForestClassifier,0.8,0.8149
transfusion.csv,Outlier,Frequency (times),DecisionTreeClassifier,0.8,0.818
transfusion.csv,Outlier,Time (months),GaussianProcessClassifier,0.8,0.821
transfusion.csv,Noisy,Time (months),KNeighborsClassifier,0.6,0.8265
transfusion.csv,Missing,Monetary (c.c. blood),KNeighborsClassifier,0.4,0.8268
transfusion.csv,Outlier,Monetary (c.c. blood),QuadraticDiscriminantAnalysis,0.6,0.8279
transfusion.csv,Labels,whether he/she donated blood in March 2007,QuadraticDiscriminantAnalysis,0.6,0.8282
transfusion.csv,Noisy,Time (months),GaussianProcessClassifier,0.8,0.8301
transfusion.csv,Missing,Monetary (c.c. blood),DecisionTreeClassifier,0.8,0.8311
transfusion.csv,Missing,Frequency (times),DecisionTreeClassifier,0.8,0.8311
transfusion.csv,Outlier,Monetary (c.c. blood),GaussianProcessClassifier,0.4,0.8346
transfusion.csv,Outlier,Time (months),DecisionTreeClassifier,0.8,0.835
transfusion.csv,Outlier,Time (months),DecisionTreeClassifier,0.4,0.8383
transfusion.csv,Outlier,Frequency (times),CatBoostClassifier,0.4,0.8384
transfusion.csv,Noisy,Frequency (times),QuadraticDiscriminantAnalysis,0.8,0.8387
transfusion.csv,Noisy,Frequency (times),RandomForestClassifier,0.8,0.8408
transfusion.csv,Outlier,Frequency (times),CatBoostClassifier,0.6,0.841
transfusion.csv,Outlier,Monetary (c.c. blood),KNeighborsClassifier,0.8,0.8416
transfusion.csv,Outlier,Frequency (times),KNeighborsClassifier,0.8,0.8452
transfusion.csv,DuplicatedAll,whether he/she donated blood in March 2007,SVC,0.4,0.846
transfusion.csv,Noisy,Monetary (c.c. blood),CatBoostClassifier,0.6,0.8477
transfusion.csv,Noisy,Frequency (times),SVC,0.8,0.8489
transfusion.csv,Outlier,Monetary (c.c. blood),LinearDiscriminantAnalysis,0.8,0.8491
transfusion.csv,Noisy,Time (months),RandomForestClassifier,0.4,0.8527
transfusion.csv,Outlier,Recency (months),DecisionTreeClassifier,0.4,0.8555
transfusion.csv,Outlier,Monetary (c.c. blood),LogisticRegression,0.8,0.8576
transfusion.csv,Noisy,Monetary (c.c. blood),RandomForestClassifier,0.8,0.8594
transfusion.csv,DuplicatedAll,whether he/she donated blood in March 2007,QuadraticDiscriminantAnalysis,0.8,0.8626
transfusion.csv,Labels,whether he/she donated blood in March 2007,CatBoostClassifier,0.6,0.8658
transfusion.csv,Missing,Monetary (c.c. blood),LinearDiscriminantAnalysis,0.4,0.866
transfusion.csv,Outlier,Monetary (c.c. blood),LinearDiscriminantAnalysis,0.4,0.866
transfusion.csv,Noisy,Monetary (c.c. blood),LinearDiscriminantAnalysis,0.4,0.866
transfusion.csv,Outlier,Monetary (c.c. blood),QuadraticDiscriminantAnalysis,0.4,0.866
transfusion.csv,Noisy,Monetary (c.c. blood),QuadraticDiscriminantAnalysis,0.4,0.866
transfusion.csv,Noisy,Monetary (c.c. blood),LogisticRegression,0.4,0.866
transfusion.csv,Outlier,Monetary (c.c. blood),AdaBoostClassifier,0.4,0.866
transfusion.csv,Missing,Monetary (c.c. blood),RidgeClassifier,0.4,0.866
transfusion.csv,Outlier,Monetary (c.c. blood),RidgeClassifier,0.4,0.866
transfusion.csv,Noisy,Monetary (c.c. blood),RidgeClassifier,0.4,0.866
transfusion.csv,Outlier,Monetary (c.c. blood),GaussianNB,0.4,0.866
transfusion.csv,Noisy,Monetary (c.c. blood),GaussianNB,0.4,0.866
transfusion.csv,Outlier,Monetary (c.c. blood),SVC,0.4,0.866
transfusion.csv,Noisy,Monetary (c.c. blood),SVC,0.4,0.866
transfusion.csv,Noisy,Monetary (c.c. blood),KNeighborsClassifier,0.4,0.866
transfusion.csv,Outlier,Frequency (times),GaussianProcessClassifier,0.4,0.866
transfusion.csv,Missing,Frequency (times),LinearDiscriminantAnalysis,0.4,0.866
transfusion.csv,Outlier,Frequency (times),QuadraticDiscriminantAnalysis,0.4,0.866
transfusion.csv,Outlier,Frequency (times),SVC,0.4,0.866
transfusion.csv,Noisy,Frequency (times),SVC,0.4,0.866
transfusion.csv,Missing,Frequency (times),RidgeClassifier,0.4,0.866
transfusion.csv,Outlier,Time (months),LinearDiscriminantAnalysis,0.4,0.866
transfusion.csv,Noisy,Time (months),LinearDiscriminantAnalysis,0.4,0.866
transfusion.csv,Missing,Time (months),RidgeClassifier,0.4,0.866
transfusion.csv,Outlier,Time (months),RidgeClassifier,0.4,0.866
transfusion.csv,Noisy,Time (months),RidgeClassifier,0.4,0.866
transfusion.csv,Outlier,Time (months),GaussianNB,0.4,0.866
transfusion.csv,Noisy,Time (months),GaussianNB,0.4,0.866
transfusion.csv,Outlier,Time (months),SVC,0.4,0.866
transfusion.csv,Noisy,Time (months),SVC,0.4,0.866
transfusion.csv,Outlier,Time (months),KNeighborsClassifier,0.4,0.866
transfusion.csv,Outlier,Time (months),CatBoostClassifier,0.4,0.866
transfusion.csv,Outlier,Time (months),LogisticRegression,0.4,0.866
transfusion.csv,Noisy,Time (months),LogisticRegression,0.4,0.866
