datasetName,errorType,feature,modelName,percentage,epc_at
water_potability.csv,Noisy,Organic_carbon,ExtraTreesClassifier,0.6,0.7006
water_potability.csv,Outlier,Sulfate,RidgeClassifier,0.8,0.7026
water_potability.csv,Noisy,Turbidity,KNeighborsClassifier,0.8,0.7037
water_potability.csv,Noisy,Trihalomethanes,ExtraTreesClassifier,0.6,0.7057
water_potability.csv,Noisy,Turbidity,AdaBoostClassifier,0.6,0.7068
water_potability.csv,Noisy,Trihalomethanes,LinearDiscriminantAnalysis,0.8,0.7071
water_potability.csv,Outlier,Trihalomethanes,GaussianNB,0.8,0.7071
water_potability.csv,Noisy,Turbidity,MLPClassifier,0.8,0.7071
water_potability.csv,Outlier,Turbidity,GaussianNB,0.8,0.7071
water_potability.csv,Noisy,Chloramines,GaussianProcessClassifier,0.8,0.7071
water_potability.csv,Noisy,Organic_carbon,GaussianProcessClassifier,0.8,0.7071
water_potability.csv,Noisy,Organic_carbon,KNeighborsClassifier,0.8,0.7071
water_potability.csv,Noisy,Trihalomethanes,CatBoostClassifier,0.8,0.7073
water_potability.csv,Outlier,ph,DecisionTreeClassifier,0.8,0.7107
water_potability.csv,Outlier,Solids,RandomForestClassifier,0.4,0.7134
water_potability.csv,Noisy,Chloramines,ExtraTreesClassifier,0.8,0.7149
water_potability.csv,Noisy,Turbidity,DecisionTreeClassifier,0.6,0.7172
water_potability.csv,Noisy,Conductivity,LogisticRegression,0.8,0.7179
water_potability.csv,Noisy,Solids,CatBoostClassifier,0.6,0.7195
water_potability.csv,Outlier,Trihalomethanes,RidgeClassifier,0.8,0.7225
water_potability.csv,Noisy,Conductivity,DecisionTreeClassifier,0.8,0.7245
water_potability.csv,Outlier,Conductivity,DecisionTreeClassifier,0.4,0.7259
water_potability.csv,Noisy,Sulfate,GradientBoostingClassifier,0.8,0.7267
water_potability.csv,Noisy,Sulfate,QuadraticDiscriminantAnalysis,0.8,0.7273
water_potability.csv,Noisy,Conductivity,RidgeClassifier,0.8,0.728
