",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
0,Employee.csv,NULL,0.0,NULL,CatBoostClassifier,0.8378,0.6305,0.6634,0.804,0.7269
1,Employee.csv,NULL,0.0,NULL,GradientBoostingClassifier,0.8314,0.5968,0.6502,0.7944,0.7151
2,Employee.csv,NULL,0.0,NULL,RandomForestClassifier,0.8067,0.5995,0.6733,0.7158,0.6939
3,Employee.csv,NULL,0.0,NULL,SVC,0.8034,0.4887,0.5842,0.7564,0.6592
4,Employee.csv,NULL,0.0,NULL,ExtraTreesClassifier,0.8045,0.5503,0.67,0.7123,0.6905
5,Employee.csv,NULL,0.0,NULL,GaussianProcessClassifier,0.7905,0.4115,0.5413,0.7455,0.6272
6,Employee.csv,NULL,0.0,NULL,AdaBoostClassifier,0.797,0.4602,0.5446,0.7639,0.6358
7,Employee.csv,NULL,0.0,NULL,DecisionTreeClassifier,0.7809,0.5556,0.6733,0.6602,0.6667
8,Employee.csv,NULL,0.0,NULL,KNeighborsClassifier,0.7712,0.4743,0.5446,0.6875,0.6077
9,Employee.csv,NULL,0.0,NULL,RidgeClassifier,0.7304,,0.429,0.625,0.5088
10,Employee.csv,NULL,0.0,NULL,LinearDiscriminantAnalysis,0.7229,0.3689,0.4389,0.6018,0.5076
11,Employee.csv,NULL,0.0,NULL,LogisticRegression,0.7229,0.3871,0.4257,0.6056,0.5
12,Employee.csv,NULL,0.0,NULL,GaussianNB,0.6874,0.419,0.5248,0.5196,0.5222
13,Employee.csv,NULL,0.0,NULL,DummyClassifier,0.6745,0.5,0.0,0.0,0.0
14,Employee.csv,NULL,0.0,NULL,QuadraticDiscriminantAnalysis,0.7218,0.5009,0.5248,0.5803,0.5511
15,Employee.csv,NULL,0.0,NULL,MLPClassifier,0.6745,0.3329,0.0,0.0,0.0
16,Employee.csv,NULL,0.0,NULL,SGDClassifier,0.6745,,0.0,0.0,0.0
17,Employee.csv,Missing,0.2,JoiningYear,GradientBoostingClassifier,0.8292,0.6002,0.637,0.7975,0.7083
18,Employee.csv,Missing,0.2,JoiningYear,CatBoostClassifier,0.8367,0.6378,0.6568,0.8057,0.7236
