",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
0,Healthcare-Diabetes.csv,NULL,0.0,NULL,ExtraTreesClassifier,0.9639,0.3039,0.9412,0.9514,0.9462
1,Healthcare-Diabetes.csv,NULL,0.0,NULL,RandomForestClassifier,0.9621,0.2496,0.9358,0.9511,0.9434
2,Healthcare-Diabetes.csv,NULL,0.0,NULL,DecisionTreeClassifier,0.9477,0.5,0.9091,0.9341,0.9214
3,Healthcare-Diabetes.csv,NULL,0.0,NULL,CatBoostClassifier,0.9368,0.2599,0.893,0.9176,0.9051
4,Healthcare-Diabetes.csv,NULL,0.0,NULL,GradientBoostingClassifier,0.8773,0.2774,0.754,0.865,0.8057
5,Healthcare-Diabetes.csv,NULL,0.0,NULL,AdaBoostClassifier,0.8105,0.2843,0.6791,0.7384,0.7075
6,Healthcare-Diabetes.csv,NULL,0.0,NULL,LogisticRegression,0.7906,0.2926,0.5508,0.763,0.6398
7,Healthcare-Diabetes.csv,NULL,0.0,NULL,LinearDiscriminantAnalysis,0.7924,0.2908,0.5561,0.7647,0.644
8,Healthcare-Diabetes.csv,NULL,0.0,NULL,RidgeClassifier,0.7852,,0.5294,0.7615,0.6246
9,Healthcare-Diabetes.csv,NULL,0.0,NULL,GaussianNB,0.7708,0.3546,0.615,0.6765,0.6443
10,Healthcare-Diabetes.csv,NULL,0.0,NULL,QuadraticDiscriminantAnalysis,0.787,0.3824,0.5615,0.7447,0.6402
11,Healthcare-Diabetes.csv,NULL,0.0,NULL,KNeighborsClassifier,0.6913,0.3629,0.369,0.5656,0.4466
12,Healthcare-Diabetes.csv,NULL,0.0,NULL,SVC,0.6625,0.4973,0.0,0.0,0.0
13,Healthcare-Diabetes.csv,NULL,0.0,NULL,DummyClassifier,0.6625,0.5,0.0,0.0,0.0
14,Healthcare-Diabetes.csv,NULL,0.0,NULL,GaussianProcessClassifier,0.6715,0.5,0.3155,0.5221,0.3933
15,Healthcare-Diabetes.csv,NULL,0.0,NULL,MLPClassifier,0.6643,0.3473,0.123,0.5111,0.1983
16,Healthcare-Diabetes.csv,NULL,0.0,NULL,SGDClassifier,0.6661,,0.1016,0.5278,0.1704
17,Healthcare-Diabetes.csv,Missing,0.2,BMI,ExtraTreesClassifier,0.9693,0.2961,0.9572,0.9521,0.9547
18,Healthcare-Diabetes.csv,Missing,0.2,BMI,RandomForestClassifier,0.9639,0.2562,0.9412,0.9514,0.9462
19,Healthcare-Diabetes.csv,Missing,0.2,BMI,DecisionTreeClassifier,0.9296,0.5,0.893,0.8978,0.8954
20,Healthcare-Diabetes.csv,Missing,0.2,BMI,CatBoostClassifier,0.9188,0.2641,0.8556,0.8989,0.8767
21,Healthcare-Diabetes.csv,Missing,0.2,BMI,GradientBoostingClassifier,0.87,0.2793,0.7594,0.8402,0.7978
22,Healthcare-Diabetes.csv,Missing,0.2,BMI,AdaBoostClassifier,0.8014,0.2944,0.6524,0.7305,0.6893
23,Healthcare-Diabetes.csv,Missing,0.2,BMI,RidgeClassifier,0.7906,,0.5455,0.7669,0.6375
