",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
0,ShippingData.csv,NULL,0.0,NULL,GaussianNB,0.6655,0.6917,0.4539,0.9772,0.6198
1,ShippingData.csv,NULL,0.0,NULL,AdaBoostClassifier,0.6532,0.718,0.4939,0.8742,0.6312
2,ShippingData.csv,NULL,0.0,NULL,QuadraticDiscriminantAnalysis,0.6627,0.705,0.4599,0.956,0.621
3,ShippingData.csv,NULL,0.0,NULL,GradientBoostingClassifier,0.655,0.725,0.5129,0.855,0.6411
4,ShippingData.csv,NULL,0.0,NULL,RandomForestClassifier,0.6491,0.7144,0.5832,0.7772,0.6664
5,ShippingData.csv,NULL,0.0,NULL,CatBoostClassifier,0.6555,0.727,0.5825,0.7889,0.6701
6,ShippingData.csv,NULL,0.0,NULL,ExtraTreesClassifier,0.6545,0.7186,0.5998,0.7744,0.676
7,ShippingData.csv,NULL,0.0,NULL,LinearDiscriminantAnalysis,0.645,0.7251,0.6528,0.7283,0.6885
8,ShippingData.csv,NULL,0.0,NULL,RidgeClassifier,0.6455,,0.6558,0.7273,0.6897
9,ShippingData.csv,NULL,0.0,NULL,LogisticRegression,0.6464,0.7119,0.6483,0.7325,0.6878
10,ShippingData.csv,NULL,0.0,NULL,KNeighborsClassifier,0.6509,0.723,0.6611,0.732,0.6948
11,ShippingData.csv,NULL,0.0,NULL,DecisionTreeClassifier,0.6264,0.5,0.6702,0.6965,0.6831
12,ShippingData.csv,NULL,0.0,NULL,MLPClassifier,0.6645,0.6479,0.4667,0.9492,0.6258
13,ShippingData.csv,NULL,0.0,NULL,SGDClassifier,0.6009,,1.0,0.6009,0.7507
14,ShippingData.csv,NULL,0.0,NULL,SVC,0.6009,0.499,1.0,0.6009,0.7507
15,ShippingData.csv,NULL,0.0,NULL,DummyClassifier,0.6009,0.5,1.0,0.6009,0.7507
16,ShippingData.csv,NULL,0.0,NULL,GaussianProcessClassifier,0.4491,0.5,0.1755,0.6554,0.2768
17,ShippingData.csv,Missing,0.2,Cost_of_the_Product,GaussianNB,0.6659,0.6922,0.4546,0.9772,0.6205
18,ShippingData.csv,Missing,0.2,Cost_of_the_Product,QuadraticDiscriminantAnalysis,0.6632,0.7054,0.4607,0.956,0.6217
19,ShippingData.csv,Missing,0.2,Cost_of_the_Product,AdaBoostClassifier,0.6514,0.7183,0.4924,0.8715,0.6293
20,ShippingData.csv,Missing,0.2,Cost_of_the_Product,GradientBoostingClassifier,0.6441,0.7277,0.5159,0.8267,0.6353
21,ShippingData.csv,Missing,0.2,Cost_of_the_Product,RandomForestClassifier,0.6595,0.7396,0.5809,0.7975,0.6722
22,ShippingData.csv,Missing,0.2,Cost_of_the_Product,CatBoostClassifier,0.6564,0.7267,0.5923,0.783,0.6744
23,ShippingData.csv,Missing,0.2,Cost_of_the_Product,ExtraTreesClassifier,0.6473,0.7314,0.6036,0.76,0.6728
24,ShippingData.csv,Missing,0.2,Cost_of_the_Product,RidgeClassifier,0.6455,,0.6566,0.727,0.69
25,ShippingData.csv,Missing,0.2,Cost_of_the_Product,LinearDiscriminantAnalysis,0.6441,0.7253,0.652,0.7274,0.6877
26,ShippingData.csv,Missing,0.2,Cost_of_the_Product,DecisionTreeClassifier,0.6327,0.5,0.6959,0.6938,0.6949
27,ShippingData.csv,Missing,0.2,Cost_of_the_Product,LogisticRegression,0.6482,0.715,0.6475,0.7354,0.6887
28,ShippingData.csv,Missing,0.2,Cost_of_the_Product,KNeighborsClassifier,0.6573,0.7298,0.6679,0.7371,0.7008
29,ShippingData.csv,Missing,0.2,Cost_of_the_Product,SGDClassifier,0.6145,,0.3646,0.9837,0.532
30,ShippingData.csv,Missing,0.2,Cost_of_the_Product,MLPClassifier,0.6014,0.7052,0.9902,0.6024,0.7491
31,ShippingData.csv,Missing,0.2,Cost_of_the_Product,SVC,0.6009,0.4983,1.0,0.6009,0.7507
32,ShippingData.csv,Missing,0.2,Cost_of_the_Product,DummyClassifier,0.6009,0.5,1.0,0.6009,0.7507
33,ShippingData.csv,Missing,0.2,Cost_of_the_Product,GaussianProcessClassifier,0.4482,0.5,0.1702,0.6579,0.2704
34,ShippingData.csv,Missing,0.4,Cost_of_the_Product,GaussianNB,0.6659,0.6926,0.4546,0.9772,0.6205
35,ShippingData.csv,Missing,0.4,Cost_of_the_Product,QuadraticDiscriminantAnalysis,0.6623,0.7065,0.4629,0.9488,0.6223
36,ShippingData.csv,Missing,0.4,Cost_of_the_Product,AdaBoostClassifier,0.6559,0.714,0.4932,0.8823,0.6327
37,ShippingData.csv,Missing,0.4,Cost_of_the_Product,GradientBoostingClassifier,0.6464,0.7317,0.5091,0.8392,0.6337
38,ShippingData.csv,Missing,0.4,Cost_of_the_Product,RandomForestClassifier,0.6509,0.7392,0.5779,0.7844,0.6655
39,ShippingData.csv,Missing,0.4,Cost_of_the_Product,ExtraTreesClassifier,0.6509,0.7288,0.6036,0.7658,0.6751
40,ShippingData.csv,Missing,0.4,Cost_of_the_Product,CatBoostClassifier,0.6495,0.7246,0.5968,0.7683,0.6718
41,ShippingData.csv,Missing,0.4,Cost_of_the_Product,LinearDiscriminantAnalysis,0.6441,0.7255,0.6528,0.727,0.6879
42,ShippingData.csv,Missing,0.4,Cost_of_the_Product,RidgeClassifier,0.6455,,0.6566,0.727,0.69
43,ShippingData.csv,Missing,0.4,Cost_of_the_Product,LogisticRegression,0.6577,0.7139,0.6566,0.7438,0.6975
44,ShippingData.csv,Missing,0.4,Cost_of_the_Product,KNeighborsClassifier,0.6495,0.7242,0.6611,0.7302,0.6939
45,ShippingData.csv,Missing,0.4,Cost_of_the_Product,DecisionTreeClassifier,0.6191,0.5,0.6679,0.6888,0.6782
46,ShippingData.csv,Missing,0.4,Cost_of_the_Product,SGDClassifier,0.6432,,0.702,0.7036,0.7028
47,ShippingData.csv,Missing,0.4,Cost_of_the_Product,MLPClassifier,0.6641,0.6134,0.4614,0.9576,0.6228
48,ShippingData.csv,Missing,0.4,Cost_of_the_Product,SVC,0.6009,0.5,1.0,0.6009,0.7507
49,ShippingData.csv,Missing,0.4,Cost_of_the_Product,DummyClassifier,0.6009,0.5,1.0,0.6009,0.7507
50,ShippingData.csv,Missing,0.4,Cost_of_the_Product,GaussianProcessClassifier,0.4432,0.5,0.1589,0.6502,0.2553
51,ShippingData.csv,Missing,0.6,Cost_of_the_Product,GaussianNB,0.6668,0.693,0.4561,0.9773,0.622
52,ShippingData.csv,Missing,0.6,Cost_of_the_Product,QuadraticDiscriminantAnalysis,0.6641,0.7059,0.4637,0.9533,0.6239
53,ShippingData.csv,Missing,0.6,Cost_of_the_Product,AdaBoostClassifier,0.6582,0.7051,0.5386,0.8337,0.6544
54,ShippingData.csv,Missing,0.6,Cost_of_the_Product,GradientBoostingClassifier,0.6527,0.7302,0.5272,0.8337,0.646
55,ShippingData.csv,Missing,0.6,Cost_of_the_Product,RandomForestClassifier,0.6373,0.7311,0.6006,0.7462,0.6655
56,ShippingData.csv,Missing,0.6,Cost_of_the_Product,CatBoostClassifier,0.655,0.7208,0.6309,0.7548,0.6873
57,ShippingData.csv,Missing,0.6,Cost_of_the_Product,LinearDiscriminantAnalysis,0.6436,0.7252,0.652,0.7268,0.6874
58,ShippingData.csv,Missing,0.6,Cost_of_the_Product,ExtraTreesClassifier,0.6486,0.7225,0.6089,0.7587,0.6756
59,ShippingData.csv,Missing,0.6,Cost_of_the_Product,RidgeClassifier,0.645,,0.6558,0.7267,0.6895
60,ShippingData.csv,Missing,0.6,Cost_of_the_Product,LogisticRegression,0.6523,0.7139,0.6543,0.7374,0.6934
61,ShippingData.csv,Missing,0.6,Cost_of_the_Product,DecisionTreeClassifier,0.6564,0.5,0.6936,0.7232,0.7081
62,ShippingData.csv,Missing,0.6,Cost_of_the_Product,SGDClassifier,0.6009,,1.0,0.6009,0.7507
63,ShippingData.csv,Missing,0.6,Cost_of_the_Product,KNeighborsClassifier,0.6514,0.7263,0.6649,0.7307,0.6962
64,ShippingData.csv,Missing,0.6,Cost_of_the_Product,MLPClassifier,0.6041,0.6918,0.9887,0.6043,0.7501
65,ShippingData.csv,Missing,0.6,Cost_of_the_Product,DummyClassifier,0.6009,0.5,1.0,0.6009,0.7507
66,ShippingData.csv,Missing,0.6,Cost_of_the_Product,SVC,0.6009,0.4987,1.0,0.6009,0.7507
67,ShippingData.csv,Missing,0.6,Cost_of_the_Product,GaussianProcessClassifier,0.4332,0.5,0.1362,0.6316,0.224
68,ShippingData.csv,Missing,0.8,Cost_of_the_Product,GaussianNB,0.6655,0.6964,0.4576,0.9696,0.6218
69,ShippingData.csv,Missing,0.8,Cost_of_the_Product,QuadraticDiscriminantAnalysis,0.6632,0.7057,0.469,0.9408,0.6259
70,ShippingData.csv,Missing,0.8,Cost_of_the_Product,AdaBoostClassifier,0.6541,0.7141,0.5651,0.8006,0.6625
71,ShippingData.csv,Missing,0.8,Cost_of_the_Product,GradientBoostingClassifier,0.6545,0.7307,0.5371,0.8275,0.6514
72,ShippingData.csv,Missing,0.8,Cost_of_the_Product,CatBoostClassifier,0.6568,0.709,0.6301,0.758,0.6881
73,ShippingData.csv,Missing,0.8,Cost_of_the_Product,MLPClassifier,0.6523,0.7053,0.6581,0.7354,0.6946
74,ShippingData.csv,Missing,0.8,Cost_of_the_Product,RandomForestClassifier,0.6527,0.714,0.6097,0.7647,0.6785
75,ShippingData.csv,Missing,0.8,Cost_of_the_Product,ExtraTreesClassifier,0.6477,0.7152,0.6089,0.7573,0.6751
76,ShippingData.csv,Missing,0.8,Cost_of_the_Product,LinearDiscriminantAnalysis,0.6455,0.7244,0.6528,0.7289,0.6887
77,ShippingData.csv,Missing,0.8,Cost_of_the_Product,RidgeClassifier,0.6473,,0.6566,0.7294,0.6911
78,ShippingData.csv,Missing,0.8,Cost_of_the_Product,LogisticRegression,0.6577,0.7117,0.6694,0.7369,0.7015
79,ShippingData.csv,Missing,0.8,Cost_of_the_Product,KNeighborsClassifier,0.6482,0.7312,0.6641,0.7268,0.6941
80,ShippingData.csv,Missing,0.8,Cost_of_the_Product,DecisionTreeClassifier,0.6359,0.5,0.6876,0.7008,0.6942
81,ShippingData.csv,Missing,0.8,Cost_of_the_Product,SGDClassifier,0.6514,,0.5749,0.7876,0.6646
82,ShippingData.csv,Missing,0.8,Cost_of_the_Product,DummyClassifier,0.6009,0.5,1.0,0.6009,0.7507
83,ShippingData.csv,Missing,0.8,Cost_of_the_Product,SVC,0.6009,0.4985,1.0,0.6009,0.7507
84,ShippingData.csv,Missing,0.8,Cost_of_the_Product,GaussianProcessClassifier,0.4268,0.5,0.1195,0.6196,0.2004
85,ShippingData.csv,Missing,0.2,Discount_offered,GaussianNB,0.6632,0.694,0.4539,0.9693,0.6182
86,ShippingData.csv,Missing,0.2,Discount_offered,QuadraticDiscriminantAnalysis,0.6605,0.7058,0.4629,0.943,0.621
87,ShippingData.csv,Missing,0.2,Discount_offered,AdaBoostClassifier,0.6523,0.718,0.4985,0.866,0.6327
88,ShippingData.csv,Missing,0.2,Discount_offered,GradientBoostingClassifier,0.6591,0.7271,0.5174,0.8593,0.6459
89,ShippingData.csv,Missing,0.2,Discount_offered,ExtraTreesClassifier,0.6473,0.7277,0.5953,0.7656,0.6698
90,ShippingData.csv,Missing,0.2,Discount_offered,RandomForestClassifier,0.6491,0.7276,0.5688,0.7883,0.6608
91,ShippingData.csv,Missing,0.2,Discount_offered,CatBoostClassifier,0.6568,0.7273,0.584,0.7902,0.6716
92,ShippingData.csv,Missing,0.2,Discount_offered,LinearDiscriminantAnalysis,0.6409,0.7264,0.6513,0.7235,0.6855
93,ShippingData.csv,Missing,0.2,Discount_offered,LogisticRegression,0.6409,0.7181,0.6188,0.7409,0.6744
94,ShippingData.csv,Missing,0.2,Discount_offered,RidgeClassifier,0.6427,,0.6551,0.7241,0.6878
95,ShippingData.csv,Missing,0.2,Discount_offered,KNeighborsClassifier,0.6518,0.7235,0.6626,0.7324,0.6958
96,ShippingData.csv,Missing,0.2,Discount_offered,DecisionTreeClassifier,0.6286,0.5,0.6755,0.6971,0.6861
97,ShippingData.csv,Missing,0.2,Discount_offered,MLPClassifier,0.6505,0.5217,0.4206,0.9946,0.5912
98,ShippingData.csv,Missing,0.2,Discount_offered,SGDClassifier,0.6291,,0.3843,0.9961,0.5546
99,ShippingData.csv,Missing,0.2,Discount_offered,SVC,0.6009,0.4991,1.0,0.6009,0.7507
100,ShippingData.csv,Missing,0.2,Discount_offered,DummyClassifier,0.6009,0.5,1.0,0.6009,0.7507
101,ShippingData.csv,Missing,0.2,Discount_offered,GaussianProcessClassifier,0.4509,0.5,0.177,0.661,0.2792
102,ShippingData.csv,Missing,0.4,Discount_offered,GaussianNB,0.6582,0.7058,0.4758,0.9142,0.6259
103,ShippingData.csv,Missing,0.4,Discount_offered,QuadraticDiscriminantAnalysis,0.6568,0.711,0.4909,0.8878,0.6322
104,ShippingData.csv,Missing,0.4,Discount_offered,AdaBoostClassifier,0.6532,0.718,0.4939,0.8742,0.6312
105,ShippingData.csv,Missing,0.4,Discount_offered,GradientBoostingClassifier,0.6568,0.7231,0.5212,0.8496,0.646
106,ShippingData.csv,Missing,0.4,Discount_offered,ExtraTreesClassifier,0.65,0.7268,0.6059,0.7629,0.6754
