",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
0,breast-cancer-augmented.csv,NULL,0.0,NULL,AdaBoostClassifier,0.99,0.3591,0.9831,0.9915,0.9872
1,breast-cancer-augmented.csv,NULL,0.0,NULL,ExtraTreesClassifier,0.9967,0.4537,1.0,0.9916,0.9958
2,breast-cancer-augmented.csv,NULL,0.0,NULL,GradientBoostingClassifier,0.9967,0.3924,1.0,0.9916,0.9958
3,breast-cancer-augmented.csv,NULL,0.0,NULL,RandomForestClassifier,0.9867,0.4497,0.9746,0.9914,0.9829
4,breast-cancer-augmented.csv,NULL,0.0,NULL,QuadraticDiscriminantAnalysis,0.9533,0.519,0.9322,0.9483,0.9402
5,breast-cancer-augmented.csv,NULL,0.0,NULL,LinearDiscriminantAnalysis,0.9467,0.4273,0.8729,0.9904,0.9279
6,breast-cancer-augmented.csv,NULL,0.0,NULL,RidgeClassifier,0.94,,0.8475,1.0,0.9174
7,breast-cancer-augmented.csv,NULL,0.0,NULL,DecisionTreeClassifier,0.9833,0.5,0.9831,0.9748,0.9789
8,breast-cancer-augmented.csv,NULL,0.0,NULL,LogisticRegression,0.92,0.8201,0.8729,0.9196,0.8957
9,breast-cancer-augmented.csv,NULL,0.0,NULL,SVC,0.9,0.7716,0.7458,1.0,0.8544
10,breast-cancer-augmented.csv,NULL,0.0,NULL,GaussianProcessClassifier,0.9,0.479,0.7458,1.0,0.8544
11,breast-cancer-augmented.csv,NULL,0.0,NULL,CatBoostClassifier,0.9967,0.4666,1.0,0.9916,0.9958
12,breast-cancer-augmented.csv,NULL,0.0,NULL,KNeighborsClassifier,0.89,0.3231,0.7542,0.957,0.8436
13,breast-cancer-augmented.csv,NULL,0.0,NULL,GaussianNB,0.6067,0.1365,0.0,0.0,0.0
14,breast-cancer-augmented.csv,NULL,0.0,NULL,DummyClassifier,0.6067,0.5,0.0,0.0,0.0
15,breast-cancer-augmented.csv,NULL,0.0,NULL,SGDClassifier,0.6067,,0.0,0.0,0.0
16,breast-cancer-augmented.csv,NULL,0.0,NULL,MLPClassifier,0.7167,0.4915,0.4237,0.7463,0.5405
