",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
0,citrus.csv,NULL,0.0,NULL,LogisticRegression,1.0,0.5087,1.0,1.0,1.0
1,citrus.csv,NULL,0.0,NULL,RandomForestClassifier,1.0,0.5037,1.0,1.0,1.0
2,citrus.csv,NULL,0.0,NULL,KNeighborsClassifier,1.0,0.5,1.0,1.0,1.0
3,citrus.csv,NULL,0.0,NULL,ExtraTreesClassifier,1.0,0.5153,1.0,1.0,1.0
4,citrus.csv,NULL,0.0,NULL,CatBoostClassifier,1.0,0.7725,1.0,1.0,1.0
5,citrus.csv,NULL,0.0,NULL,MLPClassifier,1.0,0.5266,1.0,1.0,1.0
6,citrus.csv,NULL,0.0,NULL,GaussianProcessClassifier,1.0,0.5056,1.0,1.0,1.0
7,citrus.csv,NULL,0.0,NULL,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
8,citrus.csv,NULL,0.0,NULL,AdaBoostClassifier,1.0,0.5,1.0,1.0,1.0
9,citrus.csv,NULL,0.0,NULL,GradientBoostingClassifier,1.0,0.5,1.0,1.0,1.0
10,citrus.csv,NULL,0.0,NULL,RidgeClassifier,1.0,,1.0,1.0,1.0
11,citrus.csv,NULL,0.0,NULL,LinearDiscriminantAnalysis,1.0,0.5011,1.0,1.0,1.0
12,citrus.csv,NULL,0.0,NULL,QuadraticDiscriminantAnalysis,1.0,0.5016,1.0,1.0,1.0
13,citrus.csv,NULL,0.0,NULL,GaussianNB,0.946,0.4833,0.9504,0.9449,0.9476
14,citrus.csv,NULL,0.0,NULL,SGDClassifier,1.0,,1.0,1.0,1.0
15,citrus.csv,NULL,0.0,NULL,SVC,0.514,0.2961,0.0545,1.0,0.1033
16,citrus.csv,NULL,0.0,NULL,DummyClassifier,0.486,0.5,0.0,0.0,0.0
17,citrus.csv,Missing,0.2,diameter,LogisticRegression,1.0,0.5033,1.0,1.0,1.0
18,citrus.csv,Missing,0.2,diameter,RandomForestClassifier,1.0,0.4934,1.0,1.0,1.0
