",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
0,diabetes_data_upload.csv,NULL,0.0,NULL,RandomForestClassifier,0.9327,0.5158,0.9437,0.9571,0.9504
1,diabetes_data_upload.csv,NULL,0.0,NULL,ExtraTreesClassifier,0.9519,0.4738,0.9718,0.9583,0.965
2,diabetes_data_upload.csv,NULL,0.0,NULL,DecisionTreeClassifier,0.9327,0.4859,0.9437,0.9571,0.9504
3,diabetes_data_upload.csv,NULL,0.0,NULL,CatBoostClassifier,0.9135,0.6594,0.9155,0.9559,0.9353
4,diabetes_data_upload.csv,NULL,0.0,NULL,GradientBoostingClassifier,0.9231,0.7804,0.9437,0.9437,0.9437
5,diabetes_data_upload.csv,NULL,0.0,NULL,SVC,0.9135,0.7582,0.8873,0.9844,0.9333
6,diabetes_data_upload.csv,NULL,0.0,NULL,GaussianProcessClassifier,0.9231,0.35,0.9014,0.9846,0.9412
7,diabetes_data_upload.csv,NULL,0.0,NULL,LogisticRegression,0.8462,0.796,0.8592,0.9104,0.8841
8,diabetes_data_upload.csv,NULL,0.0,NULL,MLPClassifier,0.8462,0.8124,0.8592,0.9104,0.8841
9,diabetes_data_upload.csv,NULL,0.0,NULL,AdaBoostClassifier,0.8654,0.767,0.8451,0.9524,0.8955
10,diabetes_data_upload.csv,NULL,0.0,NULL,RidgeClassifier,0.8077,,0.8028,0.9048,0.8507
11,diabetes_data_upload.csv,NULL,0.0,NULL,LinearDiscriminantAnalysis,0.8077,0.7093,0.8028,0.9048,0.8507
12,diabetes_data_upload.csv,NULL,0.0,NULL,GaussianNB,0.8173,0.6455,0.8451,0.8824,0.8633
13,diabetes_data_upload.csv,NULL,0.0,NULL,KNeighborsClassifier,0.8173,0.4379,0.7606,0.9643,0.8504
14,diabetes_data_upload.csv,NULL,0.0,NULL,SGDClassifier,0.8558,,0.9155,0.8784,0.8966
15,diabetes_data_upload.csv,NULL,0.0,NULL,QuadraticDiscriminantAnalysis,0.6538,0.5228,0.9437,0.6768,0.7882
16,diabetes_data_upload.csv,NULL,0.0,NULL,DummyClassifier,0.6827,0.5,1.0,0.6827,0.8114
17,diabetes_data_upload.csv,Missing,0.2,Age,CatBoostClassifier,0.9135,0.6778,0.9155,0.9559,0.9353
18,diabetes_data_upload.csv,Missing,0.2,Age,RandomForestClassifier,0.9327,0.5305,0.9437,0.9571,0.9504
19,diabetes_data_upload.csv,Missing,0.2,Age,ExtraTreesClassifier,0.9519,0.4571,0.9718,0.9583,0.965
20,diabetes_data_upload.csv,Missing,0.2,Age,GradientBoostingClassifier,0.9231,0.7981,0.9437,0.9437,0.9437
21,diabetes_data_upload.csv,Missing,0.2,Age,DecisionTreeClassifier,0.9327,0.4866,0.9437,0.9571,0.9504
22,diabetes_data_upload.csv,Missing,0.2,Age,GaussianProcessClassifier,0.9135,0.3871,0.8873,0.9844,0.9333
23,diabetes_data_upload.csv,Missing,0.2,Age,SVC,0.9038,0.755,0.8873,0.9692,0.9265
24,diabetes_data_upload.csv,Missing,0.2,Age,LogisticRegression,0.8269,0.7926,0.831,0.9077,0.8676
25,diabetes_data_upload.csv,Missing,0.2,Age,MLPClassifier,0.8558,0.8152,0.8592,0.9242,0.8905
26,diabetes_data_upload.csv,Missing,0.2,Age,RidgeClassifier,0.8077,,0.8028,0.9048,0.8507
27,diabetes_data_upload.csv,Missing,0.2,Age,LinearDiscriminantAnalysis,0.8077,0.7132,0.8028,0.9048,0.8507
28,diabetes_data_upload.csv,Missing,0.2,Age,GaussianNB,0.8173,0.6402,0.8451,0.8824,0.8633
29,diabetes_data_upload.csv,Missing,0.2,Age,AdaBoostClassifier,0.8558,0.7766,0.8732,0.9118,0.8921
30,diabetes_data_upload.csv,Missing,0.2,Age,KNeighborsClassifier,0.8077,0.4863,0.7606,0.9474,0.8438
31,diabetes_data_upload.csv,Missing,0.2,Age,SGDClassifier,0.5,,0.2676,1.0,0.4222
32,diabetes_data_upload.csv,Missing,0.2,Age,QuadraticDiscriminantAnalysis,0.7788,0.5,0.7465,0.9138,0.8217
33,diabetes_data_upload.csv,Missing,0.2,Age,DummyClassifier,0.6827,0.5,1.0,0.6827,0.8114
34,diabetes_data_upload.csv,Missing,0.4,Age,RandomForestClassifier,0.9423,0.5472,0.9718,0.9452,0.9583
35,diabetes_data_upload.csv,Missing,0.4,Age,ExtraTreesClassifier,0.9519,0.4842,0.9718,0.9583,0.965
36,diabetes_data_upload.csv,Missing,0.4,Age,CatBoostClassifier,0.9135,0.6671,0.9296,0.9429,0.9362
37,diabetes_data_upload.csv,Missing,0.4,Age,GradientBoostingClassifier,0.9231,0.7853,0.9437,0.9437,0.9437
38,diabetes_data_upload.csv,Missing,0.4,Age,DecisionTreeClassifier,0.9135,0.5011,0.9155,0.9559,0.9353
39,diabetes_data_upload.csv,Missing,0.4,Age,MLPClassifier,0.8654,0.8028,0.8873,0.913,0.9
40,diabetes_data_upload.csv,Missing,0.4,Age,GaussianProcessClassifier,0.8558,0.3308,0.8169,0.9667,0.8855
41,diabetes_data_upload.csv,Missing,0.4,Age,LogisticRegression,0.8269,0.7857,0.831,0.9077,0.8676
42,diabetes_data_upload.csv,Missing,0.4,Age,RidgeClassifier,0.8077,,0.8028,0.9048,0.8507
43,diabetes_data_upload.csv,Missing,0.4,Age,LinearDiscriminantAnalysis,0.8077,0.713,0.8028,0.9048,0.8507
44,diabetes_data_upload.csv,Missing,0.4,Age,GaussianNB,0.8173,0.6532,0.8451,0.8824,0.8633
45,diabetes_data_upload.csv,Missing,0.4,Age,SVC,0.875,0.6752,0.8873,0.9265,0.9065
