",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
0,heart_failure_clinical_records.csv,NULL,0.0,NULL,RandomForestClassifier,0.995,0.4827,0.9876,0.9969,0.9922
1,heart_failure_clinical_records.csv,NULL,0.0,NULL,ExtraTreesClassifier,0.99,0.4948,0.9783,0.9906,0.9844
2,heart_failure_clinical_records.csv,NULL,0.0,NULL,CatBoostClassifier,0.995,0.3651,0.9876,0.9969,0.9922
3,heart_failure_clinical_records.csv,NULL,0.0,NULL,DecisionTreeClassifier,0.992,0.5022,0.9783,0.9968,0.9875
4,heart_failure_clinical_records.csv,NULL,0.0,NULL,GradientBoostingClassifier,0.979,0.3066,0.9596,0.9748,0.9671
5,heart_failure_clinical_records.csv,NULL,0.0,NULL,GaussianProcessClassifier,0.958,0.5561,0.8727,0.9965,0.9305
6,heart_failure_clinical_records.csv,NULL,0.0,NULL,SVC,0.951,0.8605,0.8478,1.0,0.9176
7,heart_failure_clinical_records.csv,NULL,0.0,NULL,KNeighborsClassifier,0.938,0.513,0.9193,0.8916,0.9052
8,heart_failure_clinical_records.csv,NULL,0.0,NULL,AdaBoostClassifier,0.933,0.4055,0.8696,0.918,0.8931
9,heart_failure_clinical_records.csv,NULL,0.0,NULL,RidgeClassifier,0.834,,0.6801,0.7766,0.7252
10,heart_failure_clinical_records.csv,NULL,0.0,NULL,LinearDiscriminantAnalysis,0.829,0.2963,0.6832,0.7612,0.7201
11,heart_failure_clinical_records.csv,NULL,0.0,NULL,LogisticRegression,0.825,0.2925,0.6739,0.7561,0.7126
12,heart_failure_clinical_records.csv,NULL,0.0,NULL,QuadraticDiscriminantAnalysis,0.817,0.2368,0.5621,0.8117,0.6642
13,heart_failure_clinical_records.csv,NULL,0.0,NULL,GaussianNB,0.815,0.2357,0.5155,0.8513,0.6422
14,heart_failure_clinical_records.csv,NULL,0.0,NULL,DummyClassifier,0.678,0.5,0.0,0.0,0.0
15,heart_failure_clinical_records.csv,NULL,0.0,NULL,SGDClassifier,0.684,,0.0528,0.6071,0.0971
16,heart_failure_clinical_records.csv,NULL,0.0,NULL,MLPClassifier,0.685,0.4914,0.0497,0.64,0.0922
17,heart_failure_clinical_records.csv,Missing,0.2,ejection_fraction,RandomForestClassifier,0.995,0.4909,0.9876,0.9969,0.9922
18,heart_failure_clinical_records.csv,Missing,0.2,ejection_fraction,CatBoostClassifier,0.994,0.3862,0.9876,0.9938,0.9907
19,heart_failure_clinical_records.csv,Missing,0.2,ejection_fraction,ExtraTreesClassifier,0.991,0.5028,0.9783,0.9937,0.9859
