",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
0,hypertension_data.csv,Outlier,0.2,trestbps,RandomForestClassifier,1.0,0.5094,1.0,1.0,1.0
1,hypertension_data.csv,Outlier,0.2,trestbps,ExtraTreesClassifier,1.0,0.4991,1.0,1.0,1.0
2,hypertension_data.csv,Outlier,0.2,trestbps,CatBoostClassifier,1.0,0.4684,1.0,1.0,1.0
3,hypertension_data.csv,Outlier,0.2,trestbps,DecisionTreeClassifier,0.9998,0.5,1.0,0.9996,0.9998
4,hypertension_data.csv,Outlier,0.2,trestbps,GradientBoostingClassifier,0.9843,0.4496,1.0,0.9719,0.9858
5,hypertension_data.csv,Outlier,0.2,trestbps,KNeighborsClassifier,0.9927,0.5043,0.9926,0.994,0.9933
6,hypertension_data.csv,Outlier,0.2,trestbps,AdaBoostClassifier,0.8919,0.462,0.9028,0.899,0.9009
7,hypertension_data.csv,Outlier,0.2,trestbps,MLPClassifier,0.7936,0.7643,0.9496,0.7427,0.8335
8,hypertension_data.csv,Outlier,0.2,trestbps,QuadraticDiscriminantAnalysis,0.8526,0.3374,0.8764,0.8562,0.8661
9,hypertension_data.csv,Outlier,0.2,trestbps,LogisticRegression,0.8442,0.4113,0.9003,0.8283,0.8628
10,hypertension_data.csv,Outlier,0.2,trestbps,RidgeClassifier,0.8399,,0.9081,0.8179,0.8606
11,hypertension_data.csv,Outlier,0.2,trestbps,LinearDiscriminantAnalysis,0.8396,0.4801,0.9074,0.8178,0.8602
12,hypertension_data.csv,Outlier,0.2,trestbps,GaussianNB,0.8352,0.3773,0.8626,0.839,0.8506
13,hypertension_data.csv,Outlier,0.2,trestbps,SGDClassifier,0.8315,,0.8848,0.8198,0.8511
14,hypertension_data.csv,Outlier,0.2,trestbps,DummyClassifier,0.5442,0.5,1.0,0.5442,0.7048
15,hypertension_data.csv,Outlier,0.4,trestbps,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
16,hypertension_data.csv,Outlier,0.4,trestbps,RandomForestClassifier,1.0,0.5115,1.0,1.0,1.0
17,hypertension_data.csv,Outlier,0.4,trestbps,ExtraTreesClassifier,1.0,0.4944,1.0,1.0,1.0
18,hypertension_data.csv,Outlier,0.4,trestbps,CatBoostClassifier,1.0,0.4689,1.0,1.0,1.0
19,hypertension_data.csv,Outlier,0.4,trestbps,GradientBoostingClassifier,0.9785,0.4554,1.0,0.962,0.9807
20,hypertension_data.csv,Outlier,0.4,trestbps,AdaBoostClassifier,0.898,0.4403,0.8905,0.9196,0.9048
21,hypertension_data.csv,Outlier,0.4,trestbps,KNeighborsClassifier,0.9847,0.5032,0.9849,0.9869,0.9859
22,hypertension_data.csv,Outlier,0.4,trestbps,QuadraticDiscriminantAnalysis,0.8503,0.3315,0.8693,0.8575,0.8634
23,hypertension_data.csv,Outlier,0.4,trestbps,LogisticRegression,0.8438,0.4096,0.8996,0.8281,0.8624
24,hypertension_data.csv,Outlier,0.4,trestbps,RidgeClassifier,0.8394,,0.9063,0.8181,0.86
25,hypertension_data.csv,Outlier,0.4,trestbps,LinearDiscriminantAnalysis,0.8392,0.4784,0.906,0.8181,0.8598
26,hypertension_data.csv,Outlier,0.4,trestbps,GaussianNB,0.8348,0.3724,0.8616,0.8391,0.8502
27,hypertension_data.csv,Outlier,0.4,trestbps,MLPClassifier,0.7487,0.1517,0.5801,0.9326,0.7153
28,hypertension_data.csv,Outlier,0.4,trestbps,SGDClassifier,0.8353,,0.8499,0.8479,0.8489
29,hypertension_data.csv,Outlier,0.4,trestbps,DummyClassifier,0.5442,0.5,1.0,0.5442,0.7048
30,hypertension_data.csv,Outlier,0.6,trestbps,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
31,hypertension_data.csv,Outlier,0.6,trestbps,RandomForestClassifier,1.0,0.5047,1.0,1.0,1.0
32,hypertension_data.csv,Outlier,0.6,trestbps,ExtraTreesClassifier,1.0,0.5036,1.0,1.0,1.0
33,hypertension_data.csv,Outlier,0.6,trestbps,CatBoostClassifier,1.0,0.4644,1.0,1.0,1.0
34,hypertension_data.csv,Outlier,0.6,trestbps,GradientBoostingClassifier,0.9826,0.4609,0.9944,0.9741,0.9841
35,hypertension_data.csv,Outlier,0.6,trestbps,AdaBoostClassifier,0.9015,0.4448,0.9045,0.9136,0.909
36,hypertension_data.csv,Outlier,0.6,trestbps,QuadraticDiscriminantAnalysis,0.8505,0.3341,0.8707,0.8568,0.8637
37,hypertension_data.csv,Outlier,0.6,trestbps,LogisticRegression,0.8444,0.4126,0.9007,0.8283,0.863
38,hypertension_data.csv,Outlier,0.6,trestbps,RidgeClassifier,0.8396,,0.9081,0.8174,0.8603
39,hypertension_data.csv,Outlier,0.6,trestbps,LinearDiscriminantAnalysis,0.8394,0.4812,0.9077,0.8173,0.8601
40,hypertension_data.csv,Outlier,0.6,trestbps,KNeighborsClassifier,0.964,0.5252,0.9708,0.9633,0.967
41,hypertension_data.csv,Outlier,0.6,trestbps,GaussianNB,0.835,0.3749,0.8623,0.8389,0.8504
42,hypertension_data.csv,Outlier,0.6,trestbps,MLPClassifier,0.8231,0.6536,0.9412,0.7795,0.8527
43,hypertension_data.csv,Outlier,0.6,trestbps,SGDClassifier,0.8191,,0.9193,0.785,0.8469
44,hypertension_data.csv,Outlier,0.6,trestbps,DummyClassifier,0.5442,0.5,1.0,0.5442,0.7048
45,hypertension_data.csv,Outlier,0.8,trestbps,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
