",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
0,loan_approval.csv,NULL,0.0,NULL,CatBoostClassifier,0.9789,0.357,0.9756,0.9905,0.983
1,loan_approval.csv,NULL,0.0,NULL,GradientBoostingClassifier,0.9789,0.6147,0.9756,0.9905,0.983
2,loan_approval.csv,NULL,0.0,NULL,DecisionTreeClassifier,0.9754,0.5,0.97,0.9904,0.9801
3,loan_approval.csv,NULL,0.0,NULL,RandomForestClassifier,0.9778,0.6225,0.9737,0.9905,0.982
4,loan_approval.csv,NULL,0.0,NULL,AdaBoostClassifier,0.9707,0.6016,0.97,0.9829,0.9764
5,loan_approval.csv,NULL,0.0,NULL,ExtraTreesClassifier,0.959,0.7115,0.9644,0.9698,0.9671
6,loan_approval.csv,NULL,0.0,NULL,QuadraticDiscriminantAnalysis,0.9286,0.7934,0.9306,0.9538,0.9421
7,loan_approval.csv,NULL,0.0,NULL,RidgeClassifier,0.918,,0.9062,0.9602,0.9324
8,loan_approval.csv,NULL,0.0,NULL,LinearDiscriminantAnalysis,0.9169,0.6534,0.9043,0.9602,0.9314
9,loan_approval.csv,NULL,0.0,NULL,LogisticRegression,0.8068,0.7498,0.9174,0.8016,0.8556
10,loan_approval.csv,NULL,0.0,NULL,GaussianNB,0.7412,0.9418,0.9587,0.7197,0.8222
11,loan_approval.csv,NULL,0.0,NULL,SVC,0.6241,0.5,1.0,0.6241,0.7686
12,loan_approval.csv,NULL,0.0,NULL,DummyClassifier,0.6241,0.5,1.0,0.6241,0.7686
13,loan_approval.csv,NULL,0.0,NULL,KNeighborsClassifier,0.5433,0.4985,0.7073,0.617,0.6591
14,loan_approval.csv,NULL,0.0,NULL,MLPClassifier,0.5948,0.5031,0.8968,0.6216,0.7343
15,loan_approval.csv,NULL,0.0,NULL,SGDClassifier,0.6206,,0.9925,0.6231,0.7656
16,loan_approval.csv,NULL,0.0,NULL,GaussianProcessClassifier,0.3759,0.5,0.0,0.0,0.0
17,loan_approval.csv,Missing,0.2, no_of_dependents,CatBoostClassifier,0.9801,0.3411,0.9794,0.9886,0.984
18,loan_approval.csv,Missing,0.2, no_of_dependents,GradientBoostingClassifier,0.9859,0.6618,0.9869,0.9906,0.9887
19,loan_approval.csv,Missing,0.2, no_of_dependents,RandomForestClassifier,0.9824,0.6349,0.9794,0.9924,0.9858
20,loan_approval.csv,Missing,0.2, no_of_dependents,DecisionTreeClassifier,0.9742,0.5,0.9681,0.9904,0.9791
21,loan_approval.csv,Missing,0.2, no_of_dependents,AdaBoostClassifier,0.9766,0.5131,0.9737,0.9886,0.9811
22,loan_approval.csv,Missing,0.2, no_of_dependents,ExtraTreesClassifier,0.9567,0.7111,0.955,0.9751,0.9649
23,loan_approval.csv,Missing,0.2, no_of_dependents,QuadraticDiscriminantAnalysis,0.9321,0.7964,0.9343,0.9559,0.945
24,loan_approval.csv,Missing,0.2, no_of_dependents,RidgeClassifier,0.9157,,0.9043,0.9583,0.9305
25,loan_approval.csv,Missing,0.2, no_of_dependents,LinearDiscriminantAnalysis,0.9169,0.6535,0.9043,0.9602,0.9314
26,loan_approval.csv,Missing,0.2, no_of_dependents,LogisticRegression,0.8138,0.7176,0.9212,0.8076,0.8606
27,loan_approval.csv,Missing,0.2, no_of_dependents,GaussianNB,0.7412,0.9418,0.9587,0.7197,0.8222
28,loan_approval.csv,Missing,0.2, no_of_dependents,SVC,0.6241,0.5,1.0,0.6241,0.7686
29,loan_approval.csv,Missing,0.2, no_of_dependents,DummyClassifier,0.6241,0.5,1.0,0.6241,0.7686
30,loan_approval.csv,Missing,0.2, no_of_dependents,KNeighborsClassifier,0.5433,0.4985,0.7073,0.617,0.6591
31,loan_approval.csv,Missing,0.2, no_of_dependents,MLPClassifier,0.5445,0.4991,0.7261,0.6143,0.6655
32,loan_approval.csv,Missing,0.2, no_of_dependents,SGDClassifier,0.6206,,0.9925,0.6231,0.7656
33,loan_approval.csv,Missing,0.2, no_of_dependents,GaussianProcessClassifier,0.3759,0.5,0.0,0.0,0.0
34,loan_approval.csv,Missing,0.4, no_of_dependents,CatBoostClassifier,0.9813,0.3602,0.9812,0.9887,0.9849
35,loan_approval.csv,Missing,0.4, no_of_dependents,GradientBoostingClassifier,0.9813,0.6556,0.9794,0.9905,0.9849
36,loan_approval.csv,Missing,0.4, no_of_dependents,RandomForestClassifier,0.9766,0.6442,0.97,0.9923,0.981
37,loan_approval.csv,Missing,0.4, no_of_dependents,DecisionTreeClassifier,0.9707,0.5,0.9662,0.9866,0.9763
38,loan_approval.csv,Missing,0.4, no_of_dependents,AdaBoostClassifier,0.9707,0.5206,0.9681,0.9847,0.9763
39,loan_approval.csv,Missing,0.4, no_of_dependents,ExtraTreesClassifier,0.9578,0.7162,0.9625,0.9698,0.9661
40,loan_approval.csv,Missing,0.4, no_of_dependents,QuadraticDiscriminantAnalysis,0.9321,0.7963,0.9325,0.9576,0.9449
41,loan_approval.csv,Missing,0.4, no_of_dependents,RidgeClassifier,0.9192,,0.9099,0.9585,0.9336
42,loan_approval.csv,Missing,0.4, no_of_dependents,LinearDiscriminantAnalysis,0.9145,0.6534,0.9024,0.9582,0.9295
43,loan_approval.csv,Missing,0.4, no_of_dependents,LogisticRegression,0.8068,0.7494,0.9174,0.8016,0.8556
44,loan_approval.csv,Missing,0.4, no_of_dependents,GaussianNB,0.7412,0.9418,0.9587,0.7197,0.8222
45,loan_approval.csv,Missing,0.4, no_of_dependents,SVC,0.6241,0.5,1.0,0.6241,0.7686
46,loan_approval.csv,Missing,0.4, no_of_dependents,DummyClassifier,0.6241,0.5,1.0,0.6241,0.7686
47,loan_approval.csv,Missing,0.4, no_of_dependents,KNeighborsClassifier,0.5433,0.4985,0.7073,0.617,0.6591
48,loan_approval.csv,Missing,0.4, no_of_dependents,MLPClassifier,0.5094,0.5031,0.6041,0.6075,0.6058
49,loan_approval.csv,Missing,0.4, no_of_dependents,SGDClassifier,0.6206,,0.9925,0.6231,0.7656
50,loan_approval.csv,Missing,0.4, no_of_dependents,GaussianProcessClassifier,0.3759,0.5,0.0,0.0,0.0
51,loan_approval.csv,Missing,0.6, no_of_dependents,CatBoostClassifier,0.9859,0.35,0.9869,0.9906,0.9887
52,loan_approval.csv,Missing,0.6, no_of_dependents,GradientBoostingClassifier,0.9778,0.6649,0.9756,0.9886,0.9821
53,loan_approval.csv,Missing,0.6, no_of_dependents,DecisionTreeClassifier,0.9707,0.5,0.9644,0.9885,0.9763
54,loan_approval.csv,Missing,0.6, no_of_dependents,RandomForestClassifier,0.9742,0.6229,0.9681,0.9904,0.9791
55,loan_approval.csv,Missing,0.6, no_of_dependents,AdaBoostClassifier,0.9731,0.5794,0.9719,0.9848,0.9783
56,loan_approval.csv,Missing,0.6, no_of_dependents,ExtraTreesClassifier,0.9602,0.7234,0.9644,0.9716,0.968
57,loan_approval.csv,Missing,0.6, no_of_dependents,QuadraticDiscriminantAnalysis,0.9309,0.7959,0.9343,0.954,0.9441
58,loan_approval.csv,Missing,0.6, no_of_dependents,LinearDiscriminantAnalysis,0.9204,0.6538,0.9118,0.9586,0.9346
59,loan_approval.csv,Missing,0.6, no_of_dependents,RidgeClassifier,0.9204,,0.9118,0.9586,0.9346
60,loan_approval.csv,Missing,0.6, no_of_dependents,LogisticRegression,0.8068,0.7491,0.9174,0.8016,0.8556
61,loan_approval.csv,Missing,0.6, no_of_dependents,GaussianNB,0.7412,0.9418,0.9587,0.7197,0.8222
62,loan_approval.csv,Missing,0.6, no_of_dependents,SVC,0.6241,0.5,1.0,0.6241,0.7686
63,loan_approval.csv,Missing,0.6, no_of_dependents,DummyClassifier,0.6241,0.5,1.0,0.6241,0.7686
64,loan_approval.csv,Missing,0.6, no_of_dependents,KNeighborsClassifier,0.5433,0.4985,0.7073,0.617,0.6591
65,loan_approval.csv,Missing,0.6, no_of_dependents,MLPClassifier,0.5468,0.5,0.7242,0.6166,0.6661
66,loan_approval.csv,Missing,0.6, no_of_dependents,SGDClassifier,0.6206,,0.9925,0.6231,0.7656
67,loan_approval.csv,Missing,0.6, no_of_dependents,GaussianProcessClassifier,0.3759,0.5,0.0,0.0,0.0
68,loan_approval.csv,Missing,0.8, no_of_dependents,CatBoostClassifier,0.9859,0.3404,0.9869,0.9906,0.9887
69,loan_approval.csv,Missing,0.8, no_of_dependents,RandomForestClassifier,0.9778,0.6781,0.9737,0.9905,0.982
70,loan_approval.csv,Missing,0.8, no_of_dependents,GradientBoostingClassifier,0.9824,0.6629,0.9812,0.9905,0.9859
71,loan_approval.csv,Missing,0.8, no_of_dependents,DecisionTreeClassifier,0.9742,0.5,0.97,0.9885,0.9792
72,loan_approval.csv,Missing,0.8, no_of_dependents,AdaBoostClassifier,0.9672,0.6053,0.9737,0.9737,0.9737
73,loan_approval.csv,Missing,0.8, no_of_dependents,ExtraTreesClassifier,0.9496,0.7545,0.9606,0.9588,0.9597
74,loan_approval.csv,Missing,0.8, no_of_dependents,QuadraticDiscriminantAnalysis,0.9169,0.8303,0.9456,0.9231,0.9342
75,loan_approval.csv,Missing,0.8, no_of_dependents,LinearDiscriminantAnalysis,0.9204,0.6541,0.9118,0.9586,0.9346
76,loan_approval.csv,Missing,0.8, no_of_dependents,RidgeClassifier,0.9215,,0.9137,0.9587,0.9356
77,loan_approval.csv,Missing,0.8, no_of_dependents,LogisticRegression,0.8068,0.7492,0.9174,0.8016,0.8556
78,loan_approval.csv,Missing,0.8, no_of_dependents,GaussianNB,0.7412,0.9418,0.9587,0.7197,0.8222
79,loan_approval.csv,Missing,0.8, no_of_dependents,SVC,0.6241,0.5,1.0,0.6241,0.7686
80,loan_approval.csv,Missing,0.8, no_of_dependents,DummyClassifier,0.6241,0.5,1.0,0.6241,0.7686
81,loan_approval.csv,Missing,0.8, no_of_dependents,KNeighborsClassifier,0.5433,0.4985,0.7073,0.617,0.6591
82,loan_approval.csv,Missing,0.8, no_of_dependents,MLPClassifier,0.5749,0.5,0.8236,0.6201,0.7075
83,loan_approval.csv,Missing,0.8, no_of_dependents,SGDClassifier,0.6206,,0.9925,0.6231,0.7656
84,loan_approval.csv,Missing,0.8, no_of_dependents,GaussianProcessClassifier,0.3759,0.5,0.0,0.0,0.0
85,loan_approval.csv,Missing,0.2, income_annum,RandomForestClassifier,0.9742,0.6382,0.9644,0.9942,0.979
86,loan_approval.csv,Missing,0.2, income_annum,CatBoostClassifier,0.9789,0.3499,0.9812,0.9849,0.9831
87,loan_approval.csv,Missing,0.2, income_annum,GradientBoostingClassifier,0.9754,0.7281,0.9719,0.9885,0.9801
88,loan_approval.csv,Missing,0.2, income_annum,DecisionTreeClassifier,0.9707,0.5,0.9719,0.9811,0.9764
89,loan_approval.csv,Missing,0.2, income_annum,AdaBoostClassifier,0.9684,0.3994,0.9681,0.981,0.9745
90,loan_approval.csv,Missing,0.2, income_annum,ExtraTreesClassifier,0.9555,0.7101,0.955,0.9732,0.964
91,loan_approval.csv,Missing,0.2, income_annum,QuadraticDiscriminantAnalysis,0.9215,0.7992,0.9287,0.9447,0.9366
92,loan_approval.csv,Missing,0.2, income_annum,RidgeClassifier,0.9204,,0.9099,0.9604,0.9345
93,loan_approval.csv,Missing,0.2, income_annum,LinearDiscriminantAnalysis,0.9169,0.6513,0.9043,0.9602,0.9314
94,loan_approval.csv,Missing,0.2, income_annum,LogisticRegression,0.8009,0.7435,0.9118,0.798,0.8511
95,loan_approval.csv,Missing,0.2, income_annum,GaussianNB,0.7412,0.9429,0.9644,0.7179,0.8231
96,loan_approval.csv,Missing,0.2, income_annum,SVC,0.6241,0.5,1.0,0.6241,0.7686
97,loan_approval.csv,Missing,0.2, income_annum,DummyClassifier,0.6241,0.5,1.0,0.6241,0.7686
98,loan_approval.csv,Missing,0.2, income_annum,KNeighborsClassifier,0.5515,0.495,0.7186,0.6218,0.6667
99,loan_approval.csv,Missing,0.2, income_annum,SGDClassifier,0.4063,,0.2101,0.5657,0.3064
100,loan_approval.csv,Missing,0.2, income_annum,MLPClassifier,0.5141,0.5,0.531,0.6317,0.577
101,loan_approval.csv,Missing,0.2, income_annum,GaussianProcessClassifier,0.3759,0.5,0.0,0.0,0.0
102,loan_approval.csv,Missing,0.4, income_annum,GradientBoostingClassifier,0.9719,0.6302,0.97,0.9848,0.9773
103,loan_approval.csv,Missing,0.4, income_annum,CatBoostClassifier,0.9742,0.3863,0.9775,0.9812,0.9793
104,loan_approval.csv,Missing,0.4, income_annum,RandomForestClassifier,0.9766,0.6558,0.97,0.9923,0.981
105,loan_approval.csv,Missing,0.4, income_annum,DecisionTreeClassifier,0.9707,0.5,0.9756,0.9774,0.9765
106,loan_approval.csv,Missing,0.4, income_annum,AdaBoostClassifier,0.9672,0.5354,0.97,0.9773,0.9736
107,loan_approval.csv,Missing,0.4, income_annum,ExtraTreesClassifier,0.959,0.7149,0.9625,0.9716,0.967
108,loan_approval.csv,Missing,0.4, income_annum,RidgeClassifier,0.9215,,0.9118,0.9605,0.9355
109,loan_approval.csv,Missing,0.4, income_annum,LinearDiscriminantAnalysis,0.9204,0.6507,0.9081,0.9622,0.9344
110,loan_approval.csv,Missing,0.4, income_annum,QuadraticDiscriminantAnalysis,0.9274,0.7972,0.9306,0.952,0.9412
111,loan_approval.csv,Missing,0.4, income_annum,LogisticRegression,0.8068,0.7239,0.9006,0.8108,0.8533
112,loan_approval.csv,Missing,0.4, income_annum,GaussianNB,0.7365,0.942,0.9644,0.7139,0.8204
113,loan_approval.csv,Missing,0.4, income_annum,SVC,0.6241,0.5,1.0,0.6241,0.7686
114,loan_approval.csv,Missing,0.4, income_annum,DummyClassifier,0.6241,0.5,1.0,0.6241,0.7686
115,loan_approval.csv,Missing,0.4, income_annum,KNeighborsClassifier,0.5621,0.5066,0.7336,0.6276,0.6765
116,loan_approval.csv,Missing,0.4, income_annum,MLPClassifier,0.6124,0.5,0.8311,0.6477,0.728
117,loan_approval.csv,Missing,0.4, income_annum,SGDClassifier,0.6241,,1.0,0.6241,0.7686
118,loan_approval.csv,Missing,0.4, income_annum,GaussianProcessClassifier,0.3759,0.5,0.0,0.0,0.0
119,loan_approval.csv,Missing,0.6, income_annum,CatBoostClassifier,0.9754,0.4363,0.9775,0.983,0.9802
120,loan_approval.csv,Missing,0.6, income_annum,GradientBoostingClassifier,0.9696,0.7145,0.9681,0.9829,0.9754
121,loan_approval.csv,Missing,0.6, income_annum,RandomForestClassifier,0.9754,0.6682,0.9681,0.9923,0.9801
122,loan_approval.csv,Missing,0.6, income_annum,AdaBoostClassifier,0.9672,0.4733,0.9625,0.9846,0.9734
123,loan_approval.csv,Missing,0.6, income_annum,DecisionTreeClassifier,0.9696,0.5,0.97,0.981,0.9755
124,loan_approval.csv,Missing,0.6, income_annum,ExtraTreesClassifier,0.9532,0.7132,0.955,0.9695,0.9622
125,loan_approval.csv,Missing,0.6, income_annum,QuadraticDiscriminantAnalysis,0.9274,0.7959,0.9325,0.9503,0.9413
126,loan_approval.csv,Missing,0.6, income_annum,LinearDiscriminantAnalysis,0.9204,0.6509,0.9081,0.9622,0.9344
127,loan_approval.csv,Missing,0.6, income_annum,RidgeClassifier,0.9215,,0.9118,0.9605,0.9355
128,loan_approval.csv,Missing,0.6, income_annum,LogisticRegression,0.7892,0.6923,0.8649,0.8102,0.8367
129,loan_approval.csv,Missing,0.6, income_annum,GaussianNB,0.7377,0.9459,0.9662,0.7143,0.8214
130,loan_approval.csv,Missing,0.6, income_annum,SVC,0.6241,0.5,1.0,0.6241,0.7686
131,loan_approval.csv,Missing,0.6, income_annum,DummyClassifier,0.6241,0.5,1.0,0.6241,0.7686
132,loan_approval.csv,Missing,0.6, income_annum,KNeighborsClassifier,0.5422,0.5155,0.7036,0.6168,0.6573
133,loan_approval.csv,Missing,0.6, income_annum,MLPClassifier,0.623,0.5,0.9831,0.626,0.765
