",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
0,penguins_binary_classification.csv,NULL,0.0,NULL,LogisticRegression,1.0,0.544,1.0,1.0,1.0
1,penguins_binary_classification.csv,NULL,0.0,NULL,GaussianNB,1.0,0.4833,1.0,1.0,1.0
2,penguins_binary_classification.csv,NULL,0.0,NULL,RidgeClassifier,1.0,,1.0,1.0,1.0
3,penguins_binary_classification.csv,NULL,0.0,NULL,LinearDiscriminantAnalysis,1.0,0.5,1.0,1.0,1.0
4,penguins_binary_classification.csv,NULL,0.0,NULL,RandomForestClassifier,1.0,0.5493,1.0,1.0,1.0
5,penguins_binary_classification.csv,NULL,0.0,NULL,ExtraTreesClassifier,1.0,0.5547,1.0,1.0,1.0
6,penguins_binary_classification.csv,NULL,0.0,NULL,CatBoostClassifier,1.0,0.3813,1.0,1.0,1.0
7,penguins_binary_classification.csv,NULL,0.0,NULL,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
8,penguins_binary_classification.csv,NULL,0.0,NULL,AdaBoostClassifier,1.0,0.5,1.0,1.0,1.0
9,penguins_binary_classification.csv,NULL,0.0,NULL,GradientBoostingClassifier,1.0,0.5,1.0,1.0,1.0
10,penguins_binary_classification.csv,NULL,0.0,NULL,KNeighborsClassifier,1.0,0.5187,1.0,1.0,1.0
11,penguins_binary_classification.csv,NULL,0.0,NULL,MLPClassifier,0.9273,0.5093,0.9333,0.9333,0.9333
12,penguins_binary_classification.csv,NULL,0.0,NULL,SGDClassifier,0.9273,,0.9,0.9643,0.931
13,penguins_binary_classification.csv,NULL,0.0,NULL,GaussianProcessClassifier,0.8727,0.5,0.8,0.96,0.8727
14,penguins_binary_classification.csv,NULL,0.0,NULL,SVC,0.5455,0.416,1.0,0.5455,0.7059
15,penguins_binary_classification.csv,NULL,0.0,NULL,DummyClassifier,0.5455,0.5,1.0,0.5455,0.7059
16,penguins_binary_classification.csv,Missing,0.2,bill_length_mm,LogisticRegression,1.0,0.544,1.0,1.0,1.0
17,penguins_binary_classification.csv,Missing,0.2,bill_length_mm,GaussianNB,1.0,0.4833,1.0,1.0,1.0
18,penguins_binary_classification.csv,Missing,0.2,bill_length_mm,RidgeClassifier,1.0,,1.0,1.0,1.0
19,penguins_binary_classification.csv,Missing,0.2,bill_length_mm,LinearDiscriminantAnalysis,1.0,0.5,1.0,1.0,1.0
20,penguins_binary_classification.csv,Missing,0.2,bill_length_mm,RandomForestClassifier,1.0,0.482,1.0,1.0,1.0
21,penguins_binary_classification.csv,Missing,0.2,bill_length_mm,ExtraTreesClassifier,1.0,0.5647,1.0,1.0,1.0
22,penguins_binary_classification.csv,Missing,0.2,bill_length_mm,CatBoostClassifier,1.0,0.3953,1.0,1.0,1.0
23,penguins_binary_classification.csv,Missing,0.2,bill_length_mm,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
24,penguins_binary_classification.csv,Missing,0.2,bill_length_mm,AdaBoostClassifier,1.0,0.5,1.0,1.0,1.0
25,penguins_binary_classification.csv,Missing,0.2,bill_length_mm,GradientBoostingClassifier,1.0,0.5,1.0,1.0,1.0
26,penguins_binary_classification.csv,Missing,0.2,bill_length_mm,KNeighborsClassifier,1.0,0.5187,1.0,1.0,1.0
27,penguins_binary_classification.csv,Missing,0.2,bill_length_mm,MLPClassifier,0.9273,0.5093,0.9333,0.9333,0.9333
28,penguins_binary_classification.csv,Missing,0.2,bill_length_mm,SGDClassifier,0.9273,,0.9,0.9643,0.931
29,penguins_binary_classification.csv,Missing,0.2,bill_length_mm,GaussianProcessClassifier,0.8727,0.5,0.8,0.96,0.8727
30,penguins_binary_classification.csv,Missing,0.2,bill_length_mm,SVC,0.5455,0.432,1.0,0.5455,0.7059
31,penguins_binary_classification.csv,Missing,0.2,bill_length_mm,DummyClassifier,0.5455,0.5,1.0,0.5455,0.7059
32,penguins_binary_classification.csv,Missing,0.4,bill_length_mm,LogisticRegression,1.0,0.544,1.0,1.0,1.0
33,penguins_binary_classification.csv,Missing,0.4,bill_length_mm,GaussianNB,1.0,0.4833,1.0,1.0,1.0
34,penguins_binary_classification.csv,Missing,0.4,bill_length_mm,RidgeClassifier,1.0,,1.0,1.0,1.0
35,penguins_binary_classification.csv,Missing,0.4,bill_length_mm,LinearDiscriminantAnalysis,1.0,0.5,1.0,1.0,1.0
36,penguins_binary_classification.csv,Missing,0.4,bill_length_mm,RandomForestClassifier,1.0,0.462,1.0,1.0,1.0
37,penguins_binary_classification.csv,Missing,0.4,bill_length_mm,ExtraTreesClassifier,1.0,0.5667,1.0,1.0,1.0
38,penguins_binary_classification.csv,Missing,0.4,bill_length_mm,CatBoostClassifier,1.0,0.354,1.0,1.0,1.0
39,penguins_binary_classification.csv,Missing,0.4,bill_length_mm,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
40,penguins_binary_classification.csv,Missing,0.4,bill_length_mm,AdaBoostClassifier,1.0,0.5,1.0,1.0,1.0
41,penguins_binary_classification.csv,Missing,0.4,bill_length_mm,GradientBoostingClassifier,1.0,0.5,1.0,1.0,1.0
42,penguins_binary_classification.csv,Missing,0.4,bill_length_mm,KNeighborsClassifier,1.0,0.5187,1.0,1.0,1.0
43,penguins_binary_classification.csv,Missing,0.4,bill_length_mm,MLPClassifier,0.9273,0.5093,0.9333,0.9333,0.9333
