",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
0,recruitment_data.csv,Outlier,0.2,DistanceFromCompany,CatBoostClassifier,0.9633,0.4246,0.914,0.9659,0.9392
1,recruitment_data.csv,Outlier,0.2,DistanceFromCompany,GradientBoostingClassifier,0.9367,0.4099,0.8602,0.9302,0.8939
2,recruitment_data.csv,Outlier,0.2,DistanceFromCompany,RandomForestClassifier,0.9167,0.3126,0.7849,0.9359,0.8538
3,recruitment_data.csv,Outlier,0.2,DistanceFromCompany,AdaBoostClassifier,0.8967,0.4121,0.8172,0.8444,0.8306
4,recruitment_data.csv,Outlier,0.2,DistanceFromCompany,ExtraTreesClassifier,0.8967,0.3071,0.7527,0.8974,0.8187
5,recruitment_data.csv,Outlier,0.2,DistanceFromCompany,GaussianNB,0.8567,0.2882,0.6774,0.8289,0.7456
6,recruitment_data.csv,Outlier,0.2,DistanceFromCompany,DecisionTreeClassifier,0.8867,0.5,0.8495,0.798,0.8229
7,recruitment_data.csv,Outlier,0.2,DistanceFromCompany,RidgeClassifier,0.8567,,0.6989,0.8125,0.7514
8,recruitment_data.csv,Outlier,0.2,DistanceFromCompany,LogisticRegression,0.85,0.3733,0.6989,0.7927,0.7429
9,recruitment_data.csv,Outlier,0.2,DistanceFromCompany,LinearDiscriminantAnalysis,0.8467,0.378,0.6989,0.7831,0.7386
10,recruitment_data.csv,Outlier,0.2,DistanceFromCompany,QuadraticDiscriminantAnalysis,0.8367,0.397,0.7204,0.7444,0.7322
11,recruitment_data.csv,Outlier,0.2,DistanceFromCompany,MLPClassifier,0.8067,0.5544,0.8495,0.6423,0.7315
12,recruitment_data.csv,Outlier,0.2,DistanceFromCompany,SGDClassifier,0.5433,,0.9462,0.4,0.5623
13,recruitment_data.csv,Outlier,0.2,DistanceFromCompany,SVC,0.69,0.5185,0.0,0.0,0.0
14,recruitment_data.csv,Outlier,0.2,DistanceFromCompany,DummyClassifier,0.69,0.5,0.0,0.0,0.0
15,recruitment_data.csv,Outlier,0.2,DistanceFromCompany,KNeighborsClassifier,0.6867,0.4522,0.3978,0.4933,0.4405
16,recruitment_data.csv,Outlier,0.2,DistanceFromCompany,GaussianProcessClassifier,0.6367,0.5,0.4194,0.4149,0.4171
17,recruitment_data.csv,Outlier,0.4,DistanceFromCompany,CatBoostClassifier,0.96,0.4215,0.9032,0.9655,0.9333
18,recruitment_data.csv,Outlier,0.4,DistanceFromCompany,GradientBoostingClassifier,0.9333,0.4265,0.8495,0.9294,0.8876
19,recruitment_data.csv,Outlier,0.4,DistanceFromCompany,RandomForestClassifier,0.9167,0.2998,0.7634,0.9595,0.8503
20,recruitment_data.csv,Outlier,0.4,DistanceFromCompany,AdaBoostClassifier,0.91,0.4273,0.8065,0.8929,0.8475
21,recruitment_data.csv,Outlier,0.4,DistanceFromCompany,ExtraTreesClassifier,0.8867,0.2856,0.7097,0.9041,0.7952
22,recruitment_data.csv,Outlier,0.4,DistanceFromCompany,GaussianNB,0.86,0.2786,0.6774,0.84,0.75
23,recruitment_data.csv,Outlier,0.4,DistanceFromCompany,LogisticRegression,0.8667,0.3737,0.7204,0.8272,0.7701
