",",experiment_run,datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1,AMI,SILHOUETTE,K
0,7,satimage_sample3600.csv,standard,0.0,NULL,K-Means,,,,,,0.5889,0.3528,6.0
1,7,satimage_sample3600.csv,standard,0.0,NULL,HDBSCAN,,,,,,0.2437,0.2515,4.0
2,7,satimage_sample3600.csv,standard,0.0,NULL,Gaussian Mixture Model,,,,,,0.4938,0.0846,6.0
3,7,satimage_sample3600.csv,standard,0.0,NULL,BIRCH,,,,,,0.4839,0.2926,6.0
4,7,satimage_sample3600.csv,standard,0.0,NULL,Hierarchical Clustering,,,,,,0.5681,0.3552,6.0
5,7,satimage_sample3600.csv,missing,0.1,[Aattr],K-Means,,,,,,0.5261,0.3363,6.0
6,7,satimage_sample3600.csv,missing,0.1,[Aattr],HDBSCAN,,,,,,0.2437,0.2515,4.0
7,7,satimage_sample3600.csv,missing,0.1,[Aattr],Gaussian Mixture Model,,,,,,0.4978,0.1048,6.0
8,7,satimage_sample3600.csv,missing,0.1,[Aattr],BIRCH,,,,,,0.5407,0.2764,6.0
9,7,satimage_sample3600.csv,missing,0.1,[Aattr],Hierarchical Clustering,,,,,,0.5453,0.3552,6.0
10,7,satimage_sample3600.csv,missing,0.2,[Aattr],K-Means,,,,,,0.5908,0.3524,6.0
11,7,satimage_sample3600.csv,missing,0.2,[Aattr],HDBSCAN,,,,,,0.2437,0.2515,4.0
12,7,satimage_sample3600.csv,missing,0.2,[Aattr],Gaussian Mixture Model,,,,,,0.532,0.1725,6.0
13,7,satimage_sample3600.csv,missing,0.2,[Aattr],BIRCH,,,,,,0.4874,0.3017,6.0
14,7,satimage_sample3600.csv,missing,0.2,[Aattr],Hierarchical Clustering,,,,,,0.5796,0.3476,6.0
15,7,satimage_sample3600.csv,missing,0.3,[Aattr],K-Means,,,,,,0.5939,0.3528,6.0
16,7,satimage_sample3600.csv,missing,0.3,[Aattr],HDBSCAN,,,,,,0.2437,0.2515,4.0
17,7,satimage_sample3600.csv,missing,0.3,[Aattr],Gaussian Mixture Model,,,,,,0.5657,0.2027,6.0
18,7,satimage_sample3600.csv,missing,0.3,[Aattr],BIRCH,,,,,,0.5809,0.3014,6.0
19,7,satimage_sample3600.csv,missing,0.3,[Aattr],Hierarchical Clustering,,,,,,0.5696,0.3514,6.0
20,7,satimage_sample3600.csv,missing,0.4,[Aattr],K-Means,,,,,,0.4486,0.2619,6.0
21,7,satimage_sample3600.csv,missing,0.4,[Aattr],HDBSCAN,,,,,,0.2437,0.2515,4.0
22,7,satimage_sample3600.csv,missing,0.4,[Aattr],Gaussian Mixture Model,,,,,,0.5521,0.136,6.0
23,7,satimage_sample3600.csv,missing,0.4,[Aattr],BIRCH,,,,,,0.4747,0.2232,6.0
24,7,satimage_sample3600.csv,missing,0.4,[Aattr],Hierarchical Clustering,,,,,,0.5689,0.3398,6.0
25,7,satimage_sample3600.csv,missing,0.5,[Aattr],K-Means,,,,,,0.5666,0.3351,6.0
26,7,satimage_sample3600.csv,missing,0.5,[Aattr],HDBSCAN,,,,,,0.2375,0.2635,4.0
27,7,satimage_sample3600.csv,missing,0.5,[Aattr],Gaussian Mixture Model,,,,,,0.5213,0.1092,5.0
28,7,satimage_sample3600.csv,missing,0.5,[Aattr],BIRCH,,,,,,0.473,0.2836,6.0
29,7,satimage_sample3600.csv,missing,0.5,[Aattr],Hierarchical Clustering,,,,,,0.4414,0.2707,6.0
30,7,satimage_sample3600.csv,missing,0.6,[Aattr],K-Means,,,,,,0.5742,0.3498,6.0
31,7,satimage_sample3600.csv,missing,0.6,[Aattr],HDBSCAN,,,,,,0.237,0.2661,4.0
32,7,satimage_sample3600.csv,missing,0.6,[Aattr],Gaussian Mixture Model,,,,,,0.5372,0.1712,6.0
