",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
0,stroke_data.csv,Outlier,0.2,avg_glucose_level,RidgeClassifier,0.6652,,0.5389,0.7251,0.6183
1,stroke_data.csv,Outlier,0.2,avg_glucose_level,LinearDiscriminantAnalysis,0.6652,0.4921,0.5389,0.7251,0.6183
2,stroke_data.csv,Outlier,0.2,avg_glucose_level,LogisticRegression,0.6648,0.5001,0.5517,0.7166,0.6235
3,stroke_data.csv,Outlier,0.4,avg_glucose_level,LogisticRegression,0.6589,0.5011,0.5428,0.7108,0.6155
4,stroke_data.csv,Outlier,0.4,avg_glucose_level,RidgeClassifier,0.6588,,0.5282,0.7189,0.609
5,stroke_data.csv,Outlier,0.4,avg_glucose_level,LinearDiscriminantAnalysis,0.6588,0.4938,0.5282,0.7189,0.609
6,stroke_data.csv,Outlier,0.6,avg_glucose_level,LinearDiscriminantAnalysis,0.6562,0.4949,0.5265,0.7149,0.6064
7,stroke_data.csv,Outlier,0.6,avg_glucose_level,RidgeClassifier,0.6562,,0.5265,0.7149,0.6064
8,stroke_data.csv,Outlier,0.6,avg_glucose_level,LogisticRegression,0.6567,0.5022,0.5411,0.7077,0.6132
9,stroke_data.csv,Outlier,0.8,avg_glucose_level,RidgeClassifier,0.6545,,0.5248,0.7126,0.6044
10,stroke_data.csv,Outlier,0.8,avg_glucose_level,LinearDiscriminantAnalysis,0.6545,0.4956,0.5248,0.7126,0.6044
11,stroke_data.csv,Outlier,0.8,avg_glucose_level,LogisticRegression,0.654,0.503,0.5406,0.703,0.6112
12,stroke_data.csv,Outlier,0.2,bmi,LogisticRegression,0.654,0.5023,0.542,0.7022,0.6118
13,stroke_data.csv,Outlier,0.2,bmi,RidgeClassifier,0.6535,,0.5258,0.7102,0.6042
14,stroke_data.csv,Outlier,0.2,bmi,LinearDiscriminantAnalysis,0.6538,0.4948,0.5258,0.7107,0.6044
15,stroke_data.csv,Outlier,0.4,bmi,LogisticRegression,0.6541,0.5022,0.5437,0.7016,0.6126
16,stroke_data.csv,Outlier,0.4,bmi,RidgeClassifier,0.6534,,0.525,0.7104,0.6038
17,stroke_data.csv,Outlier,0.4,bmi,LinearDiscriminantAnalysis,0.6534,0.4948,0.525,0.7104,0.6038
18,stroke_data.csv,Outlier,0.6,bmi,LogisticRegression,0.6542,0.5023,0.5423,0.7025,0.6121
19,stroke_data.csv,Outlier,0.6,bmi,RidgeClassifier,0.6539,,0.5258,0.7109,0.6045
20,stroke_data.csv,Outlier,0.6,bmi,LinearDiscriminantAnalysis,0.6539,0.4947,0.5258,0.7109,0.6045
21,stroke_data.csv,Outlier,0.8,bmi,LogisticRegression,0.6558,0.502,0.5428,0.7052,0.6134
22,stroke_data.csv,Outlier,0.8,bmi,LinearDiscriminantAnalysis,0.6549,0.4945,0.5267,0.7122,0.6056
23,stroke_data.csv,Outlier,0.8,bmi,RidgeClassifier,0.6549,,0.5267,0.7122,0.6056
24,stroke_data.csv,Outlier,0.2,age,LogisticRegression,0.6572,0.5003,0.5377,0.7104,0.6121
25,stroke_data.csv,Outlier,0.2,age,RidgeClassifier,0.6585,,0.5226,0.7218,0.6063
26,stroke_data.csv,Outlier,0.2,age,LinearDiscriminantAnalysis,0.6585,0.4921,0.5226,0.7218,0.6063
27,stroke_data.csv,Outlier,0.4,age,LogisticRegression,0.6549,0.501,0.5335,0.7084,0.6086
28,stroke_data.csv,Outlier,0.4,age,RidgeClassifier,0.6545,,0.5146,0.7187,0.5997
29,stroke_data.csv,Outlier,0.4,age,LinearDiscriminantAnalysis,0.6546,0.4921,0.5146,0.7189,0.5998
30,stroke_data.csv,Outlier,0.6,age,LogisticRegression,0.6536,0.5012,0.5323,0.7068,0.6073
31,stroke_data.csv,Outlier,0.6,age,RidgeClassifier,0.6528,,0.5121,0.7168,0.5974
32,stroke_data.csv,Outlier,0.6,age,LinearDiscriminantAnalysis,0.6528,0.4924,0.5121,0.7168,0.5974
33,stroke_data.csv,Outlier,0.8,age,RidgeClassifier,0.6536,,0.5219,0.7127,0.6025
34,stroke_data.csv,Outlier,0.8,age,LinearDiscriminantAnalysis,0.6536,0.4956,0.5219,0.7127,0.6025
35,stroke_data.csv,Outlier,0.8,age,LogisticRegression,0.6566,0.5032,0.5425,0.7066,0.6138
36,stroke_data.csv,Outlier,0.2,work_type,LogisticRegression,0.693,0.4917,0.6348,0.7214,0.6754
37,stroke_data.csv,Outlier,0.2,work_type,RidgeClassifier,0.6914,,0.6249,0.7239,0.6708
38,stroke_data.csv,Outlier,0.2,work_type,LinearDiscriminantAnalysis,0.6914,0.4799,0.6249,0.7239,0.6708
39,stroke_data.csv,Outlier,0.4,work_type,LogisticRegression,0.6935,0.4931,0.6385,0.7204,0.677
40,stroke_data.csv,Outlier,0.4,work_type,RidgeClassifier,0.6918,,0.6283,0.7228,0.6722
41,stroke_data.csv,Outlier,0.4,work_type,LinearDiscriminantAnalysis,0.6918,0.4813,0.6283,0.7228,0.6722
42,stroke_data.csv,Outlier,0.6,work_type,LogisticRegression,0.6941,0.4924,0.6336,0.7238,0.6757
43,stroke_data.csv,Outlier,0.6,work_type,RidgeClassifier,0.6929,,0.6237,0.727,0.6714
44,stroke_data.csv,Outlier,0.6,work_type,LinearDiscriminantAnalysis,0.6929,0.4801,0.6237,0.727,0.6714
45,stroke_data.csv,Outlier,0.8,work_type,LogisticRegression,0.6949,0.5054,0.6492,0.7175,0.6816
46,stroke_data.csv,Outlier,0.8,work_type,RidgeClassifier,0.6943,,0.6395,0.7213,0.6779
47,stroke_data.csv,Outlier,0.8,work_type,LinearDiscriminantAnalysis,0.6942,0.494,0.6395,0.7211,0.6778
48,stroke_data.csv,Noisy,0.2,avg_glucose_level,LogisticRegression,0.6748,0.4894,0.5593,0.731,0.6337
49,stroke_data.csv,Noisy,0.2,avg_glucose_level,RidgeClassifier,0.6727,,0.5488,0.7334,0.6278
50,stroke_data.csv,Noisy,0.2,avg_glucose_level,LinearDiscriminantAnalysis,0.6726,0.4792,0.5486,0.7334,0.6277
51,stroke_data.csv,Noisy,0.4,avg_glucose_level,LogisticRegression,0.6663,0.4848,0.5318,0.7316,0.6159
52,stroke_data.csv,Noisy,0.4,avg_glucose_level,RidgeClassifier,0.6671,,0.5224,0.7393,0.6122
53,stroke_data.csv,Noisy,0.4,avg_glucose_level,LinearDiscriminantAnalysis,0.6672,0.476,0.5224,0.7396,0.6123
54,stroke_data.csv,Noisy,0.6,avg_glucose_level,LogisticRegression,0.6633,0.4857,0.5224,0.7315,0.6095
55,stroke_data.csv,Noisy,0.6,avg_glucose_level,RidgeClassifier,0.6621,,0.5104,0.7369,0.6031
