",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
0,transfusion.csv,NULL,0.0,NULL,CatBoostClassifier,0.7867,0.2961,0.35,0.7,0.4667
1,transfusion.csv,NULL,0.0,NULL,RidgeClassifier,0.7733,,0.15,1.0,0.2609
2,transfusion.csv,NULL,0.0,NULL,LinearDiscriminantAnalysis,0.7867,0.2726,0.2,1.0,0.3333
3,transfusion.csv,NULL,0.0,NULL,LogisticRegression,0.7667,0.2715,0.15,0.8571,0.2553
4,transfusion.csv,NULL,0.0,NULL,DummyClassifier,0.7333,0.5,0.0,0.0,0.0
5,transfusion.csv,NULL,0.0,NULL,SVC,0.7267,0.3949,0.1,0.4444,0.1633
6,transfusion.csv,NULL,0.0,NULL,GradientBoostingClassifier,0.7333,0.3795,0.3,0.5,0.375
7,transfusion.csv,NULL,0.0,NULL,KNeighborsClassifier,0.7267,0.3699,0.275,0.4783,0.3492
8,transfusion.csv,NULL,0.0,NULL,GaussianNB,0.76,0.4301,0.3,0.6,0.4
9,transfusion.csv,NULL,0.0,NULL,AdaBoostClassifier,0.78,0.3533,0.3,0.7059,0.4211
10,transfusion.csv,NULL,0.0,NULL,MLPClassifier,0.7333,0.5601,0.0,0.0,0.0
11,transfusion.csv,NULL,0.0,NULL,ExtraTreesClassifier,0.72,0.412,0.35,0.4667,0.4
12,transfusion.csv,NULL,0.0,NULL,GaussianProcessClassifier,0.68,0.4543,0.35,0.3889,0.3684
13,transfusion.csv,NULL,0.0,NULL,RandomForestClassifier,0.76,0.4025,0.425,0.5667,0.4857
14,transfusion.csv,NULL,0.0,NULL,SGDClassifier,0.7333,,0.0,0.0,0.0
15,transfusion.csv,NULL,0.0,NULL,DecisionTreeClassifier,0.7333,0.516,0.425,0.5,0.4595
16,transfusion.csv,NULL,0.0,NULL,QuadraticDiscriminantAnalysis,0.6867,0.5,0.525,0.4286,0.4719
17,transfusion.csv,Missing,0.2,Recency (months),LogisticRegression,0.78,0.283,0.2,0.8889,0.3265
18,transfusion.csv,Missing,0.2,Recency (months),RidgeClassifier,0.7733,,0.15,1.0,0.2609
19,transfusion.csv,Missing,0.2,Recency (months),CatBoostClassifier,0.8067,0.2836,0.375,0.7895,0.5085
20,transfusion.csv,Missing,0.2,Recency (months),LinearDiscriminantAnalysis,0.78,0.278,0.2,0.8889,0.3265
21,transfusion.csv,Missing,0.2,Recency (months),SVC,0.7467,0.4186,0.1,0.6667,0.1739
22,transfusion.csv,Missing,0.2,Recency (months),DummyClassifier,0.7333,0.5,0.0,0.0,0.0
23,transfusion.csv,Missing,0.2,Recency (months),AdaBoostClassifier,0.7867,0.361,0.325,0.7222,0.4483
24,transfusion.csv,Missing,0.2,Recency (months),KNeighborsClassifier,0.72,0.3575,0.25,0.4545,0.3226
25,transfusion.csv,Missing,0.2,Recency (months),GaussianNB,0.7533,0.4482,0.275,0.5789,0.3729
26,transfusion.csv,Missing,0.2,Recency (months),GradientBoostingClassifier,0.7933,0.4059,0.35,0.7368,0.4746
27,transfusion.csv,Missing,0.2,Recency (months),RandomForestClassifier,0.7667,0.3949,0.375,0.6,0.4615
28,transfusion.csv,Missing,0.2,Recency (months),MLPClassifier,0.6067,0.6189,0.725,0.3766,0.4957
29,transfusion.csv,Missing,0.2,Recency (months),GaussianProcessClassifier,0.6867,0.4578,0.325,0.3939,0.3562
30,transfusion.csv,Missing,0.2,Recency (months),ExtraTreesClassifier,0.7467,0.4512,0.375,0.5357,0.4412
31,transfusion.csv,Missing,0.2,Recency (months),SGDClassifier,0.7,,0.625,0.4545,0.5263
32,transfusion.csv,Missing,0.2,Recency (months),DecisionTreeClassifier,0.7467,0.5501,0.375,0.5357,0.4412
33,transfusion.csv,Missing,0.2,Recency (months),QuadraticDiscriminantAnalysis,0.66,0.4875,0.075,0.1765,0.1053
34,transfusion.csv,Missing,0.4,Recency (months),CatBoostClassifier,0.8,0.3099,0.35,0.7778,0.4828
35,transfusion.csv,Missing,0.4,Recency (months),RidgeClassifier,0.7733,,0.15,1.0,0.2609
36,transfusion.csv,Missing,0.4,Recency (months),LogisticRegression,0.78,0.2876,0.2,0.8889,0.3265
37,transfusion.csv,Missing,0.4,Recency (months),DummyClassifier,0.7333,0.5,0.0,0.0,0.0
38,transfusion.csv,Missing,0.4,Recency (months),SVC,0.7467,0.4361,0.1,0.6667,0.1739
39,transfusion.csv,Missing,0.4,Recency (months),LinearDiscriminantAnalysis,0.78,0.2842,0.2,0.8889,0.3265
40,transfusion.csv,Missing,0.4,Recency (months),AdaBoostClassifier,0.78,0.3858,0.35,0.6667,0.459
41,transfusion.csv,Missing,0.4,Recency (months),KNeighborsClassifier,0.72,0.4136,0.225,0.45,0.3
42,transfusion.csv,Missing,0.4,Recency (months),MLPClassifier,0.7333,0.5993,0.0,0.0,0.0
43,transfusion.csv,Missing,0.4,Recency (months),GaussianNB,0.76,0.4434,0.275,0.6111,0.3793
44,transfusion.csv,Missing,0.4,Recency (months),SGDClassifier,0.6,,0.85,0.3864,0.5312
