",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
0,water_potability.csv,NULL,0.0,NULL,RidgeClassifier,0.8628,,0.8122,0.8189,0.8156
1,water_potability.csv,NULL,0.0,NULL,LogisticRegression,0.8537,0.4106,0.8,0.8066,0.8033
2,water_potability.csv,NULL,0.0,NULL,GaussianNB,0.8613,0.3935,0.8082,0.8182,0.8131
3,water_potability.csv,NULL,0.0,NULL,QuadraticDiscriminantAnalysis,0.8521,0.3996,0.7959,0.8058,0.8008
4,water_potability.csv,NULL,0.0,NULL,LinearDiscriminantAnalysis,0.8628,0.4167,0.8122,0.8189,0.8156
5,water_potability.csv,NULL,0.0,NULL,RandomForestClassifier,0.8598,0.3928,0.8041,0.8174,0.8107
6,water_potability.csv,NULL,0.0,NULL,CatBoostClassifier,0.8598,0.4187,0.8,0.8201,0.8099
7,water_potability.csv,NULL,0.0,NULL,AdaBoostClassifier,0.846,0.4454,0.8,0.7903,0.7951
8,water_potability.csv,NULL,0.0,NULL,ExtraTreesClassifier,0.8537,0.3977,0.7796,0.8197,0.7992
9,water_potability.csv,NULL,0.0,NULL,GradientBoostingClassifier,0.8476,0.3945,0.7796,0.8059,0.7925
10,water_potability.csv,NULL,0.0,NULL,DecisionTreeClassifier,0.7942,0.5,0.7429,0.7165,0.7295
11,water_potability.csv,NULL,0.0,NULL,KNeighborsClassifier,0.6463,0.4487,0.5102,0.5274,0.5187
12,water_potability.csv,NULL,0.0,NULL,GaussianProcessClassifier,0.6311,0.5,0.5265,0.5059,0.516
13,water_potability.csv,NULL,0.0,NULL,SVC,0.6265,0.5188,0.0,0.0,0.0
14,water_potability.csv,NULL,0.0,NULL,DummyClassifier,0.6265,0.5,0.0,0.0,0.0
15,water_potability.csv,NULL,0.0,NULL,MLPClassifier,0.5229,0.5205,0.6653,0.4137,0.5102
16,water_potability.csv,NULL,0.0,NULL,SGDClassifier,0.6265,,0.0,0.0,0.0
17,water_potability.csv,Missing,0.2,ph,RidgeClassifier,0.8567,,0.8082,0.8082,0.8082
18,water_potability.csv,Missing,0.2,ph,LinearDiscriminantAnalysis,0.8537,0.4192,0.8082,0.8016,0.8049
19,water_potability.csv,Missing,0.2,ph,QuadraticDiscriminantAnalysis,0.8506,0.4192,0.8,0.8,0.8
20,water_potability.csv,Missing,0.2,ph,LogisticRegression,0.8552,0.4244,0.8082,0.8049,0.8065
21,water_potability.csv,Missing,0.2,ph,GaussianNB,0.8567,0.4237,0.8082,0.8082,0.8082
22,water_potability.csv,Missing,0.2,ph,CatBoostClassifier,0.8506,0.4366,0.8163,0.7905,0.8032
23,water_potability.csv,Missing,0.2,ph,ExtraTreesClassifier,0.8598,0.41,0.7918,0.8255,0.8083
24,water_potability.csv,Missing,0.2,ph,RandomForestClassifier,0.8567,0.429,0.8082,0.8082,0.8082
25,water_potability.csv,Missing,0.2,ph,GradientBoostingClassifier,0.8491,0.4038,0.8082,0.792,0.8
26,water_potability.csv,Missing,0.2,ph,AdaBoostClassifier,0.8476,0.4343,0.8163,0.7843,0.8
27,water_potability.csv,Missing,0.2,ph,DecisionTreeClassifier,0.8064,0.5,0.7714,0.7269,0.7485
28,water_potability.csv,Missing,0.2,ph,KNeighborsClassifier,0.6463,0.4502,0.5102,0.5274,0.5187
29,water_potability.csv,Missing,0.2,ph,GaussianProcessClassifier,0.6311,0.5,0.5265,0.5059,0.516
30,water_potability.csv,Missing,0.2,ph,SVC,0.6265,0.5187,0.0,0.0,0.0
31,water_potability.csv,Missing,0.2,ph,DummyClassifier,0.6265,0.5,0.0,0.0,0.0
32,water_potability.csv,Missing,0.2,ph,MLPClassifier,0.5198,0.52,0.6735,0.4125,0.5116
33,water_potability.csv,Missing,0.2,ph,SGDClassifier,0.6265,,0.0,0.0,0.0
34,water_potability.csv,Missing,0.4,ph,LogisticRegression,0.8537,0.4338,0.8122,0.7992,0.8057
35,water_potability.csv,Missing,0.4,ph,RidgeClassifier,0.8506,,0.7959,0.8025,0.7992
36,water_potability.csv,Missing,0.4,ph,LinearDiscriminantAnalysis,0.8506,0.4215,0.7959,0.8025,0.7992
37,water_potability.csv,Missing,0.4,ph,GaussianNB,0.8567,0.4462,0.8122,0.8057,0.8089
38,water_potability.csv,Missing,0.4,ph,QuadraticDiscriminantAnalysis,0.8445,0.4455,0.7878,0.7942,0.791
39,water_potability.csv,Missing,0.4,ph,CatBoostClassifier,0.8506,0.4211,0.8122,0.7928,0.8024
40,water_potability.csv,Missing,0.4,ph,RandomForestClassifier,0.8552,0.4236,0.8204,0.7976,0.8089
41,water_potability.csv,Missing,0.4,ph,ExtraTreesClassifier,0.8476,0.4018,0.8,0.7935,0.7967
42,water_potability.csv,Missing,0.4,ph,GradientBoostingClassifier,0.8552,0.3927,0.8204,0.7976,0.8089
43,water_potability.csv,Missing,0.4,ph,AdaBoostClassifier,0.8399,0.4237,0.8122,0.7713,0.7913
